neg_event,event
PersonX does not pay PersonY,PersonX pays PersonY
PersonX does not keep PersonY happy,PersonX keeps PersonY happy
PersonX does not slap PersonY in the face,PersonX slaps PersonY in the face
PersonX does not check PersonY's pockets,PersonX checks PersonY's pockets
PersonX does not decorate for christmas,PersonX decorates for christmas
PersonX does not comply with PersonY's wishes,PersonX complies with PersonY's wishes
PersonX does not act as PersonY agent,PersonX acts as PersonY agent
PersonX does not keep PersonY sane,PersonX keeps PersonY sane
PersonX does not eat PersonY's cookies,PersonX eats PersonY's cookies
PersonX does not pin PersonY,PersonX pins PersonY
PersonX does not contact PersonX's friends,PersonX contacts PersonX's friends
PersonX does not play games with PersonY,PersonX plays games with PersonY
PersonX does not kill PersonY instantly,PersonX kills PersonY instantly
PersonX does not eat chicken wings,PersonX eats chicken wings
PersonX does not ask PersonY some questions,PersonX asks PersonY some questions
PersonX does not kill PersonY's wife,PersonX kills PersonY's wife
PersonX does not play tennis with PersonY's friend,PersonX plays tennis with PersonY's friend
PersonX does not cook for PersonY's friends,PersonX cooks for PersonY's friends
PersonX does not have just had a new baby,PersonX has just had a new baby
PersonX does not ask PersonY to marry,PersonX asks PersonY to marry
PersonX does not land PersonY's dream job,PersonX lands PersonY's dream job
PersonX does not dance with PersonY,PersonX dances with PersonY
PersonX does not enjoy PersonY's time together,PersonX enjoys PersonY's time together
PersonX does not play the fool,PersonX plays the fool
PersonX does not hide and seek,PersonX hides and seek
PersonX does not ask PersonY's on a date,PersonX asks PersonY's on a date
PersonX does not do PersonY's hair and makeup,PersonX does PersonY's hair and makeup
PersonX does not lay PersonY off,PersonX lays PersonY off
PersonX does not exchange insurance information,PersonX exchanges insurance information
PersonX does not ask PersonY's roommate,PersonX asks PersonY's roommate
PersonX does not lead PersonY's team to victory,PersonX leads PersonY's team to victory
PersonX does not prank PersonY,PersonX pranks PersonY
PersonX does not give PersonY a piece,PersonX gives PersonY a piece
PersonX does not listen to PersonY's words,PersonX listens to PersonY's words
PersonX does not find PersonX's dad,PersonX finds PersonX's dad
PersonX does not attend a wine tasting,PersonX attends a wine tasting
PersonX does not put PersonY on the table,PersonX puts PersonY on the table
PersonX does not harass PersonY,PersonX harasses PersonY
PersonX does not load PersonY's car,PersonX loads PersonY's car
PersonX does not attract PersonY attention,PersonX attracts PersonY attention
PersonX does not find PersonX's parents,PersonX finds PersonX's parents
PersonX does not impress PersonY's wife,PersonX impresses PersonY's wife
PersonX does not put PersonY to bed,PersonX puts PersonY to bed
PersonX does not look PersonY over,PersonX looks PersonY over
PersonX does not find PersonY a place,PersonX finds PersonY a place
PersonX does not have a huge party,PersonX has a huge party
PersonX does not redo PersonY's kitchen,PersonX redoes PersonY's kitchen
PersonX does not increase PersonY's share,PersonX increases PersonY's share
PersonX does not find PersonY evidence,PersonX finds PersonY evidence
PersonX does not lose all of PersonY's money,PersonX loses all of PersonY's money
PersonX does not bear PersonY children,PersonX bears PersonY children
PersonX does not head to PersonY,PersonX heads to PersonY
PersonX does not invite PersonY to come,PersonX invites PersonY to come
PersonX does not find PersonY's keys,PersonX finds PersonY's keys
PersonX does not make breakfast for PersonX's family,PersonX makes breakfast for PersonX's family
PersonX does not beat PersonY's brains out,PersonX beats PersonY's brains out
PersonX does not manage PersonY's affairs,PersonX manages PersonY's affairs
PersonX does not help PersonY in every way,PersonX helps PersonY in every way
PersonX does not invite PersonY to share,PersonX invites PersonY to share
PersonX does not reduce PersonY's costs,PersonX reduces PersonY's costs
PersonX does not find a new job,PersonX finds a new job
PersonX does not invite all PersonY's friends and family,PersonX invites all PersonY's friends and family
PersonX does not remove PersonY's shirt,PersonX removes PersonY's shirt
PersonX does not marry soon,PersonX marries soon
PersonX does not finish PersonY's song,PersonX finishes PersonY's song
PersonX is not always good,PersonX is always good
PersonX does not meet PersonY's parents,PersonX meets PersonY's parents
PersonX does not talk to PersonX's daughter,PersonX talks to PersonX's daughter
PersonX does not beckon PersonY,PersonX beckons PersonY
PersonX does not fire PersonY on the spot,PersonX fires PersonY on the spot
PersonX is not dating a girl,PersonX is dating a girl
PersonX does not move closer,PersonX moves closer
PersonX does not begin PersonY work,PersonX begins PersonY work
PersonX does not visit PersonY's aunt,PersonX visits PersonY's aunt
PersonX does not offer PersonY a position,PersonX offers PersonY a position
PersonX is not on the basketball team,PersonX is on the basketball team
PersonX does not break up with PersonY's boyfriend,PersonX breaks up with PersonY's boyfriend
PersonX does not visit PersonX's brother,PersonX visits PersonX's brother
PersonX does not help many people,PersonX helps many people
PersonX did not fix PersonY's wagon,PersonX fixes PersonY's wagon
PersonX does not bring PersonY to the doctor,PersonX brings PersonY to the doctor
PersonX is not playing in a basketball game,PersonX is playing in a basketball game
PersonX does not hug PersonY back,PersonX hugs PersonY back
PersonX does not order some pizza,PersonX orders some pizza
PersonX is not riding PersonY's motorcycle,PersonX is riding PersonY's motorcycle
PersonX does not get PersonY started,PersonX gets PersonY started
PersonX does not pay the cashier,PersonX pays the cashier
PersonX does not invite PersonY over to PersonX's house,PersonX invites PersonY over to PersonX's house
PersonX does not buy PersonY drinks,PersonX buys PersonY drinks
PersonX is not running for president,PersonX is running for president
PersonX does not swim with PersonX's friends,PersonX swims with PersonX's friends
PersonX does not invite PersonY to a party,PersonX invites PersonY to a party
PersonX does not play fetch with PersonY,PersonX plays fetch with PersonY
PersonX does not get PersonY's car fixed,PersonX gets PersonY's car fixed
PersonX is not chasing PersonY,PersonX is chasing PersonY
PersonX is not upset with PersonY,PersonX is upset with PersonY
PersonX does not take PersonY to disney world,PersonX takes PersonY to disney world
PersonX does not play pranks,PersonX plays pranks
PersonX does not get PersonY's lunch,PersonX gets PersonY's lunch
PersonX does not pull the rug out from under PersonY,PersonX pulls the rug out from under PersonY
PersonX does not shave PersonY's beard,PersonX shaves PersonY's beard
PersonX does not join the military,PersonX joins the military
PersonX does not get treatment,PersonX gets treatment
PersonX does not take PersonY to jail,PersonX takes PersonY to jail
PersonX does not keep PersonY apart,PersonX keeps PersonY apart
PersonX does not push PersonY in,PersonX pushes PersonY in
PersonX does not want to propose,PersonX wants to propose
PersonX does not buy the shoes PersonY wanted,PersonX buys the shoes PersonY wanted
PersonX does not kill PersonY's father,PersonX kills PersonY's father
PersonX does not give PersonY a call,PersonX gives PersonY a call
PersonX does not push PersonY over the edge,PersonX pushes PersonY over the edge
PersonX is not in PersonY's car,PersonX is in PersonY's car
PersonX does not take PersonY's allowance,PersonX takes PersonY's allowance
PersonX does not give PersonY a lesson,PersonX gives PersonY a lesson
PersonX does not push PersonY's hands,PersonX pushes PersonY's hands
PersonX is not with PersonX's friends,PersonX is with PersonX's friends
PersonX does not throw PersonY a surprise birthday party,PersonX throws PersonY a surprise birthday party
PersonX does not knock PersonY off his perch,PersonX knocks PersonY off his perch
PersonX does not give PersonY treatment,PersonX gives PersonY treatment
PersonX does not put a smile on my face,PersonX puts a smile on my face
PersonX does not take many lessons,PersonX takes many lessons
PersonX does not kiss PersonY's back,PersonX kisses PersonY's back
PersonX does not call PersonX's brother,PersonX calls PersonX's brother
PersonX does not lay down PersonX's life,PersonX lays down PersonX's life
PersonX does not remove PersonY from office,PersonX removes PersonY from office
PersonX does not give PersonY's hand,PersonX gives PersonY's hand
PersonX does not tell PersonY off,PersonX tells PersonY off
PersonX does not knock PersonY out,PersonX knocks PersonY out
PersonX does not call PersonY again,PersonX calls PersonY again
PersonX does not lift PersonY head,PersonX lifts PersonY head
PersonX does not give up PersonX's life,PersonX gives up PersonX's life
PersonX does not shake PersonY awake,PersonX shakes PersonY awake
PersonX does not live with PersonX's mother,PersonX lives with PersonX's mother
PersonX does not rob the bank,PersonX robs the bank
PersonX does not know PersonY well enough,PersonX knows PersonY well enough
PersonX does not call PersonY friend,PersonX calls PersonY friend
PersonX does not go to PersonY's friend's house,PersonX goes to PersonY's friend's house
PersonX does not talk to PersonY's boss,PersonX talks to PersonY's boss
PersonX does not make a bet,PersonX makes a bet
PersonX does not sweep PersonY,PersonX sweeps PersonY
PersonX does not take PersonY's lunch,PersonX takes PersonY's lunch
PersonX does not call PersonY today,PersonX calls PersonY today
PersonX does not lead PersonY by the hand,PersonX leads PersonY by the hand
PersonX does not go to the store with PersonX's mother,PersonX goes to the store with PersonX's mother
PersonX does not meet PersonX's mom,PersonX meets PersonX's mom
PersonX does not send shivers down PersonY's spine,PersonX sends shivers down PersonY's spine
PersonX does not call PersonY tonight,PersonX calls PersonY tonight
PersonX does not let PersonY off,PersonX lets PersonY off
PersonX did not grab PersonY's arms,PersonX grabs PersonY's arms
PersonX does not teach PersonY so much,PersonX teaches PersonY so much
PersonX does not teach PersonY everything,PersonX teaches PersonY everything
PersonX does not let PersonY's play,PersonX lets PersonY's play
PersonX does not greet PersonY at the door,PersonX greets PersonY at the door
PersonX does not meet PersonY's demands,PersonX meets PersonY's demands
PersonX does not supply PersonY with food,PersonX supplies PersonY with food
PersonX does not call PersonY's daughter,PersonX calls PersonY's daughter
PersonX does not sit at PersonY's computer,PersonX sits at PersonY's computer
PersonX does not like PersonY a lot,PersonX likes PersonY a lot
PersonX does not meet PersonY's mother,PersonX meets PersonY's mother
PersonX does not have PersonY's baby,PersonX has PersonY's baby
PersonX does not write PersonY's memoirs,PersonX writes PersonY's memoirs
PersonX does not walk in PersonY's house,PersonX walks in PersonY's house
PersonX does not have broken PersonY's leg,PersonX has broken PersonY's leg
PersonX does not mow my lawn,PersonX mows my lawn
PersonX does not talk to PersonY's husband,PersonX talks to PersonY's husband
PersonX does not look PersonY in the eye,PersonX looks PersonY in the eye
PersonX does not call PersonY's insurance company,PersonX calls PersonY's insurance company
PersonX does not slide PersonY's hands,PersonX slides PersonY's hands
PersonX does not obtain PersonY understanding,PersonX obtains PersonY understanding
PersonX does not call PersonY's wife,PersonX calls PersonY's wife
PersonX does not take PersonY for ice cream,PersonX takes PersonY for ice cream
PersonX does not look for PersonY,PersonX looks for PersonY
PersonX does not help PersonX's friend,PersonX helps PersonX's friend
PersonX does not write PersonY a letter,PersonX writes PersonY a letter
PersonX does not run over PersonY,PersonX runs over PersonY
PersonX does not calm PersonY's nerves,PersonX calms PersonY's nerves
PersonX does not pay PersonY dollars,PersonX pays PersonY dollars
PersonX does not lose PersonY job,PersonX loses PersonY job
PersonX does not take a painting class,PersonX takes a painting class
PersonX does not help PersonX's team,PersonX helps PersonX's team
PersonX does not caress PersonY's face,PersonX caresses PersonY's face
PersonX does not pay PersonY's back,PersonX pays PersonY's back
PersonX does not make PersonY bed,PersonX makes PersonY bed
PersonX does not stay with PersonX's mom,PersonX stays with PersonX's mom
PersonX does not help PersonY much,PersonX helps PersonY much
PersonX does not pay PersonY's way,PersonX pays PersonY's way
PersonX does not complete PersonX's education,PersonX completes PersonX's education
PersonX does not make PersonY happy again,PersonX makes PersonY happy again
PersonX does not play monopoly,PersonX plays monopoly
PersonX does not conclude PersonY agreement,PersonX concludes PersonY agreement
PersonX does not help PersonY study,PersonX helps PersonY study
PersonX does not make PersonY laugh,PersonX makes PersonY laugh
PersonX does not walk to PersonY's house,PersonX walks to PersonY's house
PersonX does not play poker with PersonY's friends,PersonX plays poker with PersonY's friends
PersonX does not hold PersonX's meetings,PersonX holds PersonX's meetings
PersonX does not cook dinner for PersonY's family,PersonX cooks dinner for PersonY's family
PersonX does not want to marry PersonY,PersonX wants to marry PersonY
PersonX does not make PersonY leave,PersonX makes PersonY leave
PersonX does not hold PersonY tight,PersonX holds PersonY tight
PersonX does not propose to PersonY's girlfriend,PersonX proposes to PersonY's girlfriend
PersonX does not cook for PersonX's friends,PersonX cooks for PersonX's friends
PersonX does not make millions,PersonX makes millions
PersonX does not rush PersonY to the vet,PersonX rushes PersonY to the vet
PersonX does not cover PersonY,PersonX covers PersonY
PersonX does not hold PersonY's feet to the fire,PersonX holds PersonY's feet to the fire
PersonX does not meet PersonY wife,PersonX meets PersonY wife
PersonX does not provide PersonY service,PersonX provides PersonY service
PersonX does not decide to call PersonY,PersonX decides to call PersonY
PersonX does not honor PersonY,PersonX honors PersonY
PersonX does not meet a nice girl,PersonX meets a nice girl
PersonX does not take PersonY to the zoo,PersonX takes PersonY to the zoo
PersonX does not decide to move in together,PersonX decides to move in together
PersonX does not name the baby,PersonX names the baby
PersonX does not walk to PersonY,PersonX walks to PersonY
PersonX does not impress PersonY's date,PersonX impresses PersonY's date
PersonX does not decide to rob a bank,PersonX decides to rob a bank
PersonX does not put PersonY in the car,PersonX puts PersonY in the car
PersonX does not decorate PersonY's house for,PersonX decorates PersonY's house for
PersonX does not defend PersonY's rights,PersonX defends PersonY's rights
PersonX does not satisfy PersonY's desires,PersonX satisfies PersonY's desires
PersonX does not put my arm around PersonY,PersonX puts my arm around PersonY
PersonX does not drag PersonY,PersonX drags PersonY
PersonX does not occupy PersonY place,PersonX occupies PersonY place
PersonX does not scoop PersonY up,PersonX scoops PersonY up
PersonX does not introduce herself to PersonY,PersonX introduces herself to PersonY
PersonX does not draw PersonY closer,PersonX draws PersonY closer
PersonX does not offer PersonX's services,PersonX offer PersonX's services
PersonX does not stand up to PersonY,PersonX stands up to PersonY
PersonX does not invite all PersonY's friends,PersonX invites all PersonY's friends
PersonX does not tell PersonY yes,PersonX tells PersonY yes
PersonX does not see a movie with PersonY's friends,PersonX sees a movie with PersonY's friends
PersonX does not drop the f-bomb,PersonX drops the f-bomb
PersonX does not want to fight PersonY,PersonX wants to fight PersonY
PersonX does not offer to help PersonY,PersonX offers to help PersonY
PersonX is not a substitute teacher,PersonX is a substitute teacher
PersonX does not talk to PersonY again,PersonX talks to PersonY again
PersonX does not tie PersonY's shoes,PersonX ties PersonY's shoes
PersonX does not explain everything to PersonY,PersonX explains everything to PersonY
PersonX is not at the grocery store with PersonY's mom,PersonX is at the grocery store with PersonY's mom
PersonX does not order PersonY back,PersonX orders PersonY back
PersonX does not express PersonY idea,PersonX expresses PersonY idea
PersonX does not ring the doorbell,PersonX rings the doorbell
PersonX does not sing PersonY a song,PersonX sings PersonY a song
PersonX does not paint the living room,PersonX paints the living room
PersonX does not fight for PersonY's life,PersonX fights for PersonY's life
PersonX is not painting PersonY's nails,PersonX is painting PersonY's nails
PersonX does not spend time with PersonY's family,PersonX spends time with PersonY's family
PersonX does not pick PersonY's brain,PersonX picks PersonY's brain
PersonX does not slam PersonY's hand,PersonX slams PersonY's hand
PersonX is not the new kid in school,PersonX is the new kid in school
PersonX does not file for a divorce,PersonX files for a divorce
PersonX does not tell PersonX's best friend,PersonX tells PersonX's best friend
PersonX does not play football again,PersonX plays football again
PersonX does not jump out at PersonY,PersonX jumps out at PersonY
PersonX does not fill PersonY's pipe,PersonX fills PersonY's pipe
PersonX does not search everywhere for PersonY,PersonX searches everywhere for PersonY
PersonX does not take PersonY in,PersonX takes PersonY in
PersonX does not allow PersonY to keep the dog,PersonX allows PersonY to keep the dog
PersonX does not play football in high school,PersonX plays football in high school
PersonX does not find PersonY's lost dog,PersonX finds PersonY's lost dog
PersonX does not apologize profusely,PersonX apologizes profusely
PersonX does not sell the car,PersonX sells the car
PersonX does not wash PersonY's sheets,PersonX washes PersonY's sheets
PersonX does not play softball,PersonX plays softball
PersonX does not find my keys,PersonX finds my keys
PersonX does not ask PersonY to dine,PersonX asks PersonY to dine
PersonX does not get PersonX's first car,PersonX gets PersonX's first car
PersonX does not spend the day with PersonY,PersonX spends the day with PersonY
PersonX does not play well,PersonX plays well
PersonX does not get PersonY into trouble,PersonX gets PersonY into trouble
PersonX does not attend a concert,PersonX attends a concert
PersonX does not surprise PersonY,PersonX surprises PersonY
PersonX does not promise PersonY,PersonX promises PersonY
PersonX does not get PersonY's autograph,PersonX gets PersonY's autograph
PersonX does not want to tell PersonY,PersonX wants to tell PersonY
PersonX does not knock at PersonY's door,PersonX knocks at PersonY's door
PersonX does not bath PersonX,PersonX baths PersonX
PersonX does not spray PersonY,PersonX sprays PersonY
PersonX does not propose marriage,PersonX proposes marriage
PersonX does not sell PersonY's goods,PersonX sells PersonY's goods
PersonX does not become best friends,PersonX becomes best friends
PersonX does not leave a bad review,PersonX leaves a bad review
PersonX does not run as fast as PersonY could,PersonX runs as fast as PersonY could
PersonX does not punch PersonY in the eye,PersonX punches PersonY in the eye
PersonX does not break PersonY's nose,PersonX breaks PersonY's nose
PersonX does not lie behind PersonY,PersonX lies behind PersonY
PersonX does not work on PersonY's car,PersonX works on PersonY's car
PersonX does not get PersonY's friends,PersonX gets PersonY's friends
PersonX does not wash PersonY hair,PersonX washes PersonY hair
PersonX does not like PersonY very much,PersonX likes PersonY very much
PersonX does not warn PersonY of the danger,PersonX warns PersonY of the danger
PersonX does not call PersonX's wife,PersonX calls PersonX's wife
PersonX does not purchase tickets,PersonX purchases tickets
PersonX does not get PersonY's phone,PersonX gets PersonY's phone
PersonX does not adopt a baby,PersonX adopts a baby
PersonX does not call PersonY up,PersonX calls PersonY up
PersonX does not put PersonY right,PersonX puts PersonY right
PersonX does not lose PersonX's friend,PersonX loses PersonX's friend
PersonX does not get PersonY's phone back,PersonX gets PersonY's phone back
PersonX does not take PersonY's girlfriend out,PersonX takes PersonY's girlfriend out
PersonX does not read PersonY a story,PersonX reads PersonY a story
PersonX does not apologize to PersonX's boss,PersonX apologizes to PersonX's boss
PersonX does not call on PersonY,PersonX calls on PersonY
PersonX does not love PersonY's mom,PersonX loves PersonY's mom
PersonX does not get my money back,PersonX gets my money back
PersonX does not throw a dinner party,PersonX throws a dinner party
PersonX does not make the coffee,PersonX makes the coffee
PersonX does not ask PersonY to help,PersonX asks PersonY to help
PersonX did not really piss PersonY off,PersonX really pissed PersonY off
PersonX does not cheer PersonY,PersonX cheers PersonY
PersonX does not make the trip,PersonX makes the trip
PersonX does not take PersonY's girlfriend out to dinner,PersonX takes PersonY's girlfriend out to dinner
PersonX does not get to see PersonY,PersonX gets to see PersonY
PersonX does not clean PersonY's cage,PersonX cleans PersonY's cage
PersonX does not ask the girl out,PersonX asks the girl out
PersonX does not marry PersonY's cousin,PersonX marries PersonY's cousin
PersonX does not give PersonY a blanket,PersonX gives PersonY a blanket
PersonX does not want to break up,PersonX wants to break up
PersonX does not teach PersonY the basics,PersonX teaches PersonY the basics
PersonX does not decide to adopt PersonY,PersonX decides to adopt PersonY
PersonX does not marry PersonY's sister,PersonX marries PersonY's sister
PersonX does not track PersonY,PersonX tracks PersonY
PersonX does not decorate PersonY's tree,PersonX decorates PersonY's tree
PersonX does not bake PersonY a cake,PersonX bakes PersonY a cake
PersonX does not tell PersonY the truth,PersonX tells PersonY the truth
PersonX does not give PersonY a funny look,PersonX gives PersonY a funny look
PersonX does not meet PersonY's gaze,PersonX meets PersonY's gaze
PersonX does not share PersonY's love,PersonX shares PersonY's love
PersonX does not give PersonY some tips,PersonX gives PersonY some tips
PersonX does not bore PersonY a son,PersonX bores PersonY a son
PersonX does not spend time with PersonX's friends,PersonX spends time with PersonX's friends
PersonX does not meet a friend,PersonX meets a friend
PersonX does not give PersonY the gift,PersonX gives PersonY the gift
PersonX does not yell bingo,PersonX yells bingo
PersonX does not unpack PersonY's things,PersonX unpacks PersonY's things
PersonX does not discipline PersonY,PersonX disciplines PersonY
PersonX does not break PersonY arm,PersonX breaks PersonY arm
PersonX does not mess with PersonY,PersonX messes with PersonY
PersonX does not run toward PersonY,PersonX runs toward PersonY
PersonX does not take PersonY home,PersonX takes PersonY home
PersonX does not give PersonY the names,PersonX gives PersonY the names
PersonX does not shave PersonY's face,PersonX shaves PersonY's face
PersonX does not give it away,PersonX gives it away
PersonX does not occupy PersonY's time,PersonX occupies PersonY's time
PersonX does not drive PersonY's truck,PersonX drives PersonY's truck
PersonX did not swirl PersonY's tongue,PersonX swirls PersonY's tongue
PersonX does not give it to PersonX's mom,PersonX gives it to PersonX's mom
PersonX does not tutor PersonY,PersonX tutors PersonY
PersonX does not drive to PersonY,PersonX drives to PersonY
PersonX does not take care of the PersonY,PersonX takes care of the PersonY
PersonX does not open PersonY eyes,PersonX opens PersonY eyes
PersonX does not dump PersonY,PersonX dumps PersonY
PersonX does not take PersonY's food,PersonX takes PersonY's food
PersonX does not paint PersonY's nails,PersonX paints PersonY's nails
PersonX does not bring PersonY food,PersonX brings PersonY food
PersonX does not eat PersonY food,PersonX eats PersonY food
PersonX does not take care of a PersonY,PersonX takes care of a PersonY
PersonX does not go fishing with PersonX's father,PersonX goes fishing with PersonX's father
PersonX does not pay no attention to PersonY,PersonX pays no attention to PersonY
PersonX does not bring PersonY's lunch,PersonX brings PersonY's lunch
PersonX does not use PersonY's car,PersonX uses PersonY's car
PersonX does not tell PersonY to go home,PersonX tells PersonY to go home
PersonX does not enjoy PersonY's food,PersonX enjoys PersonY's food
PersonX does not persuade PersonY to leave,PersonX persuades PersonY to leave
PersonX does not see what was wrong with PersonY,PersonX sees what was wrong with PersonY
PersonX does not go to PersonY's car,PersonX goes to PersonY's car
PersonX does not say goodbye,PersonX says goodbye
PersonX does not enter PersonY's house,PersonX enters PersonY's house
PersonX does not pick PersonY,PersonX picks PersonY
PersonX does not show PersonY's daughter,PersonX shows PersonY's daughter
PersonX does not go up to PersonY,PersonX goes up to PersonY
PersonX does not throw candy,PersonX throws candy
PersonX does not express PersonY appreciation,PersonX expresses PersonY appreciation
PersonX does not return to PersonY's land,PersonX returns to PersonY's land
PersonX does not play beach volleyball,PersonX plays beach volleyball
PersonX does not fight PersonY,PersonX fights PersonY
PersonX does not take PersonY to bed,PersonX takes PersonY to bed
PersonX does not play with PersonY's hair,PersonX plays with PersonY's hair
PersonX does not take PersonY's family to the beach,PersonX takes PersonY's family to the beach
PersonX does not find PersonY,PersonX finds PersonY
PersonX does not rule the school,PersonX rules the school
PersonX does not win PersonY's heart,PersonX wins PersonY's heart
PersonX does not pressure PersonY,PersonX pressures PersonY
PersonX does not get PersonY a present,PersonX gets PersonY a present
PersonX does not promote PersonY,PersonX promotes PersonY
PersonX does not accomplish PersonY's work,PersonX accomplishes PersonY's work
PersonX does not tear PersonY apart,PersonX tears PersonY apart
PersonX does not get PersonY abortion,PersonX gets PersonY abortion
PersonX does not agree to go with PersonY,PersonX agrees to go with PersonY
PersonX does not publish PersonY article,PersonX publishes PersonY article
PersonX does not see PersonY tonight,PersonX sees PersonY tonight
PersonX does not pull PersonY close,PersonX pulls PersonY close
PersonX does not get PersonY's hair cut,PersonX gets PersonY's hair cut
PersonX does not pull PersonY's fingers out,PersonX pulls PersonY's fingers out
PersonX does not stop to help PersonY,PersonX stops to help PersonY
PersonX does not become a police officer,PersonX becomes a police officer
PersonX did not grab PersonY's backpack,PersonX grabs PersonY's backpack
PersonX does not get a payday loan,PersonX gets a payday loan
PersonX does not wish PersonY good luck,PersonX wishes PersonY good luck
PersonX does not pull a rabbit out of a hat,PersonX pulls a rabbit out of a hat
PersonX does not see a movie together,PersonX sees a movie together
PersonX does not begin PersonX's career,PersonX begins PersonX's career
PersonX does not get married today,PersonX gets married today
PersonX does not put PersonY arms around PersonZ,PersonX puts PersonY arms around PersonZ
PersonX does not see PersonX's friends again,PersonX sees PersonX's friends again
PersonX did not grab PersonY's wallet,PersonX grabs PersonY's wallet
PersonX does not berate PersonY,PersonX berates PersonY
PersonX does not give PersonY a high five,PersonX gives PersonY a high five
PersonX does not talk to PersonY's brother,PersonX talks to PersonY's brother
PersonX does not realize PersonY forgot PersonX's wallet,PersonX realizes PersonY forgot PersonX's wallet
PersonX does not braid PersonY's hair,PersonX braids PersonY's hair
PersonX does not grind PersonY's hips,PersonX grinds PersonY's hips
PersonX does not give PersonY a reception,PersonX gives PersonY a reception
PersonX does not want to take PersonY on a date,PersonX wants to take PersonY on a date
PersonX does not release PersonY,PersonX releases PersonY
PersonX does not have a halloween party,PersonX has a halloween party
PersonX does not bribe PersonY with candy,PersonX bribes PersonY with candy
PersonX does not give PersonY a welcome,PersonX gives PersonY a welcome
PersonX does not give PersonY illustration,PersonX gives PersonY illustration
PersonX does not remember PersonY's birthday,PersonX remembers PersonY's birthday
PersonX does not have a party at PersonY's house,PersonX has a party at PersonY's house
PersonX does not bury PersonY's head,PersonX buries PersonY's head
PersonX does not take PersonY out to eat,PersonX takes PersonY out to eat
PersonX does not take PersonY's shot,PersonX takes PersonY's shot
PersonX does not send PersonY to PersonZ,PersonX sends PersonY to PersonZ
PersonX does not give PersonY's tickets,PersonX gives PersonY's tickets
PersonX does not have a small party,PersonX has a small party
PersonX does not buy flowers,PersonX buys flowers
PersonX does not visit PersonY's uncle's farm,PersonX visits PersonY's uncle's farm
PersonX does not walk with PersonY,PersonX walks with PersonY
PersonX does not say hello,PersonX says hello
PersonX does not have fun with PersonX's friends,PersonX has fun with PersonX's friends
PersonX does not take PersonY's hands,PersonX takes PersonY's hands
PersonX does not call PersonY's back,PersonX calls PersonY's back
PersonX does not steal the ball,PersonX steals the ball
PersonX does not call PersonY's family,PersonX calls PersonY's family
PersonX does not wear deodorant,PersonX wears deodorant
PersonX does not have lost PersonY's keys,PersonX has lost PersonY's keys
PersonX does not sue PersonX's boss,PersonX sues PersonX's boss
PersonX does not give it back to PersonY,PersonX gives it back to PersonY
PersonX does not call PersonY's friend,PersonX calls PersonY's friend
PersonX does not help PersonX's mother,PersonX helps PersonX's mother
PersonX does not steal PersonY's money,PersonX steals PersonY's money
PersonX does not see a man about a horse,PersonX sees a man about a horse
PersonX does not greet PersonY,PersonX greets PersonY
PersonX does not send PersonY to a school,PersonX sends PersonY to a school
PersonX does not help other people,PersonX helps other people
PersonX does not send a text,PersonX sends a text
PersonX does not have a party at PersonX's house,PersonX has a party at PersonX's house
PersonX does not hug PersonY tight,PersonX hugs PersonY tight
PersonX does not help PersonY out,PersonX helps PersonY out
PersonX does not take PersonX's family to the beach,PersonX takes PersonX's family to the beach
PersonX does not squeeze PersonY's hand,PersonX squeezes PersonY's hand
PersonX does not hug PersonY's mom,PersonX hugs PersonY's mom
PersonX does not rush to PersonY's car,PersonX rushes to PersonY's car
PersonX does not take PersonY to the mall,PersonX takes PersonY to the mall
PersonX does not impress PersonY's parents,PersonX impresses PersonY's parents
PersonX does not want to ask PersonY out,PersonX wants to ask PersonY out
PersonX does not see all of PersonX's friends,PersonX sees all of PersonX's friends
PersonX does not inspire PersonY,PersonX inspires PersonY
PersonX does not see PersonX's grandma,PersonX sees PersonX's grandma
PersonX does not tell PersonY were going,PersonX tells PersonY were going
PersonX does not introduce himself to PersonY,PersonX introduces himself to PersonY
PersonX does not treat PersonY kindly,PersonX treats PersonY kindly
PersonX does not invite PersonY back,PersonX invites PersonY back
PersonX does not try to ask PersonY out,PersonX tries to ask PersonY out
PersonX does not turn PersonY loose,PersonX turns PersonY loose
PersonX does not invite all of PersonX's friends over,PersonX invites all of PersonX's friends over
PersonX does not use PersonY's computer,PersonX uses PersonY's computer
PersonX does not steal PersonY's wallet,PersonX steals PersonY's wallet
PersonX does not sing PersonY's praises,PersonX sings PersonY's praises
PersonX is not PersonY's date,PersonX is PersonY's date
PersonX does not work closely with PersonY,PersonX works closely with PersonY
PersonX is not on a first date,PersonX is on a first date
PersonX does not write PersonY book,PersonX writes PersonY book
PersonX is not really nice to PersonY,PersonX is really nice to PersonY
PersonX is not running for class president,PersonX is running for class president
PersonX does not surprise PersonX's mom,PersonX surprises PersonX's mom
PersonX does not volunteer PersonX's time,PersonX volunteers PersonX's time
PersonX does not see some friends,PersonX sees some friends
PersonX does not want to be PersonY's friend,PersonX wants to be PersonY's friend
PersonX does not take PersonY shopping,PersonX takes PersonY shopping
PersonX does not wreck PersonY's car,PersonX wrecks PersonY's car
PersonX does not take PersonY to disneyland,PersonX takes PersonY to disneyland
PersonX did not bid PersonY farewell,PersonX bade PersonY farewell
PersonX does not throw a party for PersonY's friends,PersonX throws a party for PersonY's friends
PersonX does not begin to speak,PersonX begins to speak
