event,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant,split,original
PersonX does not take good care of PersonY,"[""none"", ""PersonY dies"", ""PersonY finds another caretaker""]","[""useless"", ""helpless"", ""neglected"", ""unloved""]","[""someone other than PersonX as a caregiver"", ""to end their association with PersonX"", ""none""]","[""selfish"", ""uncaring"", ""unhelpful"", ""cruel""]","[""loses PersonY's admiration"", ""gets called out"", ""takes advantage of PersonY"", ""thinks he/she is a horrible person""]","[""PersonY to be responsible"", ""PersonY to do it on own"", ""none""]","[""none"", ""to earn more money"", ""to work a lot""]","[""irresponsible"", ""unbothered"", ""regret"", ""worry"", ""like a failure""]","[""to be selfish with actions"", ""to be negligent"", ""to take care of person y"", ""to spend time with person y""]",trn,PersonX takes good care of PersonY
PersonX does not give PersonY order,"[""none"", ""gets arrested by the police"", ""gets assault charges filed against them""]","[""independent"", ""on a long leash"", ""respected"", ""laughed at""]","[""none""]","[""absentminded"", ""forgetful"", ""unsure"", ""uncertain"", ""undecided""]","[""none"", ""gets insulted at the drive through window"", ""gets a drink thrown at them""]","[""PersonY to solve the issue themselves"", ""to not micro-manage PersonY"", ""to show respect for Y the boss"", ""to let Y find out on her own""]","[""none""]","[""preoccupied"", ""conflicted"", ""in line"", ""like smirking""]","[""to respect them"", ""to be alone"", ""to avoid PersonY"", ""to ignore PersonY""]",trn,PersonX gives PersonY order
PersonX does not slam PersonY's hand,"[""none""]","[""none"", ""thankful"", ""appreciative""]","[""Think about what personx wanted to do"", ""Consider what he did to trigger that reaction"", ""to keep being friends with X"", ""to stay healthy and have their hands well""]","[""considerate"", ""caring"", ""careful"", ""attentive""]","[""none""]","[""none"", ""show kindness"", ""get love""]","[""Hold persony's hand"", ""grip his/her hand firmly"", ""none""]","[""normal"", ""humane"", ""relieved"", ""courageous""]","[""Place PersonY's hand down gently"", ""Smile and walk away"", ""to continue to be friendly with Y"", ""to maintain good relations with others""]",trn,PersonX slams PersonY's hand
PersonX does not shoot a gun,"[""none""]","[""none""]","[""none"", ""to live"", ""to be safe""]","[""caring"", ""unskilled"", ""uninterested"", ""pacifistic""]","[""none""]","[""to not influence others to shoot guns"", ""to stay away from guns"", ""to not hurt anyone"", ""to avoid self injury""]","[""none""]","[""happy"", ""influential"", ""nervous"", ""relieved"", ""reflective""]","[""to get away from guns"", ""to get guns off the street"", ""to avoid killing"", ""to use a knife instead""]",trn,PersonX shoots a gun
PersonX does not deprive PersonY of the power,"[""none""]","[""supported"", ""accommodated"", ""superior"", ""leader""]","[""none"", ""feel grateful"", ""attempt to not abuse their power""]","[""unrestrictive"", ""supportive"", ""understanding"", ""caring""]","[""none"", ""allows Y to make their decision"", ""accommodates y""]","[""to be seen as just"", ""to not abuse their authority"", ""to get assistance"", ""to become a leader""]","[""none"", ""Wonder how valuable personY is"", ""assess how useful he is""]","[""principled"", ""merciful"", ""determined"", ""powerful""]","[""to be at per"", ""to avoid arguments"", ""keep an eye on personY"", ""have a routine check up to feel secure about his decision""]",trn,PersonX deprives PersonY of the power
PersonX does not enjoy the day,"[""none""]","[""none""]","[""none""]","[""gloomy"", ""withdrawn"", ""unimpressed"", ""sad"", ""alone""]","[""none"", ""is tired"", ""frowns""]","[""none""]","[""none""]","[""frustrated"", ""bored"", ""disappointed"", ""sad""]","[""to be happy"", ""to have fun"", ""to sleep full day"", ""to sitting idle""]",trn,PersonX enjoys the day
PersonX does not teach PersonY a lesson,"[""none""]","[""relieved"", ""lucky"", ""none""]","[""to assault personx"", ""to confront personx"", ""none""]","[""incapable"", ""selfish"", ""rude"", ""unhelpful""]","[""none""]","[""to not be vindictive"", ""to not be judgmental"", ""none""]","[""none""]","[""pleased with themselves"", ""fair"", ""rational"", ""disrespected"", ""disturbed""]","[""to get rid of persony"", ""to dismiss persony"", ""to try again"", ""to stay out of jail this time""]",trn,PersonX teaches PersonY a lesson
PersonX does not make PersonY bed,"[""has to make their bed themselves"", ""isn't thankful of PersonX"", ""none""]","[""frustrated with PersonX"", ""disappointed"", ""exhausted"", ""overwhelmed""]","[""none"", ""to berate PersonX"", ""PersonX to start cleaning up""]","[""welcoming"", ""affectionate"", ""careless"", ""untidy""]","[""none""]","[""none""]","[""sleep in the bed"", ""go to bed"", ""none""]","[""forgetful"", ""sloppy"", ""lazy"", ""worthless""]","[""to shower"", ""have breakfast"", ""to go back to bed"", ""to goof off""]",trn,PersonX makes PersonY bed
PersonX does not give PersonY a wink,"[""none""]","[""awkward"", ""skeeved by personx"", ""discouraged"", ""disappointed""]","[""to gain confidence of X"", ""to get closer with X"", ""none""]","[""timid"", ""shy"", ""reserved"", ""unconnected"", ""unimpressed""]","[""none""]","[""to look stuck up"", ""to snub persony"", ""to avoid leading them on"", ""to keep to themselves""]","[""none""]","[""cooler than persony"", ""superior"", ""standoffish"", ""reserved""]","[""to be professional around Y"", ""to maintain the upper hand with Y"", ""to look at other people"", ""not wink at others""]",trn,PersonX gives PersonY a wink
PersonX does not conceive a child,"[""none""]","[""none"", ""Sad"", ""worried""]","[""none""]","[""unsure"", ""protective"", ""infertile"", ""unlucky""]","[""PersonX gets their period"", ""PersonX cries"", ""none""]","[""none""]","[""to have a partner"", ""to have sex"", ""have sex"", ""decide if they want a child""]","[""Disappointed"", ""Sad"", ""Frustrated"", ""Lonely"", ""worried"", ""depressed"", ""angry""]","[""to conceive a child"", ""to go to a fertilization clinic"", ""go home"", ""cry""]",trn,PersonX conceives a child
PersonX does not believe what PersonY saw,"[""argued with"", ""laughed at"", ""none""]","[""discredited"", ""upset at personx"", ""upset"", ""annoyed""]","[""PersonX to believe their story"", ""to tell their story to someone else"", ""to prove it to PersonX""]","[""suspicious"", ""skeptical"", ""flabbergasted"", ""amazed""]","[""argued with"", ""yelled at"", ""none""]","[""none""]","[""to know PersonY"", ""to hear an eyewitness account from PersonY"", ""none""]","[""conflicted"", ""like questioning persony"", ""curious"", ""confused""]","[""to verify the details of PersonY's story"", ""to teach PersonY to think about things more critically""]",trn,PersonX believes what PersonY saw
PersonX does not get away with murder,"[""none""]","[""none"", ""relieved"", ""vengeful""]","[""to celebrate the verdict"", ""to give tearful courthouse interviews"", ""none""]","[""bad"", ""evil"", ""unsuccessful"", ""failed""]","[""goes to jail"", ""is arrested"", ""goes to court"", ""gets executed""]","[""none""]","[""to leave incriminating evidence behind"", ""to get caught by the police"", ""Leave clues and evidence at the scene"", ""Make mistakes and get caught""]","[""busted"", ""caught"", ""guilty"", ""regretful""]","[""to hire a lawyer"", ""to plead guilty"", ""to reflect on his actions in jail"", ""Goes to jail"", ""Gets arrested""]",trn,PersonX gets away with murder
PersonX does not thank PersonY for PersonZ's help,"[""none""]","[""offended"", ""angry"", ""ignored"", ""unappreciated""]","[""to make sure PersonX appreciated the help"", ""to gossip about PersonX's ungratefulness"", ""none""]","[""unappreciative"", ""ungrateful"", ""dissatisfied"", ""upset""]","[""none""]","[""to be rude"", ""to make a point"", ""to thank personZ"", ""to give credit where credit is due""]","[""know PersonY and PersonZ"", ""have been helped by PersonZ"", ""to have been near PersonY"", ""none""]","[""annoyed"", ""pleased"", ""justified"", ""fair""]","[""to thank PersonZ and apologize"", ""to go home and relax""]",trn,PersonX thanks PersonY for PersonZ's help
PersonX does not wrap PersonY up,"[""none""]","[""comfortable"", ""free"", ""wet"", ""cold""]","[""none""]","[""considerate"", ""respectful"", ""aloof"", ""uncaring""]","[""none""]","[""to let PersonY enjoy the hot weather"", ""to let PersonY move freely"", ""none""]","[""none""]","[""appropriate"", ""respectful"", ""harried"", ""rushed""]","[""to stay col"", ""to go away"", ""find a wrapping paper"", ""apologize to person Y""]",trn,PersonX wraps PersonY up
PersonX does not show PersonY sign,"[""none"", ""does not learn sign"", ""becomes lost""]","[""happy"", ""thankful"", ""none""]","[""none""]","[""uninterested"", ""unhelpful"", ""negligent"", ""unprepared""]","[""none""]","[""to stay out of it"", ""to be respectful"", ""none""]","[""none""]","[""pleased"", ""proud"", ""good"", ""satisfied""]","[""to continue not showing the sign"", ""to do nothing in particular"", ""keep PersonY in the dark"", ""not share information""]",trn,PersonX shows PersonY sign
PersonX does not eat PersonY's lunch,"[""none""]","[""none"", ""grateful"", ""respected""]","[""none""]","[""thoughtful"", ""full"", ""considerate"", ""kind""]","[""I hungry"", ""orders own food"", ""none""]","[""to buy their own lunch"", ""to be considerate"", ""be respectful"", ""be kind""]","[""to forgot bringing person x lunch"", ""to refuse the offer of person y to have person y's lunch"", ""pack a lunch"", ""bring a lunch""]","[""responsible"", ""caring"", ""hungry"", ""proud""]","[""to go to the canteen"", ""buy person x's lunch"", ""eat the lunch"", ""put away the lunch""]",trn,PersonX eats PersonY's lunch
PersonX does not gain PersonY understanding,"[""none""]","[""frustrated"", ""angered"", ""none""]","[""none""]","[""confused"", ""upset"", ""dense"", ""pig headed""]","[""explains more to personY"", ""feels misunderstood"", ""tries to talk to someone else"", ""none""]","[""to be right"", ""to be adversarial"", ""none""]","[""none""]","[""determined"", ""indifferent"", ""frustrated"", ""misunderstood""]","[""to be friend with PersonY"", ""to more attentive"", ""to explain again"", ""to leave Y""]",trn,PersonX gains PersonY understanding
PersonX does not beat PersonY's brother,"[""PersonY celebrates with her brother"", ""PersonY's brother brags about his win to others"", ""gets to brag about winning"", ""gets to celebrate victory""]","[""thankful"", ""scared"", ""relieved""]","[""to brag"", ""to play again"", ""to avoid resorting to violence"", ""to keep playing semi-competitively with PersonX""]","[""peaceful"", ""disciplined"", ""incapable"", ""considerate""]","[""PersonX asks to challenge again"", ""PersonX cries about his loss"", ""loses to PersonY's brother"", ""doesn't get to brag about winning""]","[""to be merciful"", ""to not go to jail"", ""to avoid conflict"", ""to not hurt him""]","[""to not play better than him"", ""to not score more points"", ""to know PersonY"", ""to be in proximity to PersonY's brother""]","[""merciful"", ""angry"", ""pleased"", ""proud""]","[""to have a rematch"", ""to say good game"", ""to avoid causing physical harm to another person"", ""to let PersonY's brother win the game""]",trn,PersonX beats PersonY's brother
PersonX does not get rid of PersonY,"[""gets questioned in court"", ""gets put in witness protection"", ""none""]","[""persistent"", ""victorious"", ""relieved"", ""appreciated""]","[""none"", ""to stay close to PersonX"", ""to keep getting PersonX's attention""]","[""disinterested"", ""unbothered"", ""loyal"", ""polite""]","[""gets fired as a hitman"", ""gets blacklisted"", ""none""]","[""none"", ""to keep PersonY around"", ""to make use of PersonY""]","[""none"", ""to know PersonY"", ""to be in the same location as PersonY""]","[""smothered"", ""frustrated"", ""shrewd"", ""considerate""]","[""to be more attentive"", ""to go shopping"", ""PersonY to stick around"", ""to avoid hurting PersonY's feelings""]",trn,PersonX gets rid of PersonY
PersonX does not pull the wool over PersonY's eyes,"[""none""]","[""grateful"", ""glad"", ""shocked"", ""interested""]","[""none""]","[""incapable"", ""foolish"", ""honest"", ""straightforward""]","[""none""]","[""to be fair"", ""to be helpful"", ""PersonY to know the truth"", ""to avoid lying""]","[""none""]","[""friendly"", ""nice"", ""honest"", ""patient""]","[""to let them see"", ""to ensure its clear"", ""reveal the truth"", ""not protect""]",trn,PersonX pulls the wool over PersonY's eyes
PersonX does not go to the beach with PersonX's family,"[""none"", ""wonders why PersonX didn't come"", ""has fun without PersonX""]","[""abandoned"", ""rejected"", ""slighted"", ""offended"", ""none""]","[""none"", ""to play happily on the beach"", ""be safe in the beach""]","[""selfish"", ""afraid"", ""lonely"", ""private""]","[""none"", ""doesn't get invited to the beach next time"", ""misses out on inside jokes""]","[""to spend time by themselves"", ""to avoid awkward family conversations"", ""to eat"", ""sleep""]","[""none"", ""to think of going to beach with person x family"", ""to prepare everythin""]","[""relief"", ""slight guilt"", ""good"", ""excited""]","[""to avoid drowning"", ""to avoid sharks"", ""get into the beach"", ""to enjoy time with person x family""]",trn,PersonX goes to the beach with PersonX's family
PersonX does not leave PersonX's wife,"[""none""]","[""happy"", ""secure"", ""none""]","[""stay with PersonX"", ""enjoy time with PersonX"", ""none""]","[""kind"", ""tired"", ""responsible"", ""willing to work on them""]","[""none""]","[""stay committed"", ""honor the vow"", ""none""]","[""meet someone"", ""get married"", ""To be close to her"", ""To have relationship with her""]","[""proud"", ""committed"", ""happy"", ""excited to see her""]","[""tell their wife they love them"", ""get marriage consoling"", ""meet her"", ""Have good time with her""]",trn,PersonX leaves PersonX's wife
PersonX does not complete PersonX's education,"[""none""]","[""none""]","[""PersonX not to quit school"", ""to help PersonX stay in school"", ""none""]","[""slacking"", ""goof off"", ""brazen"", ""defiant""]","[""decides to work full time"", ""hides decision from parents"", ""none""]","[""to party"", ""to spend time with friends"", ""to change their path"", ""to find a job""]","[""to decide to quit school"", ""to make a serious choice"", ""to not put forth effort"", ""to care more about partying""]","[""bad"", ""like a fialure"", ""letdown"", ""lazy""]","[""to get a second job"", ""to get themselves out of debt"", ""to gradute"", ""to finish school""]",trn,PersonX completes PersonX's education
PersonX does not step on PersonY's toes,"[""sighs in relief"", ""smiles"", ""none""]","[""none""]","[""go out dancing again"", ""improve their dancing ability"", ""none""]","[""careful"", ""cautiousness"", ""caring"", ""mindful""]","[""none""]","[""none""]","[""go out dancing"", ""learn how to dance"", ""none""]","[""good"", ""happy"", ""careful"", ""mindful""]","[""show off their dance skills"", ""hold their partner closely"", ""to keep walking"", ""to get to their destination""]",trn,PersonX steps on PersonY's toes
PersonX does not take PersonY along,"[""none"", ""stay at home alone"", ""relax by themselves""]","[""none"", ""sad to be left"", ""disappointed""]","[""find something else to do"", ""stay at home"", ""none""]","[""isolated"", ""introverted"", ""selfish"", ""stingy""]","[""none"", ""take someone else with them"", ""go somewhere alone""]","[""none"", ""to go alone"", ""to get some peace and quiet""]","[""none"", ""to take their team members"", ""to go party""]","[""good"", ""happy"", ""relaxed"", ""content""]","[""go somewhere alone"", ""relax by themselves"", ""to take take another person"", ""to go shopping""]",trn,PersonX takes PersonY along
PersonX does not tell PersonY where to shove it,"[""none"", ""are not confronted"", ""are left alone""]","[""none"", ""unscathed"", ""embarrassed"", ""relieved"", ""unoffended""]","[""none""]","[""uninterested"", ""indifferent"", ""polite"", ""passive""]","[""none"", ""avoids a conflict"", ""is left alone""]","[""none"", ""peace"", ""kindness"", ""to have self control""]","[""bite their tongue"", ""get into an argument"", ""none""]","[""peaceful"", ""in control of their emotions""]","[""take out their anger on something"", ""complain about PersonY"", ""to walk away from PersonY"", ""to hit PersonY""]",trn,PersonX tells PersonY where to shove it
PersonX does not get it working,"[""none""]","[""none""]","[""none""]","[""poor"", ""unrewarded"", ""frustrated"", ""angry""]","[""becomes frantic"", ""spends money on repairs"", ""is late for work"", ""gets yelled at by their boss""]","[""none""]","[""attempt to fix it"", ""to be mechanically inept"", ""to work on it"", ""to turn it on""]","[""upset"", ""frustrated"", ""flummoxed"", ""exhausted""]","[""to take it to a repair shop"", ""to learn how to work on it"", ""to find a repairman"", ""to get more tools""]",trn,PersonX gets it working
PersonX does not have lost PersonY's keys,"[""none""]","[""none"", ""relieved"", ""appreciative""]","[""none""]","[""meticulous"", ""careful"", ""trustworthy""]","[""none""]","[""none""]","[""to close the door"", ""to take the keys"", ""none""]","[""curious"", ""embarrassed"", ""relieved"", ""uninvolved""]","[""to visit person y"", ""to give to person Y"", ""to find the keys"", ""to replace the key""]",trn,PersonX has lost PersonY's keys
PersonX does not buy PersonY,"[""maintains freedom"", ""sold to someone else"", ""none""]","[""rejected"", ""disappointed"", ""none""]","[""none""]","[""lawful"", ""considerate"", ""logical"", ""normal""]","[""none""]","[""to save money"", ""to avoid person y"", ""none""]","[""none""]","[""careful"", ""aware"", ""selfless"", ""misinterpreted""]","[""to get away from people"", ""to be lazy"", ""to buy a car"", ""to buy a bike""]",trn,PersonX buys PersonY
PersonX does not bring PersonX's daughter,"[""stays at home"", ""throws a tantrum"", ""none""]","[""left out"", ""angry"", ""like a little kid"", ""upset that they can't go to the party""]","[""none""]","[""forgetful"", ""inconsiderate"", ""independent"", ""serious""]","[""goes solo"", ""bring son instead"", ""none""]","[""to get some peace and quiet"", ""to avoid distraction"", ""to wait until PersonX's daughter is older"", ""to enjoy some time alone""]","[""none""]","[""calm"", ""powerful"", ""independent"", ""relieved to get away from the family for a while""]","[""to bring the son"", ""to come alone"", ""to travel"", ""to be alone""]",trn,PersonX brings PersonX's daughter
PersonX does not take PersonY to a shelter,"[""none"", ""PersonY is not taken by PersonX"", ""PersonY must find another way to the shelter""]","[""grateful"", ""unsure"", ""none""]","[""call someone else"", ""express sadness"", ""to seek other help"", ""to figure out their relationship with person X""]","[""forgetful"", ""predisposed"", ""reluctant"", ""uncaring"", ""heartless""]","[""none"", ""PersonX does not help PersonY"", ""PersonX finds another means to get PersonY to the shelter""]","[""find a better place"", ""invite personY to come home"", ""none""]","[""none""]","[""helpful"", ""generous"", ""busy"", ""committed""]","[""apologize to them"", ""ask if someone else can help them"", ""to go home"", ""to leave person Y by themselves""]",trn,PersonX takes PersonY to a shelter
PersonX does not talk to PersonY's brother,"[""none"", ""have guilt for PersonX"", ""be apologetic""]","[""saddened"", ""devastated"", ""like they missed something"", ""like they should have stayed home""]","[""to get closer to x"", ""to find out why they were being ignored"", ""to avoid PersonX"", ""to get away from PersonX""]","[""rude"", ""unreasonable"", ""indignant"", ""disgruntled""]","[""none"", ""miss the brother"", ""accept the growing attitude of the brother""]","[""to be rude"", ""to be unwelcoming"", ""doesnt like person Y's brother"", ""is shy""]","[""none"", ""to know PersonY"", ""to know PersonY's brother"", ""to be mad at PersonY's brother""]","[""cruel"", ""unwelcoming"", ""like they should have spoken up"", ""like they avoided conflict""]","[""to remain aloof"", ""to keep to themselves"", ""to talk to PersonY"", ""to avoid PersonY's brother""]",trn,PersonX talks to PersonY's brother
PersonX does not express PersonY idea,"[""none""]","[""Shocked"", ""Wondering"", ""betrayed"", ""taken advantage of""]","[""none"", ""enlist help"", ""get a new coworker""]","[""opinionated"", ""their own person"", ""independent"", ""uninspired""]","[""none""]","[""none"", ""to take credit"", ""to pretend its their own""]","[""none""]","[""Glad"", ""Worried"", ""really low"", ""bad""]","[""to stick with what they believe"", ""to win"", ""listen to Person Y"", ""talk to their boss""]",trn,PersonX expresses PersonY idea
PersonX does not take PersonY degree,"[""none""]","[""none""]","[""none"", ""attempt to find their degree"", ""keep it in a safe space""]","[""normal"", ""kind"", ""pompous"", ""arrogant""]","[""none""]","[""none""]","[""none""]","[""kind"", ""good about their decision""]","[""to study alone"", ""to graduate first"", ""Keep the degree where it's at"", ""Hope PersonY finds it on their own""]",trn,PersonX takes PersonY degree
PersonX does not want to be class president,"[""none""]","[""none"", ""like they don't have real representation"", ""like the only good candidate isn't running""]","[""none""]","[""a follower"", ""unsure"", ""lazy"", ""disengaged""]","[""none"", ""unnoticed"", ""blends in""]","[""doesn't want the label"", ""doesn't want the fame"", ""to pursue a career in medicine not politics"", ""to avoid political discussions""]","[""none"", ""to consider running for president"", ""to not want to do the job"", ""to consider the duties""]","[""fine"", ""content"", ""uninterested in politics"", ""non-partisan""]","[""to limit their responsibilities"", ""to avoid being in charge"", ""to perform a different office"", ""to do something more enjoyable""]",trn,PersonX wants to be class president
PersonX does not reduce PersonX's costs,"[""none""]","[""none""]","[""none""]","[""unlucky"", ""careless"", ""penniless"", ""stingy""]","[""none""]","[""do not want to reduce it"", ""increase it"", ""none""]","[""to overspend"", ""to keep track of their spending"", ""none""]","[""happy"", ""satisfied"", ""worried"", ""anxious""]","[""look over their budget"", ""justify the amount that they spend"", ""to live a costly life"", ""to save on costs""]",trn,PersonX reduces PersonX's costs
PersonX does not make fun of PersonY's,"[""none""]","[""none""]","[""none"", ""to be funny"", ""to apologize""]","[""caring"", ""affectionate"", ""friendly"", ""social""]","[""none""]","[""kind"", ""thoughtful"", ""to be respectful"", ""to be friends with PersonY""]","[""none""]","[""kind"", ""thoughtful"", ""respectful"", ""moral""]","[""continue to be kind"", ""mind themselves"", ""to pull PersonY to the side"", ""to tell PersonY to stop doing stupid things""]",trn,PersonX makes fun of PersonY's
PersonX does not quit playing,"[""none""]","[""competitive"", ""hopeful"", ""none""]","[""to win"", ""to compete"", ""none""]","[""determined"", ""brave"", ""committed"", ""stubborn"", ""strong willed"", ""focused""]","[""Praised by coach"", ""Named team captain"", ""none""]","[""to continue playing"", ""to ultimately win"", ""to learn"", ""gain knowledge""]","[""none""]","[""pressured to perform well"", ""entertained"", ""accomplished"", ""valued""]","[""to win"", ""to be friendly"", ""to succeed"", ""to remain competitive""]",trn,PersonX quits playing
PersonX does not drop PersonY's cell phone,"[""none""]","[""pleased"", ""thankful"", ""Relieved"", ""Grateful""]","[""to get their phone back"", ""tell them they are welcome"", ""to thank personx"", ""show sincerity""]","[""careful"", ""considerate"", ""mindful""]","[""none""]","[""to not break it"", ""to be respectful"", ""Doesn't want to damage somebody else's property"", ""Wants to be a good friend""]","[""picks up the cell phone"", ""asks to borrow it"", ""none""]","[""happy"", ""proud"", ""Proud of self"", ""Responsible""]","[""give it back"", ""say thank you"", ""to show trustworthiness"", ""be a good person""]",trn,PersonX drops PersonY's cell phone
PersonX does not pull PersonY's hands,"[""none""]","[""respected"", ""taken care of"", ""capable"", ""comfortable""]","[""none""]","[""shy"", ""independent"", ""gentle"", ""respectful""]","[""he is given gratitude"", ""he falls down"", ""none""]","[""to be polite"", ""to be gentle"", ""to let PersonY go at her own pace"", ""to respect PersonY's space""]","[""none""]","[""gentle"", ""caring"", ""patient"", ""respectful""]","[""to respect PersonY"", ""to be nice to PersonY"", ""to be straightforward"", ""to be honest""]",trn,PersonX pulls PersonY's hands
PersonX does not persuade PersonY to go,"[""none""]","[""harrassed"", ""put upon"", ""confused"", ""offended""]","[""none"", ""to ask PersonY what's going on"", ""to relax""]","[""unconcerned"", ""indifferent"", ""relaxed"", ""understanding""]","[""none""]","[""none"", ""to go alone"", ""to avoid them""]","[""none"", ""to know PersonY"", ""to have someplace to go""]","[""lonely"", ""rejected"", ""guilty"", ""pleased""]","[""to get on the road"", ""to get moving""]",trn,PersonX persuades PersonY to go
PersonX does not keep winning,"[""none""]","[""none""]","[""none""]","[""overthrown"", ""defeated"", ""unenthusiastic"", ""indifferent""]","[""they are kicked off the team"", ""Person X loses"", ""Person X becomes broke""]","[""none""]","[""none"", ""have a poor performance"", ""have previous wins""]","[""defeated"", ""dominated"", ""crushed"", ""Disappointed"", ""Determined"", ""Inferior""]","[""to practice more"", ""to try harder"", ""change their strategy"", ""practice more during down times""]",trn,PersonX keeps winning
PersonX does not move to europe,"[""none""]","[""none""]","[""none""]","[""scared"", ""unwilling"", ""lazy"", ""afraid""]","[""does not have to pack boxes"", ""stays in current town/city"", ""none""]","[""to stay close to their family and friends"", ""to not have to apply for citizenship somewhere else"", ""to stay put"", ""to avoid having to travel""]","[""none""]","[""rooted"", ""committed to living where they currently are"", ""curious"", ""regretful""]","[""to move to Africa"", ""To go to Asia"", ""to stay home"", ""stay alone""]",trn,PersonX moves to europe
PersonX does not stop working,"[""none""]","[""none""]","[""none""]","[""busy"", ""dedicated"", ""hardworking"", ""focused""]","[""gets tired"", ""gets more money"", ""makes progress""]","[""success"", ""promotions"", ""to complete the task at hand"", ""to not get distracted""]","[""to be busy"", ""to be enjoying their progress"", ""none""]","[""tired"", ""wrung out"", ""studious"", ""preoccupied""]","[""to finish the job"", ""to be satisfied with the results"", ""continue working"", ""to continue collecting money""]",trn,PersonX stops working
PersonX does not call the cable guy,"[""get paid on call"", ""showcase his expertise"", ""none""]","[""none""]","[""none""]","[""forgetful"", ""absentminded"", ""unconcerned"", ""lazy""]","[""have a disconnection"", ""pay to get an expert fix"", ""none""]","[""to try and fix the cable themselves"", ""to not be ripped off"", ""none""]","[""to know the issue"", ""to know the details"", ""have a bad connection"", ""check account balance""]","[""frugal"", ""self-assured"", ""forgettful"", ""irritated""]","[""to solve the problem"", ""to arrange the things with other person"", ""to do the basic reconnection by self"", ""to re-read the modem manual""]",trn,PersonX calls the cable guy
PersonX does not bring PersonY to trial,"[""none""]","[""thankful"", ""happy"", ""gratitude"", ""a sense of joy""]","[""appreciate  PersonX"", ""attempt to change"", ""to pay their settlement"", ""to negotiate payments""]","[""fearful"", ""disapproving"", ""understanding"", ""intelligent""]","[""none""]","[""to be merciful"", ""to save personY"", ""to seem empathetic"", ""to corral the justice voter""]","[""access personY's situation"", ""consider the implications"", ""to sue PersonY"", ""to make a settlement with PersonY""]","[""merciful"", ""nervous because of collusion"", ""compassion"", ""benevolence""]","[""warn personY for the future"", ""guide personY to a better path"", ""to collect his money"", ""to hire a debt collector""]",trn,PersonX brings PersonY to trial
PersonX does not invite PersonY to visit,"[""none""]","[""none""]","[""to cancel their plans"", ""to go to PersonX"", ""to know why personX is being mean"", ""to go see personx""]","[""mean"", ""selfish"", ""shy"", ""timid""]","[""none""]","[""none"", ""to cook"", ""to sleep""]","[""none""]","[""selfish"", ""unkind"", ""good"", ""happy""]","[""to go to PersonY's house"", ""to call PersonY to come over"", ""to be alone"", ""to apologize to persony""]",trn,PersonX invites PersonY to visit
PersonX does not kiss PersonY tenderly,"[""none"", ""offended"", ""harassed""]","[""unwanted"", ""unloved"", ""hurt"", ""heartbroken"", ""confused""]","[""to tell PersonX how to kiss"", ""to tell PersonX to be more gentle"", ""to cry"", ""to find out what's wrong with PersonX""]","[""reserved"", ""timid"", ""shy"", ""passionless"", ""unexciting""]","[""none"", ""gets pushed"", ""gets slapped""]","[""to avoid giving PersonY the wrong idea"", ""to show they don't like PersonY that way"", ""to play rough"", ""to hurt PersonY""]","[""to be on his first date"", ""to pretend he knows what he's doing"", ""to be in a bad mood"", ""to be close emotionally to PersonY""]","[""sympathetic"", ""sorry"", ""guilty"", ""culpable""]","[""to kiss PersonY again"", ""to date only PersonY"", ""to pout"", ""to make up with PersonY""]",trn,PersonX kisses PersonY tenderly
PersonX does not have a pair,"[""none""]","[""none""]","[""none""]","[""unowning"", ""possessionless"", ""pairless"", ""poor"", ""cheap""]","[""none""]","[""none""]","[""none"", ""to look for a pair"", ""to try and match two items""]","[""in need"", ""broken"", ""frustrated"", ""disappointed""]","[""to borrow a pair"", ""to buy a pair"", ""to purchase new pairs"", ""to look online for new pairs""]",trn,PersonX has a pair
PersonX does not go to the beach with PersonY's family,"[""none""]","[""none"", ""disappointed"", ""rejected""]","[""none""]","[""Secretive"", ""Lonely"", ""aloof"", ""timid""]","[""none""]","[""to do house chore"", ""to rest"", ""to stay home"", ""to stay indoors""]","[""none""]","[""good"", ""happy"", ""calm"", ""lonely""]","[""to stay inside because it's raining"", ""to avoid sunburn"", ""to stay back and study"", ""stay home and rest""]",trn,PersonX goes to the beach with PersonY's family
PersonX does not regain PersonY's composure,"[""none""]","[""sad"", ""disappointed"", ""betrayed"", ""confused"", ""angered""]","[""to calm down"", ""to go home"", ""none""]","[""nervous"", ""panicked"", ""anxious"", ""edgy""]","[""none""]","[""none"", ""to inflict pain"", ""to confuse PersonY""]","[""none""]","[""guilty"", ""disappointed"", ""wicked"", ""evil"", ""sinful""]","[""to check on PersonY"", ""to try to help PersonY"", ""to be by themselves"", ""to be alone""]",trn,PersonX regains PersonY's composure
PersonX does not tell PersonY not to worry,"[""none""]","[""more worried"", ""helpless"", ""unaffected"", ""unconcerned""]","[""none""]","[""reassuring"", ""kind"", ""selfish"", ""unkind""]","[""assures Y"", ""Helps y out"", ""none""]","[""to get pleasure seeing PersonY worry"", ""to be honest about the situation"", ""them to be concerned about the issue"", ""them to face the gravity of the situation""]","[""none""]","[""humored"", ""realistic"", ""frustrated at Person Y's lack of concern"", ""glad the problem is not theirs""]","[""provide for y"", ""house y"", ""to irritate others"", ""to enjoy alone""]",trn,PersonX tells PersonY not to worry
