event,logicNeg,cueNeg,pragNeg
PersonX eventually bought ___,[],[],[]
PersonX employs another ___,[],[],[]
PersonX takes things as they come,"[""PersonX does not take things as they come""]",[],"[""PersonX is proactive in life."", ""PersonX is forward thinking.""]"
PersonX makes perfect,"[""PersonX does not make perfect""]","[""PersonX makes imperfect"", ""PersonX in no way makes perfect""]","[""PersonX makes mistakes""]"
PersonX plans the trip,"[""PersonX does not plan the trip"", ""PersonX doesn't plan the trip""]",[],"[""PersonX cancels the trip""]"
PersonX dresses in PersonX's clothes,"[""PersonX does not dress in PersonX's clothes""]",[],"[""PersonX takes PersonX's clothes off."", ""PersonX stays naked""]"
PersonX decides to have a picnic,"[""PersonX does not decide to have a picnic""]","[""PersonX in no way decides to have a picnic""]","[""PersonX goes to a restaurant to eat."", ""PersonX decides to eat at home""]"
PersonX shakes PersonY's heads,"[""PersonX does not shake PersonY's heads"", ""PersonX does not touch PersonY's head""]","[""PersonX not by any means shakes PersonY's heads""]","[""PersonY shakes PersonX's head.""]"
PersonX leaves ___ in the car,[],[],[]
PersonX buys a used car,"[""PersonX does not buy a used car""]","[""PersonX has trouble with buying a used car""]","[""PersonX splurges an gets a high end vehicle"", ""PersonX buys a brand new car.""]"
PersonX meets someone,"[""PersonX does not meet someone""]","[""PersonX meets nobody"", ""PersonX by no means meets someone""]","[""PersonX misses someone"", ""PersonX turns down dates""]"
PersonX surprises PersonX's family,"[""PersonX does not surprise PersonX's family""]",[],"[""PersonX expects PersonX's family"", ""PersonX's family knows PersonX is coming.""]"
PersonX gets a manicure,"[""PersonX does not get a manicure""]",[],"[""PersonX bites their nails"", ""PersonX gets a haircut""]"
PersonX scrambles eggs for breakfast,"[""PersonX does not scramble eggs for breakfast""]",[],"[""PersonX boils hard boiled eggs for breakfast"", ""PersonX skips breakfast""]"
PersonX laughs at PersonX,"[""PersonX does not laugh at PersonX""]",[],"[""PersonX is disappointed in themself."", ""PersonX is serious""]"
PersonX gives PersonY what for ___,[],[],[]
PersonX puts PersonY's ___ into execution,[],[],[]
PersonX wins any money,"[""PersonX does not win any money""]","[""PersonX wins no money""]","[""PersonX lost their savings""]"
PersonX casts ___ before swine,[],[],[]
PersonX gets the milk,"[""PersonX does not get the milk"", ""PersonX doesn't go to the store""]",[],"[""personx gets the honey""]"
PersonX reschedules PersonY's appointment,"[""PersonX does not reschedule PersonY's appointment""]","[""PersonX makes no attempt to reschedule PersonY's appointment""]","[""PersonX cancels PersonY's appointment"", ""PersonX confirms PersonY's appointment""]"
PersonX leaves PersonY ___ alone,[],[],[]
PersonX bestows upon PersonY,"[""PersonX does not bestow upon PersonY""]",[],"[""PersonX takes away from PersonY"", ""PersonX keeps the object from PersonY""]"
PersonX escorts PersonY back,"[""PersonX does not escort PersonY back""]",[],"[""PersonX rubs PersonY back"", ""PersonX chases PersonY back""]"
PersonX is pulled over for speeding,"[""PersonX is not pulled over for speeding"", ""PersonX has not encountered law enforcement.""]","[""PersonX is under no circumstances pulled over for speeding""]","[""Person X always drives the speed limit.""]"
PersonX gives PersonY a warning,"[""PersonX does not give PersonY a warning""]","[""PersonX fails to warn PersonY.""]","[""PersonX gives PersonY a blessing""]"
PersonX wants a car,"[""PersonX does not want a car""]","[""PersonX stops wanting a car""]","[""PersonX has a car."", ""PersonX wants a house""]"
PersonX gets PersonY view,"[""PersonX does not get PersonY view"", ""Person X does not understand Person Y."", ""PersonX cannot see eye to eye with PersonY""]",[],[]
PersonX is much more careful,"[""PersonX is not much more careful""]","[""PersonX is much less careful""]","[""PersonX is much more risky""]"
PersonX gives the children,"[""PersonX does not give the children""]",[],"[""PersonX takes the children."", ""PersonX takes away from the children""]"
PersonX gets ___ as a result,[],[],[]
PersonX burns the ___ at both ends,[],[],[]
PersonX cleans PersonY's clock,"[""PersonX does not clean PersonY's clock""]","[""PersonX refuses to clean PersonY's clock""]","[""PersonX throws dirt on PersonY\u2019s clock."", ""PersonX gets PersonY's clock dirty""]"
PersonX gets close,"[""PersonX does not get close""]",[],"[""PersonX stays far"", ""PersonX stays at a distance.""]"
PersonX feels elated,"[""PersonX does not feel elated""]",[],"[""Personx is depressed"", ""PersonX is upset""]"
PersonX walks to PersonY's room,"[""PersonX does not walk to PersonY's room""]",[],"[""PersonX cralws to PersonY's room"", ""PersonX runs to PersonY's room""]"
PersonX studies for an exam,"[""PersonX does not study for an exam""]","[""PersonX refuses to prepare for the exam""]","[""PersonX blows off their exam""]"
PersonX skips class,"[""PersonX does not skip class""]",[],"[""PersonX attends every class""]"
PersonX spits nails,"[""PersonX does not spit nails""]",[],"[""PersonX swallows nails"", ""PersonX is calm.""]"
PersonX feels refreshed,"[""PersonX does not feel refreshed""]",[],"[""PersonX is exhausted"", ""PersonX feels tired""]"
PersonX thanks ___ for PersonY's comments,[],[],[]
PersonX sees PersonY wife,"[""PersonX does not see PersonY wife"", ""PersonX does not know who PersonY wife is""]",[],"[""PersonX sees PersonY's husband.""]"
PersonX washes the car,"[""PersonX does not wash the car""]",[],"[""PersonX drives the car through mud"", ""PersonX drives through a muddy field.""]"
PersonX puts PersonY to death,"[""PersonX does not put PersonY to death""]",[],"[""PersonX lets PersonY live."", ""PersonX nurses PersonY back to health.""]"
PersonX watches ___ anymore,[],[],[]
PersonX commits another ___,[],[],[]
PersonX places ___ to end,[],[],[]
PersonX touches wood,"[""PersonX does not touch wood"", ""PersonX does not like touching wood""]",[],"[""PerspnX touches water.""]"
PersonX possesses PersonY knowledge,"[""PersonX does not possess PersonY knowledge""]","[""PersonX by no means possesses PersonY knowledge"", ""PersonX knows nothing about what PersonY knows"", ""PersonX lacks PersonY knowledge""]",[]
PersonX takes matters into PersonX's hands,"[""PersonX does not take matters into PersonX's hands""]",[],"[""PersonX lets the police handle it"", ""PersonX removes matters from PersonX's hands""]"
PersonX asks PersonY for money,"[""PersonX does not ask PersonY for money""]","[""PersonX under no circumstances asks PersonY for money"", ""PersonX fails to ask PersonY for money""]","[""PersonX gives PersonY a loan."", ""PersonX repays PersonY""]"
PersonX attains PersonX's goals,"[""PersonX does not attain PersonX's goals"", ""PersonX can't reach PersonX's goals""]","[""PersonX never attains PersonX's goals.""]","[""PersonX misses PersonX’s goals""]"
PersonX gets everything,"[""PersonX does not get everything""]",[],"[""Personx gets nothing"", ""PersonX needs everything.""]"
PersonX looks like was going,"[""PersonX does not look like was going""]",[],"[""PersonX looks like they were staying"", ""PersonX looks like was staying.""]"
PersonX pays very well,"[""PersonX does not pay very well""]",[],"[""PersonX pays a poor wage"", ""PersonX pays minimum wage""]"
PersonX catches flies,"[""PersonX does not catch flies""]","[""PersonX hardly ever catches flies""]","[""PersonX rips apart the flies."", ""PersonX catches fish""]"
PersonX accepts ___ in payment,[],[],[]
PersonX wants to learn how to sing,"[""PersonX does not want to learn how to sing""]",[],"[""PersonX wants to learn how to sign"", ""PersonX hates singing""]"
PersonX wants PersonY to come,"[""PersonX does not want PersonY to come"", ""PersonX would rather not see PersonY"", ""PersonX doesn't want any guests.""]","[""PersonX by no means wants PersonY to come""]",[]
PersonX finds a good place,"[""PersonX does not find a good place""]","[""PersonX is unable to find seating.""]","[""PersonX finds a bad place""]"
PersonX is playing ball,"[""PersonX is not playing ball""]","[""PersonX is under no circumstances playing ball"", ""PersonX is barely ever playing ball""]","[""PersonX is playing cards."", ""PersonX prefers to sit on the sidelines""]"
PersonX dies peacefully,"[""PersonX does not die peacefully""]",[],"[""PersonX dies a horrible death."", ""PersonX dies in a crash.""]"
PersonX gains confidence,"[""PersonX does not gain confidence""]",[],"[""PersonX gains insecurity"", ""PersonX loses confidence""]"
PersonX wants to play,"[""PersonX does not want to play""]",[],"[""PersonX wants to sleep all day""]"
PersonX turns PersonY's backs,"[""PersonX does not turn PersonY's backs""]","[""PersonX resists turning PersonY's backs""]","[""PersonX pulls PersonY's backs"", ""PersonX turns PersonY around.""]"
PersonX loves reading books,"[""PersonX does not love reading books"", ""PersonX can't stand books""]","[""PersonX dislikes reading""]",[]
PersonX finds a hole,"[""PersonX does not find a hole""]",[],"[""PersonX finds a lump"", ""PersonX loses a hole""]"
PersonX blows PersonY's mind,"[""PersonX does not blow PersonY's mind""]",[],"[""PersonX bores PersonY to death"", ""PersonX bores PersonY's mind""]"
PersonX takes matters into PersonX's own hands,"[""PersonX does not take matters into PersonX's own hands""]","[""PersonX never takes matters into PersonX's own hands"", ""PersonX refuses to do anything about the matter""]","[""PersonX gets help with Person's matters.""]"
PersonX leads PersonY expedition,"[""PersonX does not lead PersonY expedition""]",[],"[""PersonX gets lost on the expedition with PersonY."", ""PersonX follows PersonY on the expedition.""]"
PersonX always made ___,[],[],[]
PersonX has a nice dinner,"[""PersonX does not have a nice dinner""]","[""PersonX lacks a nice dinner"", ""PersonX is deprived of a nice dinner"", ""PersonX has a lack of a nice dinner"", ""PersonX has little nice dinners"", ""PersonX has few nice dinners"", ""PersonX has no nice dinners""]","[""PersonX has the most horrible dinner ever."", ""PersonX strave through the night""]"
PersonX puts ___ in PersonX's backpack,[],[],[]
PersonX sprays PersonX,"[""PersonX does not spray PersonX""]",[],"[""Person X dries off Person X"", ""PersonX loves PersonX""]"
PersonX catches PersonY's attention,"[""PersonX does not catch PersonY's attention""]","[""PersonX by no means catches PersonY's attention"", ""PersonX avoids PersonY.""]","[""PersonX loses PersonY's attention""]"
PersonX wants to play hockey,"[""PersonX does not want to play hockey"", ""PersonX does not want to play hockey."", ""PersonX doesn't want to play hockey""]",[],[]
PersonX goes to PersonY's place,"[""PersonX does not go to PersonY's place""]",[],"[""PersonY goes to PersonX's place"", ""PersonX invites PersonY over""]"
PersonX asks PersonY to sit down,"[""PersonX does not ask PersonY to sit down""]","[""PersonX resists asking PersonY to sit down""]","[""PersonX asks PersonY to stand up"", ""PersonX watches PersonY sit down""]"
PersonX accidentally poured,"[""PersonX did not accidentally pour""]",[],"[""PersonX held it still."", ""Personx purposefully poured.""]"
PersonX denies PersonY's existence,"[""PersonX does not deny PersonY's existence""]","[""PersonX on no condition denies PersonY's existence"", ""PersonX forbids themselves from denying PersonY's existence""]","[""PersonX knows PersonY."", ""PersonX acknowledges PersonY's existence""]"
PersonX saves PersonX's ___ from PersonX's sins,[],[],[]
PersonX gives PersonY confidence,"[""PersonX does not give PersonY confidence""]",[],"[""PersonX puts PersonY down"", ""PersonX takes away from PersonY's confidence because they were being rude.""]"
PersonX forms PersonY opinion as,"[""PersonX does not form PersonY opinion as"", ""PersonX has not opinion for PersonY.""]",[],"[""PersonX offers PersonY an opinion of it""]"
PersonX grants a ___ by ccc,[],[],[]
PersonX always goes,"[""PersonX does not always go""]",[],"[""PersonX always stays in"", ""PersonX always returns""]"
PersonX fears would lose,"[""PersonX does not fear would lose""]",[],"[""PersonX fears would win"", ""PersonX believes PersonX will win""]"
PersonX goes ___ in the lake,[],[],[]
PersonX wins the match,"[""PersonX does not win the match"", ""PersonX does not show up for the match""]","[""PersonX barely wins the match"", ""PersonX rarely wins the match"", ""PersonX makes no attempt to win the match""]","[""PersonX loses the match.""]"
PersonX lets PersonY on the team,"[""PersonX does not let PersonY on the team"", ""PersonX doesn't let PersonY on the team"", ""PersonX doesn't let PersonY join the team""]",[],[]
PersonX gets a book,"[""PersonX does not get a book""]","[""PersonX refuses to get a book""]","[""PersonX returns the book."", ""PersonX gets a book stolen""]"
PersonX faces ___ today,[],[],[]
PersonX asks PersonY to bring,"[""PersonX does not ask PersonY to bring""]","[""PersonX not by any means asks PersonY to bring""]","[""PersonX asks PersonY to leave something."", ""PersonX tells PersonY to bring something.""]"
PersonX leans back against the wall,"[""PersonX does not lean back against the wall"", ""PersonX doesn't lean back against the wall""]",[],"[""PersonX falls over""]"
PersonX puts PersonY's phone,"[""PersonX does not put PersonY's phone""]",[],"[""PersonX takes PersonY's phone"", ""PersonX takes PersonY's phone.""]"
PersonX tells ___ never,[],[],[]
PersonX wants to play football,"[""PersonX does not want to play football""]","[""PersonX has no desire for football""]","[""PersonX wants to get out and run""]"
PersonX gives PersonY relief,"[""PersonX does not give PersonY relief""]",[],"[""PersonX gives PersonY pain"", ""PersonX gives PersonY trouble.""]"
PersonX bosses PersonY around,"[""PersonX does not boss PersonY around""]","[""PersonX disapproves bossing PersonY around"", ""PersonX barely ever bosses PersonY around""]","[""PersonX manages PersonY around"", ""PersonX respects PersonY around""]"
PersonX gets PersonY's driver's license,"[""PersonX does not get PersonY's driver's license""]","[""PersonX halts getting PersonY's driver's license"", ""PersonX not by any means gets PersonY's driver's license""]","[""PersonX takes PersonY's driver's license""]"
PersonX takes PersonY's watch off,"[""PersonX does not take PersonY's watch off""]",[],"[""PersonX puts PersonY's watch on."", ""PersonX leaves PersonY's watch on.""]"
PersonX knows by PersonY's name,"[""PersonX does not know by PersonY's name"", ""PersonX has not met PersonY's""]",[],"[""PersonX doesn\u2019t know PersonY\u2019s name.""]"
PersonX plays PersonY's new game,"[""PersonX does not play PersonY's new game"", ""PersonY won't share with PersonX""]","[""PersonX by no means plays PersonY's new game""]","[""PersonX plays PersonY's new flute""]"
PersonX gets PersonY's share,"[""PersonX does not get PersonY's share"", ""PersonX doesn't get PersonX's share""]",[],"[""PersonX gives PersonY's share""]"
PersonX knows no bounds,"[""PersonX does not know no bounds""]",[],"[""PersonX knowns the limits"", ""Person X knows their boundaries""]"
PersonX lights another ___,[],[],[]
PersonX makes much sense,"[""PersonX does not make much sense""]","[""PersonX makes no sense at all""]","[""PersonX is a crazy person.""]"
PersonX uses the ___ to buy,[],[],[]
PersonX buys PersonY a car,"[""PersonX does not buy PersonY a car"", ""PersonX cannot afford to buy a car""]",[],"[""PersonX takes away PersonY's car""]"
PersonX is much cheaper,"[""PersonX is not much cheaper""]",[],"[""PersonX is expensive."", ""PersonX is much expensive.""]"
PersonX looks ___ in the face,[],[],[]
PersonX gets ___ at work,[],[],[]
PersonX unbuckles PersonY's belt,"[""PersonX does not unbuckle PersonY's belt""]","[""PersonX by no means unbuckles PersonY's belt""]","[""PersonX dresses PersonY."", ""PersonX buckles up PersonY's belt""]"
PersonX pulls PersonX's socks up,"[""PersonX does not pull PersonX's socks up""]",[],"[""PersonX thinks is only wearing sandals"", ""PersonX takes off PersonX's socks""]"
PersonX gives ___ a bath,[],[],[]
PersonX becomes smarter,"[""PersonX does not become smarter""]","[""PersonX refuses to learn anything new""]","[""PersonX becomes dumber.""]"
PersonX studies for a quiz,"[""PersonX does not study for a quiz"", ""PersonX  does not study for the quiz.""]","[""PersonX takes the quiz without studying""]",[]
PersonX goes in PersonX ear and out the other,"[""PersonX does not go in PersonX ear and out the other""]",[],"[""PersonX goes in PersonX nose and out the other"", ""PersonX pays good attnetion.""]"
PersonX wants money,"[""PersonX does not want money""]","[""PersonX barely wants money""]","[""PersonX has money"", ""PersonX has money.""]"
PersonX hits the headlines,"[""PersonX does not hit the headlines""]","[""PersonX avoids hitting the headlines"", ""PersonX barely hits the headlines"", ""PersonX avoids the headlines""]","[""PersonX remains anonymous""]"
PersonX provides PersonY introduction,"[""PersonX does not provide PersonY introduction""]",[],"[""PersonY introduces himself""]"
PersonX loves to skateboard,"[""PersonX does not love to skateboard""]",[],"[""PersonX hate to skateboard"", ""PersonX hates to skateboard""]"
PersonX plays a new instrument,"[""PersonX does not play a new instrument""]",[],"[""PersonX plays the old broken instrument."", ""PersonX forgot how to play an old instrument""]"
PersonX feels very lucky,"[""PersonX does not feel very lucky""]",[],"[""PersonX feels horribly cursed."", ""PersonX's luck has run out""]"
PersonX fans dance,"[""PersonX does not fan dance""]",[],"[""PersonX juggles."", ""PersonX fans boo""]"
PersonX makes much money,"[""PersonX does not make much money""]",[],"[""PersonX is broke."", ""PersonX earns a small amount of money""]"
PersonX knows much,"[""PersonX does not know much""]",[],"[""PersonX has a low IQ"", ""PersonX knows little""]"
PersonX is also nervous,"[""PersonX is not also nervous""]",[],"[""PersonX is cool.""]"
PersonX sees PersonY thing,"[""PersonX does not see PersonY thing""]",[],"[""PersonX misses seeing PersonY thing""]"
PersonX finally meet PersonY,"[""PersonX does not finally meet PersonY""]","[""PersonX never meets PersonY"", ""PersonX is never able to meet PersonY""]",[]
PersonX uses PersonX's skills,"[""PersonX does not use PersonX's skills""]","[""PersonX disapproves using PersonX's skills"", ""PersonX seldomly uses PersonX's skills""]","[""PersonX uses PerxonX's mouth"", ""PersonX takes a class to learn new things""]"
PersonX asks anyone,"[""PersonX does not ask anyone""]","[""PersonX disapproves asking anyone"", ""PersonX asks nobody""]","[""PersonX finds an answer themselves."", ""PersonX asks nobody""]"
PersonX gets accepted,"[""PersonX does not get accepted""]",[],"[""PersonX gets rejected"", ""PersonX gets declined""]"
PersonX travels to france,"[""PersonX does not travel to france""]",[],"[""PersonX travels out of france"", ""PersonX saves up money to travel""]"
PersonX reassures PersonY,"[""PersonX does not reassure PersonY""]","[""PersonX barely ever reassures PersonY"", ""PersonX discredits PersonY""]","[""PersonX makes PersonY nervous""]"
PersonX prevents ___ from engaging,[],[],[]
PersonX becomes a pilot,"[""PersonX does not become a pilot""]",[],"[""PersonX become a captain"", ""PersonX becomes a ship captain.""]"
PersonX goes to class the next day,"[""PersonX does not go to class the next day""]","[""PersonX opposes going to class the next day""]","[""PersonX drops out of school."", ""PersonX skips today's class""]"
PersonX sheds PersonX's blood,"[""PersonX does not shed PersonX's blood""]","[""PersonX has no injuries on PersonX's body""]","[""PersonX walks away unharmed""]"
PersonX really wants ___,[],[],[]
PersonX eats ___ for days,[],[],[]
PersonX buys ___ one,[],[],[]
PersonX measures directly the ___,[],[],[]
PersonX finishes the job,"[""PersonX does not finish the job""]",[],"[""PersonX gives up on the job."", ""PersonX has a hard time getting started""]"
PersonX finds ___ to play with,[],[],[]
PersonX plans PersonX's trip,"[""PersonX does not plan PersonX's trip"", ""PersonX cannot travel""]","[""PersonX disapproves planning PersonX's trip"", ""PersonX hardly ever plans PersonX's trip""]","[""PersonX hired a trip planner.""]"
PersonX pays PersonX's taxes,"[""PersonX does not pay PersonX's taxes""]","[""PersonX disapproves paying PersonX's taxes""]","[""PersonX dodges PersonX's taxes"", ""PersonX pays PersonX's mortgage""]"
PersonX shuts the door behind PersonY,"[""PersonX does not shut the door behind PersonY""]","[""PersonX scarcely shuts the door behind PersonY""]","[""PersonX keeps the door open after PersonY"", ""PersonX shuts the door in front of PersonY""]"
PersonX watches a scary movie,"[""PersonX does not watch a scary movie""]","[""PersonX discontinues watching a scary movie"", ""PersonX opposes watching a scary movie""]","[""PersonX watched a romantic movie."", ""PersonX watches a nature documentary.""]"
PersonX lands a job,"[""PersonX does not land a job""]","[""PersonX in no way lands a job"", ""PersonX makes no attempt to land a job""]","[""PersonX remains unemployed."", ""PersonX is passed over for a job""]"
PersonX shakes the pagoda tree,"[""PersonX does not shake the pagoda tree""]",[],"[""PersonX walks by the pagoda tree."", ""PersonX hugs the pagoda tree""]"
PersonX loves meat,"[""PersonX does not love meat""]","[""PersonX not at all loves meat""]","[""PersonX loves salad""]"
PersonX gets a surprise,"[""PersonX does not get a surprise""]",[],"[""PersonX saw it coming."", ""PersonX knows what's going on""]"
PersonX nurses ___ back,[],[],[]
PersonX wants to learn how to play the guitar,"[""PersonX does not want to learn how to play the guitar""]",[],"[""PersonX knows how to play guitar""]"
PersonX manages one's ___,[],[],[]
PersonX always makes,"[""PersonX does not always make""]",[],"[""Personx always defers"", ""PersonX gives makes""]"
PersonX is PersonY's maid of honor,"[""PersonX is not PersonY's maid of honor"", ""PersonX asks PersonY's not to come to their wedding.""]","[""PersonX is under no circumstances PersonY's maid of honor"", ""PersonX is by no means PersonY's maid of honor"", ""PersonX is not at all PersonY's maid of honor""]","[""Person Y is Person X's maid of honor""]"
PersonX covers the ___ completely,[],[],[]
PersonX sings PersonX's heart out,"[""PersonX does not sing PersonX's heart out""]","[""PersonX by no means sings PersonX's heart out""]","[""PersonX talks PersonX's heart out"", ""PersonX walks off stage.""]"
PersonX receives a phone call,"[""PersonX does not receive a phone call""]","[""PersonX hardly receives a phone call""]","[""PersonX waiths by the phone for a ring."", ""PersonX ends a phone call.""]"
PersonX lays PersonY on the bed,"[""PersonX does not lay PersonY on the bed""]",[],"[""PersonX throws PersonY out of the bed"", ""PersonX lays persony on the floor""]"
PersonX loves PersonY's dog,"[""PersonX does not love PersonY's dog""]",[],"[""PersonX hates PersonY's dog"", ""PersonX loves PersonY's cat""]"
PersonX treats ___ in children,[],[],[]
PersonX skateboards with PersonY's friends,"[""PersonX does not skateboard with PersonY's friends""]",[],"[""PersonX bikes with PersonY's friends"", ""PersonX study's with PersonY's friends""]"
PersonX wants to learn how to swim,"[""PersonX does not want to learn how to swim""]",[],"[""PersonX already knows how to swim"", ""PersonX is afraid of the water""]"
PersonX cools PersonY off,"[""PersonX does not cool PersonY off""]",[],"[""PersonX and PersonY are surrounded by fire."", ""PersonX heats up PersonY""]"
PersonX distributes in forms without permission,"[""PersonX does not distribute in forms without permission""]",[],"[""PersonX distributes forms with permission."", ""PersonX gets permission.""]"
PersonX helps the ___ along,[],[],[]
PersonX bestows ___ upon PersonY,[],[],[]
PersonX communicates PersonX's ___ to others,[],[],[]
PersonX gives a presentation,"[""PersonX does not give a presentation""]","[""PersonX refuses to give a presentation"", ""PersonX makes no attempt to give a presentation""]","[""PersonX listens to a presentation"", ""PersonX prepares a presentation""]"
PersonX opens PersonX's doors,"[""PersonX does not open PersonX's doors""]",[],"[""PersonX closes PersonX's doors"", ""PersonX closes PersonX's doors.""]"
PersonX sets things right,"[""PersonX does not set things right""]",[],"[""PersonX makes it worse"", ""PersonX is sloppy""]"
PersonX reduces PersonX's dependence,"[""PersonX does not reduce PersonX's dependence""]",[],"[""PersonX increases PersonX's dependence.""]"
PersonX cuts the umbilical cord,"[""PersonX does not cut the umbilical cord""]",[],"[""PersonX leaves the umbilical cord attached."", ""PersonX sews up the umbilical cord.""]"
PersonX meets for dinner,"[""PersonX does not meet for dinner""]",[],"[""PersonX flaked on dinner."", ""PersonX eats dinner at home alone.""]"
PersonX develops along lines,"[""PersonX does not develop along lines""]",[],"[""PersonX develops as they go"", ""PersonX develops freely""]"
PersonX takes a hike,"[""PersonX does not take a hike""]",[],"[""PersonX sits in a chair.""]"
PersonX stays clean,"[""PersonX does not stay clean""]","[""PersonX stays unclean"", ""PersonX seldomly stays clean""]","[""PersonX gets dirty"", ""PersonX stays filthy""]"
PersonX sells PersonX's jewelry,"[""PersonX does not sell PersonX's jewelry""]","[""PersonX disapproves selling PersonX's jewelry""]","[""PersonX buys PersonX's jewelry"", ""PersonX keeps PersonX's jewelry locked in a safe""]"
PersonX leaves PersonY high and dry,"[""PersonX does not leave PersonY high and dry""]",[],"[""PersonX is insanely loyal to PersonY"", ""PersonX helps PersonY out.""]"
PersonX finally joined ___,[],[],[]
PersonX impresses by PersonY's work,"[""PersonX does not impress by PersonY's work""]",[],"[""PersonX is embarrassed by PersonY's work."", ""PersonX unimpressed by PersonY's work""]"
PersonX gets PersonX's juices flowing,"[""PersonX does not get PersonX's juices flowing""]",[],"[""PersonX bores PersonX"", ""PersonX gets PersonX's juices drying up""]"
PersonX eats it quickly,"[""PersonX does not eat it quickly""]",[],"[""PersonX eats it slowly."", ""PersonX takes their time to enjoy the food.""]"
PersonX returns it to PersonY,"[""PersonX does not return it to PersonY""]",[],"[""PersonX keeps it from PersonY""]"
PersonX gets PersonY's something special,"[""PersonX does not get PersonY's something special""]","[""PersonX gets PersonY's nothing special""]","[""Personx gets persony something common"", ""PersonX forgot to get PersonY a gift""]"
PersonX takes ___ at the end,[],[],[]
PersonX sees PersonY graduate,"[""PersonX does not see PersonY graduate""]","[""PersonX fails his classes"", ""PersonX sees PersonY failing courses""]",[]
PersonX walks in the room,"[""PersonX does not walk in the room""]",[],"[""PersonX exits the building"", ""PersonX leaves the room""]"
PersonX can n't take it anymore,"[""PersonX doesn't let it bother PersonX""]",[],"[""PersonX relaxes via meditation""]"
PersonX hams it up,"[""PersonX does not ham it up""]","[""PersonX under no circumstances hams it up""]","[""PersonX acts humbly"", ""PersonX takes a back seat""]"
PersonX wants to come,"[""PersonX does not want to come""]",[],"[""PersonX wants to leave"", ""PersonX wants to stay home.""]"
PersonX passes gas,"[""PersonX does not pass gas""]",[],"[""PersonX holds their gas in."", ""PersonX fills up the car with gas""]"
PersonX pulls out all the stops,"[""PersonX does not pull out all the stops"", ""PersonX doesn't make a big deal""]","[""PersonX makes no effort.""]",[]
PersonX describes PersonY's experience,"[""PersonX does not describe PersonY's experience""]",[],"[""PersonX misses details on PersonY's experience"", ""PersonY describes PersonX's experience""]"
PersonX repels ___ by force,[],[],[]
PersonX walks into PersonY's room,"[""PersonX does not walk into PersonY's room""]","[""PersonX never walks into PersonY's room""]","[""PersonX walks out of PersonY's room."", ""PersonX leave PersonY's room""]"
PersonX sees a snake,"[""PersonX does not see a snake""]",[],"[""PersonX sees a cat"", ""PersonX sees a rope""]"
PersonX cracks the eggs,"[""PersonX does not crack the eggs""]","[""PersonX resists cracking the eggs""]","[""PersonX puts the egg in whole"", ""PersonX puts the eggs in the fridge.""]"
PersonX wants another ___,[],[],[]
PersonX feels nervous,"[""PersonX does not feel nervous""]","[""PersonX never feels nervous""]","[""PersonX feels calm and collected."", ""PersonX is confident.""]"
PersonX sees where PersonY was going,"[""PersonX does not see where PersonY was going""]",[],"[""PersonY sees where PersonX was going"", ""PersonX is far away from PersonY.""]"
PersonX meets PersonY for lunch,"[""PersonX does not meet PersonY for lunch""]",[],"[""PersonX meets PersonY for dinner."", ""PersonX cancels with PersonY for lunch""]"
PersonX uses the ___ effectively,[],[],[]
PersonX catches PersonY eye,"[""PersonX does not catch PersonY eye""]",[],"[""PersonY ignores personX"", ""PersonX loses PersonY's interest""]"
PersonX buys ___ for PersonX's house,[],[],[]
PersonX hears from PersonY,"[""PersonX does not hear from PersonY"", ""PersonX doesn't hear from PersonY""]","[""PersonX in no way hears from PersonY""]","[""PersonX is ignored by PersonY""]"
PersonX hides under the covers,"[""PersonX does not hide under the covers""]",[],"[""PersonX stays over the covers"", ""PersonX  sleeps under the covers""]"
PersonX beats around the bush,"[""PersonX does not beat around the bush""]",[],"[""PersonX gets right to the point"", ""PersonX tells everything outright""]"
PersonX seeks first the ___,[],[],[]
PersonX loves PersonX's work,"[""PersonX does not love PersonX's work""]",[],"[""PersonX hates PersonX's work.""]"
PersonX endures ___ and free,[],[],[]
PersonX feels closer,"[""PersonX does not feel closer""]",[],"[""PersonX feels far away"", ""PersonX feels farther""]"
PersonX is able to find it,"[""PersonX is not able to find it"", ""PersonX doesn't know where it is""]","[""PersonX is unable to find it"", ""PersonX is in no way able to find it"", ""PersonX is under no circumstances able to find it"", ""PersonX is barely able to find it""]","[""PersonX neglects it""]"
PersonX steals PersonY's purse,"[""PersonX does not steal PersonY's purse""]",[],"[""PersonX gives back PersonY's purse""]"
PersonX has never been on one before,[],[],"[""PersonX frequently rides one"", ""PersonX rides it often.""]"
PersonX asks PersonY's sister,"[""PersonX does not ask PersonY's sister""]",[],"[""personx asks persony's mother"", ""PersonX asks PersonY's brother""]"
PersonX takes ___ for a ride,[],[],[]
PersonX calls the ___ together,[],[],[]
PersonX hits the road,"[""PersonX does not hit the road""]","[""PersonX hardly hits the road"", ""PersonX makes no attempt to hit the road""]","[""PersonX goes home."", ""PersonX stays at home""]"
PersonX orders ___ at a restaurant,[],[],[]
PersonX attends PersonY's father's ___,[],[],[]
PersonX expresses PersonX's belief,"[""PersonX does not express PersonX's belief""]","[""PersonX has problem with expressing PersonX's belief"", ""PersonX in no way expresses PersonX's belief""]","[""PersonX hides their beliefs"", ""PersonX keeps quiet about PersonX's belief.""]"
