event,oEffect,oReact,oWant,split,xAttr,xEffect,xIntent,xNeed,xReact,xWant
PersonX can not believe PersonX's eyes,"[""none""]","[""none""]","[""none""]",tst,"[""stunned"", ""flabbergasted"", ""awed"", ""shocked"", ""surprised"", ""incredulous""]","[""jumps for joy"", ""becomes more aware"", ""starts to scream"", ""gets excited and moves around""]","[""none""]","[""to be amazed."", ""none"", ""to look around.""]","[""amazed"", ""shocked"", ""suprised"", ""astounded"", ""surprised"", ""dissapointed""]","[""to fix the situation."", ""to try something new."", ""check to see if what he's seeing is real"", ""go to investigate what he's seeing""]"
PersonX gives PersonY a nod,"[""none"", ""gives a nod back"", ""sees nod""]","[""none"", ""like they understand""]","[""to walk past"", ""to acknowledge person X"", ""figure out what they meant by the nod"", ""nod back""]",tst,"[""cordial"", ""Courteous"", ""Friendly""]","[""gets ignored"", ""gets thanked"", ""gets a nod back"", ""gets nod of approval""]","[""to communicate agreement"", ""to say hi"", ""to answer them""]","[""to walk past"", ""position themselves to look at PersonY"", ""to see person Y"", ""establish a connection with PersonY""]","[""communicative"", ""content""]","[""to keep walking"", ""to leave the area"", ""establish with personY the plan"", ""be understood by PersonY""]"
PersonX wants to learn how to drive,"[""none""]","[""none"", ""proude"", ""concerned""]","[""collect payment"", ""give PersonX paperwork indicating they passed driving school"", ""none"", ""wish PersonX the best of luck""]",tst,"[""interested"", ""learner"", ""teenager"", ""eager"", ""curious""]","[""is enrolled in a class"", ""none"", ""is given a learner's permit""]","[""to drive"", ""to get their license"", ""driver""]","[""to be the right age"", ""none"", ""study for the test"", ""obtain a permit"", ""setup an appointment with a driving instructor"", ""to be able to reach the peddles""]","[""motivated"", ""curiosity""]","[""to listen to the instructor"", ""to enroll in driving school"", ""take more lessons"", ""be on the go all the time"", ""get out of the vehicle"", ""take the written test"", ""take the driving test"", ""buy a car"", ""setup an appointment with the DMV""]"
PersonX shares and share alike,"[""none""]","[""validated""]","[""none"", ""to help other people"", ""to be on equal terms""]",tst,"[""generous"", ""nice"", ""caring"", ""friendly"", ""social""]","[""is known by many"", ""is thanked by all"", ""none""]","[""to be generous""]","[""knowledge"", ""to make an agreement"", ""to have something to share"", ""none"", ""skill""]","[""better""]","[""to give to more people"", ""trading account"", ""brokering"", ""to help other people"", ""to get something from another person"", ""to be on equal terms""]"
PersonX draws another ___,"[""none""]","[""none""]","[""none""]",tst,"[""inquisitive"", ""determined"", ""involved"", ""intuitive"", ""consistent"", ""curious""]","[""concludes his speech"", ""gets clarification"", ""gets more informed"", ""gets up to leave the room""]","[""to understand the situation."", ""statue""]","[""Hands"", ""The item s/he is about to draw"", ""to consider the evidence"", ""to think it through""]","[""exhausted."", ""pleasure""]","[""Draw a third thing"", ""to reach a conclusion"", ""Orderthe things"", ""to announce the end point""]"
PersonX comes to see PersonY,"[""gets a greeting in return"", ""huged"", ""socializes"", ""gets a hug"", ""relationship develops"", ""kissed""]","[""liked"", ""glad x came to see them."", ""nervous to see x."", ""sociable""]","[""to spend time with PersonY"", ""to talk"", ""to thank PersonY"", ""to go eat"", ""to relax at home"", ""to see PersonX""]",tst,"[""sociable"", ""determined"", ""eager"", ""Involved"", ""friendly"", ""Engaged""]","[""gets greeted"", ""no effect"", ""socializes"", ""welcomed"", ""relationship develops"", ""greeted""]","[""to visit person"", ""to visit person."", ""to see the person"", ""to talk to the person"", ""wants to talk to person.""]","[""to figure out where PersonY is"", ""to get in the car"", ""to drive to see PersonY"", ""to make an appointment"", ""to go somewhere"", ""to know PersonY""]","[""sociable"", ""fulfilled"", ""good to go visit person."", ""hopeful person will be there.""]","[""to spend time with PersonY"", ""to talk"", ""to talk to PersonY"", ""to hug"", ""to engage with someone"", ""to have a conversation""]"
PersonX wears PersonY's boots,"[""gets angry"", ""have t buy new boots"", ""is confused"", ""they need their boots"", ""none""]","[""interested"", ""good."", ""curious"", ""watchful"", ""mad""]","[""Tell them where to buy them."", ""compliment PersonX"", ""ask PersonX to take them off"", ""And how much they cost.""]",tst,"[""warm"", ""sneaky"", ""selfish"", ""thoughtful"", ""comfortable"", ""considerate""]","[""none"", ""walks around"", ""checks the size""]","[""to try them."", ""to see how they feel"", ""to have a different look"", ""to show off the boots""]","[""Ask for permission first."", ""See if the boot is the right size."", ""try on the boots"", ""be in PersonYs closet""]","[""good."", ""stylish"", ""grateful"", ""amused""]","[""pick out an outfit"", ""walk around"", ""Walk around to see if comfortable."", ""Take them off so it won't upset the other owner.""]"
PersonX hits a telephone pole,"[""none""]","[""none""]","[""none"", ""to wonder what PersonX is doing"", ""to watch PersonX""]",tst,"[""careless"", ""immature"", ""accident prone"", ""irresponsible"", ""not careful"", ""angry""]","[""feels pain"", ""PersonX passes out from concussion"", ""gets hurt and starts to scream"", ""gets injured"", ""car is totaled"", ""bleeds"", ""PersonX bleeds from impact""]","[""none""]","[""to walk up to a telephone pole"", ""none"", ""to find a telephone pole""]","[""foolish."", ""shocked"", ""hurt"", ""upset"", ""scared""]","[""to express their anger"", ""to take rest for sometime"", ""to get treated at the hospital"", ""to call the ambulance"", ""get out of the car"", ""to break the telephone pole"", ""to get help""]"
PersonX meets ___ for lunch,"[""Pays the tip"", ""none"", ""thankful"", ""loving"", ""Becomes full""]","[""anxious"", ""none"", ""sociable""]","[""none"", ""to drink coffee"", ""to go for a walk"", ""meet up"", ""drink""]",tst,"[""interested"", ""available"", ""responsible"", ""happy"", ""social""]","[""gains kinship"", ""friends"", ""Gets the check"", ""good conversation"", ""Becomes full"", ""coworkers""]","[""to be sociable"", ""to spend time with them"", ""to find a mate""]","[""to drive to the resturant"", ""to ask my aunt to lunch"", ""drive"", ""make plans"", ""to set a date""]","[""happy to be with a friend"", ""sociable"", ""nervous""]","[""order food"", ""to have dessert"", ""to go for a walk"", ""chat"", ""to order drinks"", ""to chat with friends""]"
PersonX works as a waitress,"[""waitress sees person x"", ""none"", ""waitress walks to person x""]","[""none"", ""well served""]","[""to receive hot food as ordered"", ""a friendly staff person to wait on the"", ""none""]",tst,"[""exhausted"", ""hard working"", ""Skilled"", ""tired"", ""Delighted"", ""responsible"", ""disciplined""]","[""serves people food"", ""none"", ""gains experience"", ""waits on tables"", ""feet gets sore"", ""goes to a restaurant"", ""gets tipped""]","[""to earn money"", ""to make money""]","[""to get a uniform"", ""none"", ""to get a job"", ""to learn the menu""]","[""hardworking"", ""determined"", ""tired"", ""annoyed"", ""useful""]","[""relax and eat"", ""wash their stained clothes"", ""to serve people"", ""to be polite and friendly to increase tips"", ""to get a job as an usher"", ""to serve customers food""]"
PersonX sends ___ home,"[""none""]","[""helped"", ""happy""]","[""thank PersonX"", ""none"", ""receive item""]",tst,"[""selfless"", ""fed up"", ""responsible"", ""generous"", ""caring"", ""Giving"", ""Charitable""]","[""Enjoys evening"", ""Goes home"", ""receives a thank you note"", ""continues working"", ""gets a hug"", ""makes sure it got there""]","[""to be helpful""]","[""to monitor the weather"", ""go to post office"", ""none"", ""pack something"", ""to love their parents"", ""to see the doctors note""]","[""kind""]","[""to make sure everyone got home safe"", ""Call home"", ""ask if recipient got it"", ""to be happy"", ""to check if the money/mail was received"", ""check tracking number""]"
PersonX holds a grudge,"[""none""]","[""upset"", ""uneasy"", ""none""]","[""none"", ""to work things out"", ""To justify their stance"", ""To make up with X"", ""to ask friends what happened""]",tst,"[""moody"", ""spiteful"", ""grudging"", ""emotional"", ""irrational""]","[""refuses to cooperate"", ""develops evil inside"", ""makes enemies"", ""become narrow minded"", ""becomes angry"", ""thinks about revenge"", ""becomes alone""]","[""to be vengeful"", ""none"", ""to be angry""]","[""none"", ""get close to PersonY"", ""hit PersonY""]","[""like seeking revenge"", ""guilty"", ""tired"", ""bitterness"", ""unsatisfied""]","[""to move to a different department"", ""To express anger"", ""to block calls from someone"", ""to stop being friends with PersonX"", ""to keep holding grudge"", ""To get revenge"", ""to express the grudge on y"", ""to exact revenge""]"
PersonX cuts open ___,"[""operated on"", ""none"", ""rushed to hospital""]","[""none""]","[""none""]",tst,"[""sick"", ""interested"", ""determined"", ""scared"", ""curious"", ""intrigued""]","[""arrested"", ""Smells a noxious fumer"", ""hurts"", ""gets treated"", ""bleeds"", ""Has to duck""]","[""to find out the contents"", ""to get to the bottom."", ""to get what's inside the delivered box"", ""to find out what's inside."", ""to use the cactus ingredients to cook""]","[""to pick up a knife"", ""to get box cutter"", ""hold the box tightly"", ""get a knife"", ""receive the package"", ""to open the blade""]","[""adventurous."", ""productive"", ""interested"", ""aggressive."", ""surprised""]","[""to start cutting"", ""to take what's in the box"", ""to use the item found inside the box right away"", ""to see what inside the box"", ""to close blade"", ""to place the knife on a table""]"
PersonX pays very well,"[""none""]","[""gratefull"", ""richer"", ""well treated"", ""fortunate""]","[""work harder"", ""none"", ""to benefit from PersonX"", ""thank PersonX"", ""to do a good job""]",tst,"[""considerate"", ""generous"", ""inspiring"", ""fair"", ""rich""]","[""PersonX is taken for a fool"", ""gets praised"", ""PersonX is a sitting duck"", ""gets gratitude""]","[""to be fair"", ""to reward their employees well"", ""to be generous"", ""quality workers to apply""]","[""be a good person"", ""to have a lot of money"", ""to be employer of staff"", ""to be owner of business"", ""have money"", ""to be generous""]","[""responsible"", ""worthwhile""]","[""to write cheques"", ""give generously"", ""to help other people"", ""offer other benefits"", ""to get what they paid for"", ""to expand business""]"
PersonX sees every day,"[""none""]","[""none""]","[""none""]",tst,"[""jolly"", ""Reflective"", ""Observational"", ""delightful""]","[""experiences new things"", ""none"", ""looks at items"", ""PersonX is inured to the sight"", ""PersonX no longer notices it""]","[""none""]","[""none"", ""to open his eyes"", ""to get out of the house""]","[""normal.""]","[""to enjoy the sights"", ""to learn more"", ""to keep his eyes open"", ""to continue with his activities""]"
PersonX bestows upon PersonY the ___,"[""advance in their career"", ""becomes proud of their accomplishment"", ""becomes leader"", ""helps the people"", ""next level in a class"", ""the duty of cooking""]","[""glad to watch""]","[""to celebrate"", ""to thank PersonX"", ""TO CELEBRATE""]",tst,"[""important"", ""Caring"", ""dedicated"", ""Charitable"", ""considerate"", ""happy"", ""kind""]","[""announces the bestowment"", ""none"", ""becomes proud of PersonY"", ""puts a crown on PersonY"", ""demonstrates their leadership""]","[""none""]","[""to prepare for the ceremony"", ""to hear good things about PersonY"", ""to see the work that PersonY does"", ""to select PersonY""]","[""happy to be involved in the ceremony""]","[""to honor PersonY"", ""to tell everyone about PersonY"", ""to relax"", ""to celebrate""]"
PersonX kisses PersonY cheek,"[""returns the kiss"", ""becomes aroused"", ""pulls away"", ""none"", ""closes her eyes""]","[""good for knowing""]","[""to kiss person x"", ""to hold on"", ""to carress person x"", ""cry""]",tst,"[""cheeky"", ""polite"", ""kind"", ""affectionate"", ""friendly"", ""expressive""]","[""they express feel"", ""none"", ""they express love"", ""looks her in the eyes"", ""smells her hair""]","[""to show affection""]","[""to be near person y"", ""none"", ""to pucker their lips""]","[""good for showing how they feel""]","[""say goodbye"", ""to carress person y"", ""to kiss some more"", ""to hold person y's hand""]"
PersonX becomes PersonY member,"[""none"", ""number increase"", ""give benefit""]","[""sociable""]","[""to instruct PersonX"", ""none"", ""to welcome PersonX""]",tst,"[""Truth-seeker"", ""Follower"", ""accepting"", ""supportive"", ""friendly""]","[""receive benefit"", ""receives acceptance"", ""receives support"", ""none"", ""go to meeting""]","[""to be included""]","[""to pay the membership fee"", ""to fill in forms"", ""to sign up"", ""to apply for membership""]","[""included""]","[""to use the benefits"", ""to carry out duties"", ""to go there every day"", ""to join different classes""]"
PersonX passes the exam,"[""none""]","[""satisfied"", ""none"", ""proud.""]","[""none""]",tst,"[""clever"", ""Thriving"", ""Victorious"", ""intelligent""]","[""PersonX will get a good grade"", ""PersonX will understand material in the class well""]","[""to get good grades"", ""to graduate."", ""pass their course""]","[""to work hard"", ""study"", ""understand the lessons"", ""go to the exam""]","[""ecstatic"", ""happy."", ""happy""]","[""to pursue higher studies"", ""relax"", ""rest"", ""to find a new job""]"
PersonX knocks PersonY over,[],[],[],tst,[],[],[],[],[],[]
PersonX fails PersonX's classes,"[""none""]","[""none""]","[""none""]",tst,"[""careless"", ""lazy"", ""stupid"", ""remorse"", ""irresponsible"", ""anger""]","[""can't get a good job."", ""has to re-take the classes.""]","[""none"", ""have fun"", ""to party""]","[""to not go to class"", ""to not study"", ""to go party"", ""none""]","[""ashamed"", ""worried"", ""disappointed"", ""sad""]","[""to retake the classes"", ""to drop out of the course"", ""to drop out of school"", ""to let off some steam"", ""to cry"", ""to retake the class"", ""to study harder""]"
PersonX takes PersonY view,"[""seeks to collaborate with PersonX"", ""none"", ""are talk more confidently""]","[""none""]","[""Stop arguing"", ""to avoid him"", ""to not have to listen to him"", ""Include X into their group""]",tst,"[""skilful"", ""sympathetic"", ""empathetic""]","[""seeks to unite with PersonY"", ""none"", ""talks confidently""]","[""to have his own perspetives"", ""to saw the same thing"", ""the same view""]","[""to go home"", ""none"", ""find person Y""]","[""content"", ""happy because of the view""]","[""share that view"", ""to stop any more arguing."", ""to follow what Y tells"", ""reconsider other things""]"
PersonX forgets my wallet,"[""must rely on others for money"", ""I have to go get it myself"", ""cannot pay"", ""I have to wait to get it""]","[""stressed"", ""annoyed"", ""angry"", ""disappointed""]","[""to find it as quickly as possible"", ""none"", ""to report the cards as stolen""]",tst,"[""absent minded"", ""careless"", ""forgetful"", ""thoughtless"", ""dum""]","[""apologizes for forgetting"", ""Has to go back and get it"", ""is chastised"", ""has to get wallet later""]","[""none""]","[""none""]","[""guilty"", ""ashamed"", ""remorsful""]","[""to try to go get it"", ""to take it up"", ""to reassure me that it's not lost"", ""to drive home""]"
PersonX gets a stain,"[""none""]","[""none""]","[""none""]",tst,"[""notorious"", ""dumb"", ""dirty"", ""clumsy"", ""messy"", ""suspicious""]","[""Goes to the cleaner"", ""Washes their clothes""]","[""none""]","[""to eat"", ""to spill on his clothes"", ""spill something"", ""play in dirt""]","[""upset"", ""annoyed"", ""disappointed"", ""sad""]","[""to change his outfit"", ""do laundry"", ""change clothes"", ""to wash the stain out""]"
PersonX bows the ___ to baal,"[""none""]","[""none""]","[""none""]",tst,"[""deferential"", ""Young"", ""Idolizing"", ""slavish"", ""submissive"", ""servile""]","[""none"", ""he goes out to dinner"", ""he cannot get back up""]","[""to worship evil""]","[""to believe in the lord"", ""to worship him""]","[""seduced""]","[""to get his grace"", ""to be blessed by him""]"
PersonX gets ___ from work,"[""none""]","[""none""]","[""none""]",tst,"[""exhausted"", ""eager"", ""tired"", ""worried""]","[""gets a welcoming hello"", ""has to work over time now"", ""has extra money"", ""smiles"", ""rests"", ""spends time pursuing passions""]","[""to have work at home"", ""to be home"", ""to relax""]","[""to be at work"", ""to get in the car"", ""to speak to their supervisor"", ""to drive home"", ""to pack up their things"", ""to finish their work""]","[""stressed"", ""relaxed""]","[""to get out of the car"", ""to cry"", ""to think about what they got"", ""to leave right away"", ""to rest"", ""to go back home"", ""to think what else they can get""]"
PersonX dyes PersonY's hair pink,"[""Gaps when seeing herself"", ""pay"", ""give thanks"", ""evaluate the job"", ""Gets compliment""]","[""grateful"", ""attractive"", ""happy"", ""interesting""]","[""none"", ""take a picture"", ""finish it""]",tst,"[""accommodating"", ""creative"", ""helpful"", ""adventerous"", ""indulgent"", ""skilled""]","[""none"", ""receive comensation"", ""receive thanks""]","[""to fulfill their job as a stylist"", ""to help someone out"", ""help persony because they cannot dye their own hair"", ""to help persony prepare for a party""]","[""wash hair"", ""gloves"", ""purchase hair care coloring"", ""sink"", ""take brush"", ""take dye sachets""]","[""responsible"", ""happy"", ""accomplished""]","[""take a picture"", ""wash hands"", ""wash brush"", ""let it sit"", ""take a shower""]"
PersonX announces PersonX's decision,"[""is hopeful"", ""none"", ""hears what they say""]","[""understanding"", ""none"", ""enlightened""]","[""to question him"", ""none"", ""to celebrate with PersonX"", ""to tell personX their opinion"", ""ignore PersonX"", ""to congratulate him""]",tst,"[""fast"", ""decisive"", ""proud"", ""boisterous."", ""quick"", ""egotistical.""]","[""has a serious look"", ""becomes a role model for others."", ""proves himself to be bold"", ""wonder's what they think""]","[""to be understood"", ""intentions known"", ""to be transparent""]","[""none"", ""to reach a conclusion"", ""to analyze the situation""]","[""happy"", ""understood"", ""relieved""]","[""to call all the people involved"", ""To start with the work"", ""to be understood"", ""to see their reaction"", ""To to get the work done"", ""to be recognized""]"
PersonX owns a dog,"[""none""]","[""none"", ""happy too""]","[""none""]",tst,"[""caring"", ""friendly"", ""loving"", ""less lonely""]","[""needs to make sure it's fed"", ""feeds the animal"", ""needs to keep it out of trouble"", ""walks the animal""]","[""to have a pet"", ""to have a companion"", ""a friend"", ""to save an animal's life""]","[""Buy food"", ""want a pet"", ""look for place to get a dog"", ""to buy a dog"", ""to go to the pet seller"", ""Buy a dog house""]","[""loved"", ""less alone"", ""happy"", ""bonded""]","[""to train it to become a good dog"", ""play with dog"", ""to take care of it well"", ""Walk the dog"", ""walk dog"", ""Feed the dog""]"
PersonX increases women's ___,"[""none""]","[""glad"", ""grateful"", ""happy""]","[""to spread women's rights"", ""to protest"", ""to be respectful towards women"", ""to praise PersonX"", ""to thank personX"", ""to show their appreciation""]",tst,"[""generous"", ""helpful"", ""supportive"", ""kind"", ""useful""]","[""they get recognition"", ""smile""]","[""proactive"", ""reformative"", ""to help women be more equal"", ""to be helpful""]","[""to have a strategy"", ""to make a plan"", ""to understand women"", ""to carry out a plan"", ""to get what women need"", ""to appreciate women""]","[""accomplished"", ""proud"", ""that they matter""]","[""to spread women's rights"", ""to continue to increase something"", ""to be respectful towards women"", ""to see the results"", ""to take aditional measures"", ""to give up""]"
PersonX starts with a clean slate,"[""none""]","[""none"", ""relieved""]","[""to do things right"", ""none"", ""to start things again""]",tst,"[""hardworking"", ""hopeful"", ""determined"", ""dedicated""]","[""rebirth"", ""none"", ""is forgiven""]","[""to start over"", ""to focus on the present and/or future instead of the past"", ""to start fresh"", ""to ignore past mistakes""]","[""get a new job"", ""get out of jail"", ""none"", ""to recognize the mistake"", ""to want to do things right"", ""move to a new place"", ""to think it's for the best"", ""apologize""]","[""liberated"", ""happy"", ""renewed"", ""revieved""]","[""to wrote something"", ""for things to go well"", ""work hard"", ""to break it"", ""behave well"", ""learn something new"", ""obey rules"", ""to have a friend"", ""to start things again""]"
PersonX shares the ___ equally,"[""none""]","[""none"", ""satisfied,happy""]","[""Try not to make him mad."", ""to reinvest the profits"", ""to buy more stocks"", ""Listen to him.""]",tst,"[""giving"", ""generous"", ""thoughtful"", ""just"", ""fair""]","[""get thanked"", ""no effect"", ""Spreads items to others"", ""PersonX gets their fair share"", ""PersonX receives a portion"", ""Prevents others from feeling left out""]","[""to get a good grade"", ""to share everything""]","[""to chose the right stocks"", ""He works with a co-worker."", ""But refuses to do more than his fair share."", ""to invest together""]","[""satisfied"", ""happy,satisfied""]","[""to reinvest the profits"", ""Tell the co-worker to pick up the pace."", ""Because he can't leave until it's done."", ""to save some of the profits""]"
PersonX hangs PersonX's clothes,"[""none""]","[""none""]","[""none""]",tst,"[""Courteous"", ""neat"", ""responsible"", ""tidy"", ""Thoughtful""]","[""puts the laundry basket away"", ""irons the clothes"", ""none""]","[""to be organized"", ""to get it done"", ""to have a clean room""]","[""to wash clothes"", ""hangers"", ""to take out clothes"", ""closet""]","[""on top of things"", ""satisfied"", ""efficient"", ""good for doing the task""]","[""to wash them"", ""to sit down"", ""to pick dried clothes"", ""take a break""]"
PersonX loves PersonY more than anything,"[""gets married"", ""none"", ""makes room for personx"", ""gives birth""]","[""loved"", ""proud and happy that they have such a good father""]","[""kiss PersonX"", ""to fall in love with Person X."", ""have a romantic relationship with Person X."", ""have children with PersonX""]",tst,"[""romantic"", ""compassionate"", ""attached"", ""caring"", ""thoughtful"", ""loving"", ""kind""]","[""has kids"", ""none"", ""PersonX proposes to PersonY"", ""moves in with persony"", ""PersonX gives their all"", ""gets married""]","[""his daughter to know that he loves her"", ""to have a partner"", ""to be affectionate""]","[""fall in love with PersonY"", ""to get to know Person Y"", ""spend time with PersonY"", ""to fall in ,love.""]","[""loving"", ""happy""]","[""buy gifts"", ""to keep loving Person Y."", ""meet PersonY's parents"", ""Person Y to fall in love with them.""]"
PersonX passes gas,"[""none""]","[""none""]","[""hide"", ""to get away"", ""spray air freshener"", ""pass out"", ""none"", ""to shame personx"", ""to not smell it"", ""scream"", ""To leave""]",tst,"[""uncomfortable"", ""Stinky"", ""embarrassed"", ""gross"", ""exposed"", ""embarrased"", ""Rude""]","[""smells"", ""has a stinky room"", ""relieved"", ""dirties their drawers""]","[""to relieve pressure"", ""none""]","[""To eat gaseous foods"", ""to push"", ""none"", ""eat a lot"", ""push""]","[""better"", ""embarrassed"", ""kind of embarassed"", ""relieved""]","[""to smell better"", ""to feel better"", ""to relieve gas pain"", ""To hide"", ""no one to notice"", ""to hide"", ""hold their nose"", ""relief""]"
PersonX opens doors,"[""none""]","[""thankful, loved"", ""none"", ""welcomed"", ""grateful"", ""cared for""]","[""to talk with him"", ""to spend time with him"", ""none"", ""to say thank you"", ""to repay the favor""]",tst,"[""dependable"", ""kind"", ""polite"", ""responsible""]","[""none"", ""exposure to elements beyond the doors"", ""ability to see through the doorways"", ""hit by fly"", ""gets apartment full with dust""]","[""to be polite"", ""to welcome"", ""happy,showing kindness"", ""to be nice""]","[""to grab the door handle"", ""to get up"", ""to go near the door"", ""to touch it"", ""to pull open the door"", ""walk""]","[""polite"", ""happy, caring towards others"", ""happy"", ""good""]","[""to let the elderly woman in"", ""to welcome his friend"", ""check the mail"", ""to leave"", ""to be helpful"", ""to see who has come""]"
PersonX puts PersonY to death,"[""none"", ""PersonY body slumps."", ""gets eulogy held"", ""cremated"", ""PersonY dies.""]","[""harrowed"", ""controlled"", ""anguished"", ""terrified of death""]","[""to please PersonX"", ""to haunt Person X."", ""none"", ""to be brought back from the dead."", ""to fight against PersonX""]",tst,"[""wicked"", ""scary"", ""a judge"", ""violent"", ""harsh"", ""powerful"", ""angry"", ""an executioner""]","[""jailed"", ""frowns"", ""gets sentenced to death"", ""goes to prison"", ""gets caught"", ""makes sure PersonY is dead""]","[""to be vengeful"", ""to kill person"", ""to control fate of person""]","[""to make a decision"", ""to catch Person Y."", ""be enemy with Y"", ""to give PersonY a trial"", ""to in fight with Y"", ""a murder weapon.""]","[""confused"", ""guilty"", ""enervated"", ""powerful""]","[""to serve jail time"", ""to make amends"", ""to bury Person Y."", ""to burn Person Y's body."", ""to warn others"", ""to surrender to police""]"
PersonX preaches god's ___,"[""none""]","[""none""]","[""none""]",tst,"[""zealous"", ""faithful"", ""passionate"", ""loving"", ""religious"", ""skilled""]","[""information"", ""sadness"", ""gets ignored"", ""makes converts""]","[""peace""]","[""to study god's word"", ""none"", ""to become a preacher""]","[""good""]","[""to greet the congregation"", ""read the bible"", ""to finish the sermon"", ""convince others""]"
PersonX looks like figure,"[""none""]","[""happy""]","[""none""]",tst,"[""beautiful"", ""handsome"", ""statuesque"", ""immobile"", ""pretty"", ""stoic"", ""attractive""]","[""none""]","[""none""]","[""none""]","[""happy and attractive""]","[""to look closely at the figure"", ""to look sexy"", ""to change how they look"", ""to be conscious of apperance"", ""to study their similarities"", ""to look at themselves in the mirror""]"
PersonX criticizes PersonY,[],[],[],tst,[],[],[],[],[],[]
PersonX studies as much as PersonY could,"[""PersonY also gets a good grade on the exam"", ""none"", ""PersonY failed the exam and should have studied harder and longer""]","[""determined as well"", ""competitive"", ""frustrated""]","[""none"", ""study harder"", ""congratulate person x""]",tst,"[""dutiful"", ""motivated"", ""learning"", ""educated"", ""dilligent"", ""competitive""]","[""studies a lot"", ""PersonX is prepared for the exam and increased knowledge"", ""gains more knowledge"", ""becomes smart"", ""PersonX fails the exam for they got too nervous"", ""PersonX gets a good grade on his exam"", ""gets a great test score""]","[""to do better than persony"", ""to be competitive"", ""to do as well as persony"", ""to do well"", ""to succeed""]","[""to know how much PersonY studies"", ""to gather study materials"", ""to observe the other person"", ""to have everything to study"", ""to apply himself to the study"", ""schedule time to devote to study."", ""acquire study materials.""]","[""satisfied"", ""determined"", ""tired"", ""accomplished""]","[""to take a break before the test."", ""to congratulate himself"", ""to tell person y"", ""to have a lot of sleep.""]"
PersonX waves ___ around,"[""People run away from PersonX."", ""People got blinded by the flashlight."", ""People got scared.""]","[""curious"", ""scared""]","[""none""]",tst,"[""a showoff"", ""dangerous"", ""active"", ""boisterous"", ""talented"", ""engaged""]","[""none""]","[""to get someone's attention"", ""to be playful"", ""to scare someone""]","[""send out signal"", ""communicate""]","[""tired"", ""expectant for a reaction"", ""relieved""]","[""await feedback"", ""go over"", ""yell out loud""]"
PersonX arches PersonY back,"[""is made comfortable"", ""none"", ""looks up at him""]","[""back relief""]","[""to relieve pressure"", ""to make PersonX feel good"", ""to relax"", ""to bond with PersonX""]",tst,"[""aggressive"", ""dominant"", ""violent"", ""physical"", ""strong""]","[""leaps"", ""none"", ""lands on feet""]","[""their back to feel better""]","[""to touch"", ""to make PersonY comfortable"", ""to exert force"", ""to reach for PersonY""]","[""like they are doing their job""]","[""for PersonY to stretch"", ""to help"", ""to make PersonY feel good"", ""to bond with PersonY""]"
PersonX helps ___ with problems,"[""rewards personX"", ""thanks personX"", ""gains knowledge"", ""become confused"", ""gets excited"", ""is able to relax"", ""gets scared""]","[""grateful to receive his help."", ""interested and enthusiastic""]","[""to give thanks"", ""to thank person X"", ""to sigh with relief"", ""to go home after solving the problem""]",tst,"[""Responsible"", ""empathetic"", ""generous"", ""helpful"", ""Grown""]","[""gets stressed"", ""gets compliment"", ""none"", ""worries about the other person"", ""gets excited"", ""becomes tired"", ""expects something in return""]","[""to see his company's success."", ""his students to score high in exams"", ""his students to solve problems easily""]","[""to have knowledge"", ""to be in contact with people to help them with their problems"", ""to ask the people what their problems are"", ""to show a willingness""]","[""happy and responsible"", ""happy about it.""]","[""to be rewarded"", ""to ensure that problems do not occur in the future"", ""to stay humble"", ""to thank the people for coming to him""]"
PersonX meets PersonX's customers ' ___,"[""customer thanks person x"", ""customer goes home"", ""none""]","[""good"", ""relaxed""]","[""to thank personx"", ""To come back"", ""to be happy with service"", ""to be satisfied""]",tst,"[""dutiful"", ""welcoming"", ""hard working"", ""strong willed"", ""responsible"", ""competent"", ""friendly"", ""dilligent""]","[""person x makes sure customer is okay"", ""person x is thanked"", ""PersonX provides good service"", ""PersonX gets a promotion""]","[""to meet their customer"", ""to do the duty""]","[""Be a model employee"", ""to listen to feedback"", ""to help customers with something"", ""to interact with customers""]","[""neutral"", ""normal""]","[""to be praised"", ""To get a raise"", ""to feel like a valued employee"", ""to be likes""]"
PersonX pisses up a rope,"[""may attacked by disease"", ""none"", ""may get more airborn diseases""]","[""none""]","[""none""]",tst,"[""silly"", ""mad"", ""crazy"", ""irresponsible""]","[""punished"", ""none"", ""gets more tangled in the problem and weeps out"", ""bad habbit"", ""gets depressed""]","[""none"", ""to piss up a rope""]","[""none"", ""strengthen muscles"", ""to exercise""]","[""that all their efforts are futile"", ""relieved""]","[""to overcome the problem."", ""to relax.""]"
PersonX notices an ad,"[""none""]","[""none""]","[""none""]",tst,"[""open minded"", ""mindful"", ""observant"", ""attentive"", ""unconvinced""]","[""calls the number"", ""asks questions"", ""writes down the phone number"", ""Opens flyer"", ""contacts the ad owner"", ""Stops to look""]","[""to find a used chair"", ""none""]","[""to buy a newspaper"", ""to read the newspaper"", ""none""]","[""interested"", ""eager to buy"", ""satisfied"", ""happy"", ""intrigued""]","[""to call about an ad"", ""to purchase an item"", ""to read it"", ""wants to keep walking""]"
