event,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant,split,original,neg_cue,neg_cue_type
PersonX refuses to ask PersonX's sister,"[""none""]","[""none"", ""Aloof"", ""Indifferent""]","[""none"", ""to wonder what's going on with PersonX"", ""to talk to PersonX""]","[""resistant"", ""stubborn"", ""hard-headed"", ""independent""]","[""has to find another way"", ""has to find someone else to help"", ""none"", ""he make mistake to refuse her sister"", ""he go out with out permission""]","[""none"", ""To ask a friend instead"", ""To wait until personX\u2019s sister volunteers the information""]","[""none"", ""to have a question"", ""to talk to PersonX's sister""]","[""forgetful"", ""uninterested"", ""Resentful"", ""Annoyed at personX\u2019s sister""]","[""to prove they can get it done on their own"", ""to ask someone other than their sister"", ""to figure it out on their own"", ""to ask someone else""]",tst,PersonX asks PersonX's sister,refuse,verb
PersonX under no circumstances makes PersonY assault,"[""none"", ""is OK"", ""is grateful""]","[""none""]","[""to try to calm down"", ""to stop being so violent"", ""none""]","[""non-confrontational"", ""peaceful"", ""even-tempered"", ""non-violent""]","[""to go to work well"", ""none""]","[""none""]","[""none""]","[""careful"", ""happy"", ""loving"", ""peaceful"", ""like calling police"", ""moving  out""]","[""to stop PersonY from getting angry"", ""to stop PersonY from assaulting someone"", ""to report the case"", ""to forgive them"", ""to show respect"", ""to be kind""]",tst,PersonX makes PersonY assault,by no means,multi_word
PersonX rarely wins the match,"[""none""]","[""none""]","[""none""]","[""unskilled"", ""mediocre"", ""unathletic"", ""uncompetitive""]","[""none"", ""gets a medal"", ""gets congratulated"", ""cries"", ""quits""]","[""none""]","[""none"", ""to get work doneto get work done"", ""to get work done"", ""doesn't practice"", ""not like to compete""]","[""sad"", ""defeated""]","[""to practice so they can win more often"", ""to play a game that they are better at"", ""to get work done"", ""to play something else"", ""to just relax""]",tst,PersonX wins the match,rarely,single_word
PersonX has few dreams last night,"[""none"", ""get a work done""]","[""none""]","[""none""]","[""an insomniac"", ""a deep, peaceful sleeper"", ""restless"", ""tense""]","[""none"", ""rests well"", ""seeks help""]","[""none""]","[""none"", ""to go to sleep"", ""to be asleep""]","[""restless"", ""unhappy"", ""tired"", ""sleepy"", ""bored"", ""unconcerned""]","[""N/N"", ""to tell others about it"", ""to go back to sleep"", ""to keep it that way"", ""avoid nightmares""]",tst,PersonX has a dream last night,few,single_word
PersonX has no fear of heights,"[""none""]","[""none""]","[""none""]","[""brave"", ""unscared"", ""confident"", ""fearless""]","[""jumps"", ""climbs"", ""none""]","[""none""]","[""to experience high heights"", ""to not have stress"", ""to enjoy climbing"", ""love flying planes"", ""none""]","[""bold"", ""unferaful"", ""courageous"", ""brave"", ""comfortable"", ""content""]","[""to go on a roller coaster"", ""to go bungee jumping"", ""to continue climbing"", ""to continue flying planes"", ""to climb a tree"", ""to visit a skyscraper""]",tst,PersonX has a fear of heights,no,single_word
PersonX is by no means well prepared,"[""none"", ""has to find someone to take PersonX's position"", ""has to get help to get situated""]","[""none""]","[""none""]","[""Ill equipped"", ""Poorly planned"", ""unprepared"", ""unready""]","[""get a work done"", ""bombs out on a project"", ""is demoted to another department"", ""doesn't get new job"", ""fails the test""]","[""none""]","[""none"", ""to have done other things"", ""not wanted to preform well""]","[""uneasy"", ""worried"", ""caught off-guard"", ""surprised"", ""disordered""]","[""to win"", ""to thrive"", ""to get the event overwith"", ""go do anything else""]",tst,PersonX is well prepared,by no means,multi_word
PersonX no longer looks sad,"[""none""]","[""none""]","[""none""]","[""generally satisfied"", ""carefree"", ""refreshed"", ""transformed"", ""glowing""]","[""smiles"", ""jumps for joy"", ""thinks happy thoughts"", ""is complimented"", ""gets a hug""]","[""none""]","[""none"", ""to be sad"", ""to appear sad"", ""be saddened"", ""cheer up""]","[""happy"", ""excited"", ""relieved"", ""elated"", ""joyful"", ""like a weight has been lifted""]","[""to smile"", ""to have fun"", ""to keep improving his mental health"", ""to be happy"", ""avoid being sad"", ""express happiness""]",tst,PersonX looks sad,no longer,multi_word
PersonX lacks a dinner party,"[""none""]","[""none""]","[""none"", ""be invited to dinner"", ""have their own dinner party""]","[""reclusive"", ""unpopular"", ""alone"", ""sad""]","[""plan for a meeting"", ""none"", ""gets hungry"", ""loses friends""]","[""none""]","[""none""]","[""sad"", ""lonely"", ""unhappy"", ""unsatisfied"", ""unprepared"", ""rushed""]","[""to go out to eat"", ""to cook a meal"", ""plan a dinner party"", ""avoid having people over"", ""to save money"", ""to go out for dinner""]",tst,PersonX has a dinner party,lack,single_word
PersonX halts asking PersonX's little brother,"[""none""]","[""relieved"", ""helpful"", ""none""]","[""none""]","[""quiet"", ""not interested"", ""independent"", ""stubborn""]","[""get a work done"", ""stresses over speaking to brother"", ""touches head"", ""he spent time with kids"", ""he like to play with children""]","[""to stop annoying brother"", ""understands something"", ""none"", ""to avoid imposing"", ""to be independent""]","[""none"", ""to want something"", ""to go to their little brother""]","[""knowledge has been gained"", ""courteous"", ""worried"", ""afraid"", ""responsible"", ""shy""]","[""to try and do it themselves"", ""to tell their brother to get some rest"", ""to find alternate ways to get it"", ""to ask someone else"", ""to find out from their mom before asking brother"", ""to let their little brother rest""]",tst,PersonX asks PersonX's little brother,halt,verb
PersonX fails to come to see PersonY,"[""none""]","[""none"", ""lonely"", ""disappointed""]","[""to alleviate PersonX's guilt"", ""to tell PersonX it's no big deal"", ""to be angry at personx"", ""to be sad towards personx"", ""none""]","[""uncaring"", ""distant"", ""unfriendly"", ""disloyal""]","[""loses friend"", ""stays still"", ""plan for a meeting"", ""he have other work on that time"", ""he spend time with friends""]","[""none""]","[""to have told PersonY they would visit"", ""to have forgotten they were supposed to visit"", ""none""]","[""selfish"", ""busy"", ""mean"", ""sad"", ""guilty for not visiting"", ""sad they couldn't see PersonY""]","[""to make it up to PersonY"", ""to give PersonY a gift"", ""to visit persony more often"", ""to apologize"", ""to show lack of love"", ""to show disrespect""]",tst,PersonX comes to see PersonY,fail,verb
PersonX is not by any means too much for PersonY,"[""none""]","[""none"", ""loving"", ""accepting""]","[""to thank PersonX for not being too much for them"", ""to value their relationship"", ""to bond with personx"", ""to declare their love for personx"", ""none""]","[""easy to take"", ""calm and confident"", ""little"", ""scarce""]","[""none""]","[""none""]","[""to be a good friend or acquaintance to personY"", ""to not annoy or bother personY much"", ""none""]","[""loved"", ""accepted"", ""average"", ""equal""]","[""to continue their relationship with PersonY without change"", ""to do nothing different"", ""to hug persony"", ""to get closer to persony"", ""to handle them"", ""have a relationship""]",tst,PersonX is too much for PersonY,not by any means,multi_word
PersonX under no circumstances makes that mistake again,"[""none""]","[""none""]","[""none""]","[""careful"", ""cautious"", ""strict""]","[""stresses about the mistake he made"", ""thinks about how he will do things differently next time"", ""none"", ""learns something new"", ""gains new insight""]","[""none"", ""to avoid trouble"", ""to appear competent""]","[""to make an error"", ""to learn from it"", ""none"", ""he watch tv"", ""he play with friends""]","[""careful"", ""intrested"", ""competent"", ""skilled""]","[""to avoid that situation"", ""to be safer"", ""to get work done"", ""he go to work"", ""he take rest on home""]",tst,PersonX makes that mistake again,under no circumstances,multi_word
PersonX avoids putting bread in the toaster,"[""none""]","[""none""]","[""none""]","[""a pastry chef"", ""a small child"", ""labor-saving"", ""environmentally conscious""]","[""none"", ""has to eat plain bread"", ""has untoasted bread"", ""he like to cooking for friend"", ""he make money for family""]","[""none"", ""to use the microwave"", ""to avoid it turning crispy""]","[""acquire bread"", ""own a toaster"", ""none""]","[""careful"", ""accomplished"", ""hungry"", ""late"", ""opinionated"", ""adamant""]","[""dress the bread"", ""place it on dish"", ""to put bread in the oven"", ""to avoid using the toaster"", ""to eat their bread plain"", ""to put a bagel in the toaster""]",tst,PersonX puts bread in the toaster,avoid,verb
PersonX avoids skating around,"[""none"", ""to go to work well""]","[""none""]","[""none""]","[""scared"", ""busy"", ""idle"", ""unmoving""]","[""legs are more relaxes"", ""muscles are loose"", ""none""]","[""doesn't want to fall"", ""is not confident in skill"", ""none"", ""to save their energy"", ""to rest""]","[""none"", ""to go to a skate rink"", ""to rent skates""]","[""cautious"", ""safe"", ""careful"", ""worried"", ""calm"", ""rested""]","[""to rest"", ""be happy"", ""to play video games"", ""to go home"", ""get rid of their skates"", ""find another hobby""]",tst,PersonX skates around,avoid,verb
PersonX has little trouble falling asleep,"[""get a work done"", ""none""]","[""none""]","[""none""]","[""exhausted"", ""sleepy"", ""carefree"", ""capable of dealing with stress""]","[""get a work done"", ""get a work doneget a work done"", ""thinks about what to eat for breakfast"", ""stresses he may oversleep"", ""is well rested"", ""is told to wake up""]","[""none""]","[""to not have caffeine"", ""be awake many hours"", ""none"", ""to have more tension"", ""to have work stress""]","[""sleepless"", ""restless"", ""happy"", ""relaxed"", ""energetic"", ""rested""]","[""wake up early"", ""take a shower"", ""Stay sleeping"", ""Enjoy it"", ""to feel free"", ""to meditate""]",tst,PersonX has trouble falling asleep,little,single_word
PersonX in no way improves PersonX's grades,"[""get grade"", ""to work"", ""none""]","[""none""]","[""none""]","[""lethargic"", ""unambitious"", ""ineffective"", ""incompetent""]","[""plan to get a work"", ""none"", ""fails the class"", ""does not graduate""]","[""none"", ""not apply themselves"", ""not study""]","[""none""]","[""lazy"", ""disinterested"", ""not smart"", ""like a failure"", ""frustrated"", ""defeated""]","[""to slack off"", ""to play games"", ""to study more for exams"", ""to ask classmate to tutor them in class"", ""study more"", ""get a tutor""]",tst,PersonX improves PersonX's grades,in no way,multi_word
PersonX uncurls PersonX's hair,"[""none""]","[""none"", ""loved"", ""cared for""]","[""none"", ""to keep it that way""]","[""obsessive"", ""stylish"", ""helpful"", ""gentle""]","[""touches hair"", ""looks in mirror"", ""thinks straight hair is better"", ""stresses people won't recognize him"", ""Lets hair down"", ""Thinks of curlers""]","[""wants to have straight hair"", ""values appearance"", ""try a new appearance"", ""none"", ""to help PersonY get their hair straight"", ""to play with PersonY's hair""]","[""none""]","[""like a new person"", ""bold"", ""loving"", ""romantic"", ""helpful"", ""caring""]","[""to straighten it"", ""to plait it"", ""it washed"", ""to be cleaned""]",tst,PersonX curls PersonX's hair,uncurl,affixes_verb
PersonX never gets milk,"[""none""]","[""none""]","[""none""]","[""a vegan"", ""lactose intolerant"", ""dairy hater""]","[""saves money"", ""becomes healthier"", ""plan for a meeting"", ""lacks calcium"", ""needs to find a supplement for milk""]","[""none"", ""to not feel nauseous"", ""to have a different drink instead"", ""to avoid lactose intolerance"", ""to lose weight""]","[""none""]","[""unhappy"", ""unsatisfied"", ""satisfied"", ""well"", ""cautious"", ""responsible""]","[""continue to avoid milk"", ""try milk again"", ""to go to the grocery"", ""too buy water"", ""to go to the store and buy milk"", ""to ask their partner to get some milk""]",tst,PersonX gets milk,never,single_word
PersonX under no circumstances seeks PersonY answer,"[""get a work done"", ""none""]","[""none""]","[""to advise personx"", ""to be frustrated"", ""none"", ""to cry"", ""to shun personX""]","[""uninterested"", ""indifferent"", ""independent"", ""stubborn""]","[""none"", ""has to do their own research"", ""has to find the answers themselves""]","[""none"", ""does not want person y answer""]","[""to know persony"", ""to be friends with persony"", ""to get work done"", ""none""]","[""skilled"", ""knowing"", ""satisfied"", ""secretive"", ""used"", ""ignored""]","[""to trust people more"", ""to hear people's opinions"", ""to get work done"", ""to keep their own opinions"", ""to reflect on personX opinion""]",tst,PersonX seeks PersonY answer,by no means,multi_word
PersonX disapproves taking it everywhere,"[""to rest"", ""to work"", ""none""]","[""none""]","[""none""]","[""reluctant"", ""not cooperant"", ""careful"", ""stubborn""]","[""plan for a meeting"", ""none""]","[""leave it behind"", ""doesn't want to be seen with it"", ""get a money"", ""it to remain hidden"", ""not let others find out""]","[""have something to take"", ""be presented with the idea of moving it"", ""none""]","[""get a money"", ""safe"", ""nervous""]","[""take it one or two places"", ""leave it in place"", ""to leave it at home"", ""to go places alone"", ""to feel alone"", ""to check the quality""]",tst,PersonX takes it everywhere,disapprove,verb
PersonX has trouble with leaving PersonY's car,"[""none""]","[""none"", ""awkward"", ""like helping PersonX""]","[""get personX out of the car"", ""get over the trouble"", ""none"", ""PersonX to exit the car"", ""to go home""]","[""resistant"", ""clingy"", ""anxious"", ""attached""]","[""get a work done"", ""none"", ""they receive help to get out""]","[""none"", ""to buy a new vehicle"", ""to get a ride""]","[""approach the car"", ""need to leave"", ""open car doors"", ""to enter the Y's car"", ""to get in the car"", ""to ask for a ride""]","[""lonely"", ""sad"", ""embarrassed"", ""like a burden"", ""mad""]","[""stay with the car"", ""get someone else to watch it"", ""lock car doors"", ""drive away"", ""to talk to PersonY"", ""to hang out with PersonY""]",tst,PersonX leaves PersonY's car,have trouble with,multi_word
PersonX is not at all excited and nervous,"[""to rest"", ""plan for a meeting"", ""none""]","[""none""]","[""none""]","[""composed"", ""steady"", ""calm""]","[""none"", ""learns to keep calm"", ""takes a deep breath""]","[""none""]","[""anlayse the situation"", ""seek information beforehand"", ""none""]","[""worried"", ""nervous"", ""bored"", ""bad"", ""calm"", ""steady""]","[""finish the event"", ""look forward to the next event"", ""to feel more excited about the event"", ""to look at the event in a more positive light"", ""to remain calm"", ""to be composed""]",tst,PersonX is excited and nervous,not at all,multi_word
PersonX restrains themselves from giving PersonY a account,"[""loses money"", ""becomes frustrated"", ""gets angry"", ""yells""]","[""confused"", ""annoyed"", ""prejudiced"", ""rejected""]","[""none""]","[""greedy"", ""careless"", ""inhibited"", ""sober""]","[""gets yelled at"", ""loses their job"", ""stresses about being complained by PersonY"", ""gets approved by their manager""]","[""person y to be deprived of an account"", ""to fix something first"", ""to avoid getting into trouble"", ""to comply with the company policies""]","[""go to the bank"", ""bring PersonY with"", ""none""]","[""busy"", ""hustling"", ""secure"", ""right about themselves""]","[""let PersonY open his own account"", ""walk PersonY through the process"", ""to close contact with personY"", ""to tell PersonY that will be all""]",tst,PersonX gives PersonY a account,restrain,verb
PersonX has little dreams last night,"[""plan for a meeting"", ""RTO PLAY"", ""none""]","[""none""]","[""none""]","[""unimaginative"", ""tired"", ""restless"", ""troubled""]","[""none"", ""stresses his brain isn't functioning"", ""thinks about what to eat for breakfast"", ""are energized"", ""do well on test""]","[""none""]","[""none"", ""go to bed"", ""fall asleep""]","[""disappointed"", ""confused"", ""forgetful"", ""anxious"", ""rested"", ""calm""]","[""continue getting good sleep"", ""avoid bad dreams"", ""to get a restful sleep"", ""to wake up early"", ""to sleep soundly"", ""to stay in bed""]",tst,PersonX has a dream last night,little,single_word
PersonX scarcely leans back,"[""none"", ""get well"", ""play well""]","[""none""]","[""none""]","[""regimented"", ""disciplined"", ""health conscious"", ""posture oriented""]","[""none"", ""get a work done"", ""thinks his back may hurt"", ""stresses that he is not able to lean all the way back""]","[""none"", ""to work on their posture"", ""to avoid falling backward""]","[""none""]","[""strong"", ""energetic"", ""traight"", ""determined"", ""well-positioned"", ""balanced""]","[""to get work done"", ""to be confident"", ""to show off"", ""to feel more stretched out"", ""to try and see under the table""]",tst,PersonX leans back,scarcely,single_word
PersonX on no condition gets beer,"[""none""]","[""none""]","[""none""]","[""a minor"", ""a tee-totaler"", ""forward-thinking"", ""responsible""]","[""none"", ""stays sober"", ""keeps money"", ""thinks being sober is great"", ""stresses others think he is boring""]","[""none"", ""to stay sober"", ""to stay lean""]","[""none"", ""to get work done""]","[""happy"", ""satisfied"", ""sober"", ""lean""]","[""to get work done"", ""to stay sober"", ""to stay in shape""]",tst,PersonX gets beer,on no condition,multi_word
PersonX realizes nothing,"[""none""]","[""none""]","[""none""]","[""obtuse"", ""oblivious"", ""dull"", ""dim""]","[""none"", ""he not interested on anythink"", ""he never realizes on her own""]","[""none""]","[""none"", ""to get work done""]","[""dumb"", ""in the dark"", ""dump"", ""stupid"", ""unfulfilled"", ""unambitious""]","[""Stay quiet"", ""Keep it up"", ""to get work done"", ""to get more information"", ""to become more aware""]",tst,PersonX realizes something,nothing,single_word
PersonX no longer dyes PersonX's hair red,"[""none"", ""get a work done"", ""dxb""]","[""none""]","[""none""]","[""matured"", ""evolving their look"", ""unadventurous"", ""mature""]","[""flings hands"", ""looks in mirror"", ""get a work done"", ""gains knowledge about the hair color"", ""learns a new skill""]","[""to go natural"", ""let it grow out"", ""none"", ""to try a different color"", ""to change things up""]","[""to wash their hair"", ""to feel their hair"", ""none""]","[""frumpy"", ""natural"", ""neat"", ""professional"", ""adventerous"", ""creative""]","[""to change colors"", ""to comb their hair"", ""to dye their hair black"", ""to cut their hair"", ""to let their color grow out"", ""to get it cut""]",tst,PersonX dyes PersonX's hair red,no longer,multi_word
PersonX has problem with getting dressed,"[""none""]","[""none""]","[""none""]","[""Tiresome"", ""Exasperating"", ""uncoordinated"", ""clumsy""]","[""none"", ""scratches head"", ""loses out on clothing"", ""sweats from effort"", ""stresses about being late""]","[""none"", ""a different outfit"", ""to stay at home""]","[""none"", ""doesn't like clothes"", ""has a physical handicap"", ""to take a shower"", ""to prepare their clothes""]","[""tired"", ""bored"", ""lazy"", ""unprepared"", ""annoyed"", ""unhappy""]","[""to stay in bed"", ""to wear pajamas"", ""not wear clothes"", ""stay at home"", ""to fix their clothes"", ""to ask for help""]",tst,PersonX gets dressed,have problem with,multi_word
PersonX hardly keeps PersonX's fingers crossed,"[""none""]","[""none""]","[""none""]","[""honest"", ""straight forward"", ""unsuperstitious"", ""non-believer""]","[""thinks luck is stupid"", ""stresses about things not going his way"", ""none""]","[""none"", ""to be honest"", ""to be truthful""]","[""to have them in that position"", ""to choose not to"", ""to extend their hand"", ""to lie"", ""none""]","[""focused"", ""on point"", ""excited"", ""happy"", ""honest"", ""truthful""]","[""to hope for the best"", ""to avoid superstitions"", ""to do a contrary action"", ""to stretch their hand"", ""to be realistic"", ""expect disappointment""]",tst,PersonX keeps PersonX's fingers crossed,hardly,single_word
PersonX lacks a bad feeling,"[""get a work done"", ""none""]","[""none""]","[""none""]","[""cold"", ""calous"", ""sure"", ""positive""]","[""none"", ""makes a mistake"", ""gets hurt"", ""Becomes happy"", ""Stays happy""]","[""none""]","[""none"", ""to feel secure"", ""be an optimist""]","[""happy"", ""enjoyment"", ""excited"", ""pleasant"", ""friendly""]","[""to avoid apologizing"", ""to focus on their own life"", ""to be optimistic"", ""to not stress"", ""to enjoy life""]",tst,PersonX has a bad feeling,lack,single_word
PersonX makes no attempt to hit the road,"[""careful"", ""to rest"", ""none""]","[""none""]","[""none""]","[""homebound"", ""late"", ""lazy"", ""thoughtful"", ""scared""]","[""get a work done"", ""none"", ""thinks he wants to stay at home"", ""stresses about being alone""]","[""none"", ""to stay at home"", ""to wait for someone to come with them""]","[""none""]","[""tired"", ""settled"", ""bored"", ""drunk"", ""anxious about not going"", ""glad to be home""]","[""to sleep in"", ""to stay at home"", ""to focus more on hitting the road"", ""to ask someone else to hit the road"", ""to lounge in a chair"", ""to get something to eat""]",tst,PersonX hits the road,make no attempt to,multi_word
PersonX opposes crossing the road,"[""none""]","[""none"", ""resentful of disagreement"", ""more tired from long route""]","[""none""]","[""traditional"", ""common"", ""concerned with safety"", ""a home-body""]","[""gets late"", ""gets yelled at"", ""has to stay on their own side"", ""misses everything across the street"", ""they miss something over there""]","[""none"", ""doesn't want to get hit by cars"", ""doesn't like the loud noises"", ""to stay put"", ""to avoid the place""]","[""none"", ""open door"", ""go outside""]","[""scared"", ""worried"", ""safer"", ""more tired from taking the long route"", ""anxious""]","[""to go over the bridge"", ""to hitch a cab instead"", ""get into car"", ""to rest""]",tst,PersonX crosses the road,oppose,verb
PersonX has little wonderful trips,"[""none""]","[""none""]","[""none""]","[""active"", ""fun loving"", ""capricious"", ""whimsical""]","[""Sees the world"", ""knows places"", ""plan for a meeting"", ""becomes proud of themselves"", ""is more helpful to others""]","[""none"", ""wants to vacation"", ""wants to relax""]","[""to plan weekend vacations"", ""to book trips to destination"", ""make money"", ""plan a trip"", ""none""]","[""lucky"", ""satisfied"", ""happy"", ""excited"", ""relieved"", ""relaxed""]","[""to plan more mini vacations"", ""to continue to travel"", ""to have fun"", ""to see new places"", ""to plan more trips with friends"", ""ask partner to go on trip with them""]",tst,PersonX has a wonderful trip,little,single_word
PersonX makes no attempt to go first,"[""made attempt"", ""good"", ""none""]","[""none""]","[""none""]","[""meek"", ""shy"", ""passive"", ""uncompetitive""]","[""get a work done"", ""shakes"", ""gets yelled at"", ""thinks he would rather go second"", ""stresses that others think he is scared""]","[""none"", ""to pace themselves"", ""to blend in""]","[""none""]","[""disloyal"", ""undedicated"", ""afraid"", ""anxious"", ""anonymous"", ""deliberate""]","[""to allow others to be first"", ""see what others do before going"", ""Stay second"", ""Stay last""]",tst,PersonX goes first,make no attempt to,multi_word
PersonX is not by any means getting ready,"[""none""]","[""none""]","[""none""]","[""procrastinating"", ""lethargic"", ""careless"", ""a procrastinator""]","[""none"", ""get a work done"", ""stays naked"", ""sits down""]","[""none"", ""to cancel their plans"", ""to arrive fashionably late"", ""to not go out"", ""to avoid the event""]","[""none"", ""avoid preparing"", ""get distracted""]","[""lazy"", ""inactive"", ""unexcited"", ""sluggish"", ""content"", ""satisfied""]","[""to sleep a little more"", ""to stay in the house"", ""get ready"", ""wing it"", ""to sleep well"", ""to study abroad""]",tst,PersonX is getting ready,not by any means,multi_word
PersonX never makes thanksgiving dinner,"[""none""]","[""none""]","[""invite personX over"", ""help personX make dinner"", ""none""]","[""lazy"", ""unskilled"", ""superstitious""]","[""none"", ""goes hungry"", ""gets no visitors"", ""he go to sleep after the dinner"", ""he finish all work before the dinner""]","[""none"", ""to let someone more talented do it"", ""to go out to eat""]","[""none"", ""to make a reservation at a restaurant"", ""call a friend"", ""to grocery shop"", ""to eat at a friends house""]","[""unhappy"", ""unloved"", ""hungry"", ""untraditional"", ""content"", ""excited""]","[""make Thanksgiving dinner"", ""go to someone else's house to eat"", ""to spend time alone"", ""to go out to eat"", ""to eat"", ""to enjoy family""]",tst,PersonX makes thanksgiving dinner,never,single_word
PersonX has a lack of a baby girl,"[""none""]","[""none""]","[""none""]","[""childless"", ""barren"", ""lonely"", ""needy""]","[""none"", ""despised"", ""grateful"", ""Recieves a abortion"", ""Unable to get pregnant""]","[""none""]","[""none""]","[""sad"", ""unhappy"", ""longing"", ""wanting"", ""disappointed""]","[""have a baby girl"", ""adopt a baby girl"", ""to raise baby boys"", ""to keep trying for girls"", ""to be nice"", ""to be good""]",tst,PersonX has a baby girl,a lack of,multi_word
PersonX hardly ever follows the recipe,"[""none"", ""to east"", ""plan for a meeting""]","[""none""]","[""none""]","[""different"", ""unique"", ""creative"", ""innovative""]","[""gets yelled at"", ""gets complained to"", ""plan for a meeting"", ""Learns a new way"", ""Creates a new dish""]","[""none"", ""to do things their own way"", ""to take some culinary chances"", ""to be creative"", ""to be unique""]","[""to stray from recipes"", ""to not follow recipes"", ""none"", ""already know how to cook"", ""not like following recipes""]","[""skilled"", ""creative"", ""inventive"", ""daring"", ""accomplished"", ""proud""]","[""to follow the recipe for once"", ""to keep not following recipes"", ""to make food from scratch"", ""to be creative when doing things"", ""to make own recipes"", ""to never follow directions""]",tst,PersonX follows the recipe,hardly ever,multi_word
PersonX by no means finds a gold ring,"[""none""]","[""none""]","[""none""]","[""unlucky"", ""unsuccessful"", ""dejected"", ""crestfallen""]","[""none"", ""to go to work well"", ""they experience a blood rush"", ""they start to laugh""]","[""none""]","[""none""]","[""disappointed"", ""uncertain"", ""unlucky""]","[""to check to see if they can find a gold ring"", ""to learn to use their metal detector more effiently"", ""avoid buying jewelry"", ""find a ring they like""]",tst,PersonX finds a gold ring,by no means,multi_word
PersonX is deprived of fun playing,"[""get a work done"", ""none""]","[""none""]","[""none""]","[""Abused"", ""Lonely"", ""Helpless"", ""bored"", ""dull"", ""deprived""]","[""none"", ""has nothing to do"", ""falls asleep""]","[""none""]","[""none"", ""to do chores"", ""finish homework""]","[""excluded"", ""denied"", ""sad"", ""lazy"", ""angry"", ""annoyed"", ""bored""]","[""meet some friends"", ""learn new games"", ""Have fun"", ""Go play"", ""to have fun time"", ""to take a break""]",tst,PersonX has fun playing,is deprived of,multi_word
PersonX seldomly makes a change,"[""get a work done"", ""none""]","[""none""]","[""none""]","[""stubborn"", ""strong willed"", ""stuck in their ways"", ""stale""]","[""none"", ""thinks he is fine living the way he is"", ""stresses that he may be missing out on new opportunities""]","[""likes his lifestyle"", ""to do the normal"", ""none"", ""to stay the same"", ""to avoid new things""]","[""to have a routine"", ""to be set in their ways"", ""look at what needs to be changed"", ""conclude no change is needed"", ""avoid change"", ""be stubborn""]","[""satisfied"", ""bored of the same thing"", ""left out"", ""sad"", ""disinterested"", ""content""]","[""to be open to change"", ""to try new things"", ""leave things as they are"", ""do the same things over again"", ""make more changes"", ""be more flexible""]",tst,PersonX makes a change,seldomly,single_word
PersonX hardly knocks PersonY's socks off,"[""none"", ""is ignored"", ""is not talked to""]","[""none"", ""annoyed"", ""frustrated""]","[""none""]","[""humdrum"", ""mundane"", ""boring"", ""unimpressive""]","[""get a work done"", ""none""]","[""none""]","[""none""]","[""unhappy"", ""unusual"", ""lonely"", ""sad"", ""clumsy"", ""accidental""]","[""to not be impressive"", ""to not scare PersonY"", ""to be more impressive"", ""show their skills""]",tst,PersonX knocks PersonY's socks off,hardly,single_word
PersonX seldomly sits at the dinning room table,"[""none""]","[""none""]","[""none""]","[""hurried"", ""impatient"", ""absent"", ""gone""]","[""none"", ""loses family time"", ""cries""]","[""none"", ""to avoid family"", ""to avoid eating""]","[""to get work done"", ""none""]","[""busy"", ""lonely"", ""lazy"", ""isolated"", ""disagreeable""]","[""to get work done"", ""to eat alone so they can read"", ""to make sure the dining room stays clean for guests"", ""to sell the unused furniture"", ""to consider using the room for something else""]",tst,PersonX sits at the dinning room table,seldomly,single_word
PersonX resists bringing people together,"[""none"", ""to play"", ""to meet"", ""get neglected"", ""are not cooperated with""]","[""confused"", ""unhappy"", ""none""]","[""none"", ""to reconcile"", ""to meet and talk""]","[""solitary"", ""lonely"", ""unsocial"", ""a loner""]","[""gets yelled at"", ""gets scolded"", ""plan for a meeting"", ""is overthrown"", ""is convinced otherwise""]","[""to be alone"", ""to be antisocial"", ""get a money"", ""to avoid people"", ""to be left alone""]","[""not like parties"", ""not like get togethers"", ""none"", ""to hate people"", ""to be alone""]","[""antisocial"", ""uncooperative"", ""get a money"", ""lonely"", ""anxious""]","[""to have alone time"", ""not make new friends"", ""to understand people"", ""figure out how to help people"", ""to change the mind"", ""to be safe""]",tst,PersonX brings people together,resist,verb
PersonX seldomly visits a friend,"[""none""]","[""none"", ""lonely"", ""disappointed""]","[""to find new friends"", ""to avoid PersonX"", ""none""]","[""introverted"", ""aloof"", ""distant"", ""uncaring""]","[""get a work done"", ""none"", ""loses contact with friend"", ""finds new friend""]","[""get a moneyget a money"", ""get a money"", ""none""]","[""to have a friend"", ""to choose not to see them"", ""to get work done"", ""none""]","[""get a money"", ""busy"", ""guilty"", ""guilty for not visiting"", ""sad""]","[""to reach out"", ""to see that person"", ""to get work done"", ""good job"", ""give distance to them"", ""to be alone""]",tst,PersonX visits a friend,seldomly,single_word
PersonX by no means justifies PersonX's actions,"[""none""]","[""none""]","[""none"", ""question personX"", ""receive an explanation""]","[""unrepentant"", ""reckless"", ""responsible"", ""accountable""]","[""make goods"", ""get a work done"", ""none"", ""others ask what he means"", ""others avoid x""]","[""none""]","[""none"", ""take action"", ""decide not to offer justification""]","[""sad"", ""offended"", ""sorry"", ""regretful"", ""fine"", ""content""]","[""to forgive"", ""to make it better"", ""to take the blame for what had happened"", ""to tell others that they are sorry"", ""avoid explaining"", ""change their behavior""]",tst,PersonX justifies PersonX's actions,by no means,multi_word
