neg_event,event,split,neg_cue,neg_cue_type
PersonX hardly loves PersonY's job,PersonX loves PersonY's job,trn,hardly,single_word
PersonX hardly makes PersonX's mom happy,PersonX makes PersonX's mom happy,trn,hardly,single_word
PersonX hardly keeps PersonY in touch,PersonX keeps PersonY in touch,trn,hardly,single_word
PersonX hardly starts talking to PersonY,PersonX starts talking to PersonY,trn,hardly,single_word
PersonX hardly walks home with PersonY,PersonX walks home with PersonY,trn,hardly,single_word
PersonX hardly wants children,PersonX wants children,trn,hardly,single_word
PersonX hardly wipes PersonY's mouth,PersonX wipes PersonY's mouth,trn,hardly,single_word
PersonX hardly buys gifts,PersonX buys gifts,trn,hardly,single_word
PersonX hardly gives PersonY gifts,PersonX gives PersonY gifts,trn,hardly,single_word
PersonX hardly knocks PersonY down,PersonX knocks PersonY down,trn,hardly,single_word
PersonX hardly makes a phone call,PersonX makes a phone call,trn,hardly,single_word
PersonX hardly sees PersonY's aunt,PersonX sees PersonY's aunt,trn,hardly,single_word
PersonX hardly pushes PersonY's tongue,PersonX pushes PersonY's tongue,trn,hardly,single_word
PersonX hardly lowers PersonY's head,PersonX lowers PersonY's head,trn,hardly,single_word
PersonX hardly gets a gift,PersonX gets a gift,trn,hardly,single_word
PersonX hardly gives PersonY details,PersonX gives PersonY details,trn,hardly,single_word
PersonX hardly comes to PersonY agreement,PersonX comes to PersonY agreement,trn,hardly,single_word
PersonX hardly asks PersonY to accompany,PersonX asks PersonY to accompany,trn,hardly,single_word
PersonX is hardly playing monopoly,PersonX is playing monopoly,trn,hardly,single_word
PersonX is hardly mad at PersonY,PersonX is mad at PersonY,trn,hardly,single_word
PersonX is hardly tired from work,PersonX is tired from work,trn,hardly,single_word
PersonX is hardly taking care of PersonY,PersonX is taking care of PersonY,trn,hardly,single_word
PersonX is hardly dying of cancer,PersonX is dying of cancer,trn,hardly,single_word
PersonX is hardly outside playing,PersonX is outside playing,trn,hardly,single_word
PersonX is hardly pregnant with twins,PersonX is pregnant with twins,trn,hardly,single_word
PersonX is hardly running for president,PersonX is running for president,trn,hardly,single_word
PersonX is hardly friends with PersonY,PersonX is friends with PersonY,trn,hardly,single_word
PersonX is hardly proud of PersonY,PersonX is proud of PersonY,trn,hardly,single_word
PersonX is hardly bothering PersonY,PersonX is bothering PersonY,trn,hardly,single_word
PersonX is hardly with PersonY's friends,PersonX is with PersonY's friends,trn,hardly,single_word
PersonX is hardly dating PersonY,PersonX is dating PersonY,trn,hardly,single_word
PersonX is hardly very upset with PersonY,PersonX is very upset with PersonY,trn,hardly,single_word
PersonX is hardly cleaning PersonY's apartment,PersonX is cleaning PersonY's apartment,trn,hardly,single_word
PersonX is hardly planning PersonY's wedding,PersonX is planning PersonY's wedding,trn,hardly,single_word
PersonX is hardly proud of PersonX's accomplishment,PersonX is proud of PersonX's accomplishment,trn,hardly,single_word
PersonX hardly ever tells PersonX's sister,PersonX tells PersonX's sister,trn,hardly ever,multi_word
PersonX hardly ever proposes to PersonY,PersonX proposes to PersonY,trn,hardly ever,multi_word
PersonX hardly ever takes PersonY's temperature,PersonX takes PersonY's temperature,trn,hardly ever,multi_word
PersonX hardly ever gets a job,PersonX gets a job,trn,hardly ever,multi_word
PersonX hardly ever dates for five years,PersonX dates for five years,trn,hardly ever,multi_word
PersonX hardly ever brings PersonY inside,PersonX brings PersonY inside,trn,hardly ever,multi_word
PersonX hardly ever owns PersonX's own business,PersonX owns PersonX's own business,trn,hardly ever,multi_word
PersonX hardly ever gives PersonY a copy,PersonX gives PersonY a copy,trn,hardly ever,multi_word
PersonX hardly ever bribes PersonY with candy,PersonX bribes PersonY with candy,trn,hardly ever,multi_word
PersonX hardly ever likes the game,PersonX likes the game,trn,hardly ever,multi_word
PersonX hardly ever calls customer service,PersonX calls customer service,trn,hardly ever,multi_word
PersonX hardly ever threatens PersonY's life,PersonX threatens PersonY's life,trn,hardly ever,multi_word
PersonX hardly ever cuts the ribbon,PersonX cuts the ribbon,trn,hardly ever,multi_word
PersonX hardly ever puts an ad in the paper,PersonX puts an ad in the paper,trn,hardly ever,multi_word
PersonX hardly ever meets a beautiful woman,PersonX meets a beautiful woman,trn,hardly ever,multi_word
PersonX hardly ever calls the plumber,PersonX calls the plumber,trn,hardly ever,multi_word
PersonX hardly ever changes PersonX's hair color,PersonX changes PersonX's hair color,trn,hardly ever,multi_word
PersonX hardly ever satisfies PersonY curiosity,PersonX satisfies PersonY curiosity,trn,hardly ever,multi_word
PersonX hardly ever makes breakfast,PersonX makes breakfast,trn,hardly ever,multi_word
PersonX hardly ever gives PersonY treatment,PersonX gives PersonY treatment,trn,hardly ever,multi_word
PersonX hardly ever starts yelling,PersonX starts yelling,trn,hardly ever,multi_word
PersonX hardly ever enjoys PersonY's time together,PersonX enjoys PersonY's time together,trn,hardly ever,multi_word
PersonX hardly ever pushes PersonY on the ground,PersonX pushes PersonY on the ground,trn,hardly ever,multi_word
PersonX hardly ever brings everyone,PersonX brings everyone,trn,hardly ever,multi_word
PersonX hardly ever gets a tutor,PersonX gets a tutor,trn,hardly ever,multi_word
PersonX hardly ever leaves PersonX's country,PersonX leaves PersonX's country,trn,hardly ever,multi_word
PersonX hardly ever ties PersonY's hair,PersonX ties PersonY's hair,trn,hardly ever,multi_word
PersonX hardly ever makes an a on PersonY's test,PersonX makes an a on PersonY's test,trn,hardly ever,multi_word
PersonX hardly ever calls PersonX's husband,PersonX calls PersonX's husband,trn,hardly ever,multi_word
PersonX hardly ever supports PersonY's family,PersonX supports PersonY's family,trn,hardly ever,multi_word
PersonX hardly ever lifts PersonY's hands,PersonX lifts PersonY's hands,trn,hardly ever,multi_word
PersonX hardly ever makes PersonX's mom happy,PersonX makes PersonX's mom happy,trn,hardly ever,multi_word
PersonX hardly ever gives PersonY advantage,PersonX gives PersonY advantage,trn,hardly ever,multi_word
PersonX hardly ever cleans up PersonX's act,PersonX cleans up PersonX's act,trn,hardly ever,multi_word
PersonX is hardly ever far from home,PersonX is far from home,trn,hardly ever,multi_word
PersonX hardly ever calls PersonX's grandparents,PersonX calls PersonX's grandparents,trn,hardly ever,multi_word
PersonX hardly ever rewards PersonY,PersonX rewards PersonY,trn,hardly ever,multi_word
PersonX hardly ever shakes PersonY's hands,PersonX shakes PersonY's hands,trn,hardly ever,multi_word
PersonX hardly ever buys PersonY a new one,PersonX buys PersonY a new one,trn,hardly ever,multi_word
PersonX hardly ever prepares food,PersonX prepares food,trn,hardly ever,multi_word
PersonX hardly ever visits PersonY's grandfather,PersonX visits PersonY's grandfather,trn,hardly ever,multi_word
PersonX hardly ever kisses PersonY tenderly,PersonX kisses PersonY tenderly,trn,hardly ever,multi_word
PersonX hardly ever asks PersonY's on a date,PersonX asks PersonY's on a date,trn,hardly ever,multi_word
PersonX hardly ever tells PersonY the time,PersonX tells PersonY the time,trn,hardly ever,multi_word
PersonX hardly ever freaks PersonY out,PersonX freaks PersonY out,trn,hardly ever,multi_word
PersonX hardly ever takes PersonX's two kids,PersonX takes PersonX's two kids,trn,hardly ever,multi_word
PersonX has problem with pulling a prank,PersonX pulls a prank,trn,have problem with,multi_word
PersonX has problem with seizing PersonY by the arm,PersonX seizes PersonY by the arm,trn,have problem with,multi_word
PersonX has problem with giving the royal treatment,PersonX gives the royal treatment,trn,have problem with,multi_word
PersonX has problem with spining a yarn,PersonX spins a yarn,trn,have problem with,multi_word
PersonX has problem with killing PersonY's children,PersonX kills PersonY's children,trn,have problem with,multi_word
PersonX has problem with squeezing PersonY hand,PersonX squeezes PersonY hand,trn,have problem with,multi_word
PersonX has problem with throwing a surprise party,PersonX throws a surprise party,trn,have problem with,multi_word
PersonX has problem with taking PersonY on a date,PersonX takes PersonY on a date,trn,have problem with,multi_word
PersonX has problem with surprising PersonY with a trip,PersonX surprises PersonY with a trip,trn,have problem with,multi_word
PersonX has problem with deciding to adopt PersonY,PersonX decides to adopt PersonY,trn,have problem with,multi_word
PersonX has problem with giving PersonY a book,PersonX gives PersonY a book,trn,have problem with,multi_word
PersonX has problem with going sledding,PersonX goes sledding,trn,have problem with,multi_word
PersonX has problem with taking PersonY's breath away,PersonX takes PersonY's breath away,trn,have problem with,multi_word
PersonX has problem with losing the first game,PersonX loses the first game,trn,have problem with,multi_word
PersonX has problem with asking PersonX's crush,PersonX asks PersonX's crush,trn,have problem with,multi_word
PersonX has problem with visiting PersonY's uncle's farm,PersonX visits PersonY's uncle's farm,trn,have problem with,multi_word
PersonX has problem with bringing PersonY's food,PersonX brings PersonY's food,trn,have problem with,multi_word
PersonX has problem with takeing PersonY's stance,PersonX takes PersonY's stance,trn,have problem with,multi_word
PersonX has problem with playing PersonY's game,PersonX plays PersonY's game,trn,have problem with,multi_word
PersonX has problem with finding PersonY apartment,PersonX finds PersonY apartment,trn,have problem with,multi_word
PersonX has problem with visiting PersonX's mom,PersonX visits PersonX's mom,trn,have problem with,multi_word
PersonX has problem with lying on the ground,PersonX lies on the ground,trn,have problem with,multi_word
PersonX has problem with going beyond the scope,PersonX goes beyond the scope,trn,have problem with,multi_word
PersonX has problem with pulling PersonY's knees,PersonX pulls PersonY's knees,trn,have problem with,multi_word
PersonX has problem with letting PersonY win,PersonX lets PersonY win,trn,have problem with,multi_word
PersonX has problem with bringing PersonY to the hospital,PersonX brings PersonY to the hospital,trn,have problem with,multi_word
PersonX has problem with telling PersonY PersonY's name,PersonX tells PersonY PersonY's name,trn,have problem with,multi_word
PersonX has problem with becoming president,PersonX becomes president,trn,have problem with,multi_word
PersonX has problem with wanting to impress PersonY's friends,PersonX wants to impress PersonY's friends,trn,have problem with,multi_word
PersonX has problem with seeking PersonY's help,PersonX seeks PersonY's help,trn,have problem with,multi_word
PersonX has problem with wanting to impress PersonY,PersonX wants to impress PersonY,trn,have problem with,multi_word
PersonX has problem with kissing PersonY on the forehead,PersonX kisses PersonY on the forehead,trn,have problem with,multi_word
PersonX has problem with grabing PersonY's things,PersonX grabs PersonY's things,trn,have problem with,multi_word
PersonX has problem with opening PersonX's own shop,PersonX opens PersonX's own shop,trn,have problem with,multi_word
PersonX has problem with renewing PersonX's vows,PersonX renews PersonX's vows,trn,have problem with,multi_word
PersonX has problem with buying PersonY a drink,PersonX buys PersonY a drink,trn,have problem with,multi_word
PersonX has problem with giving PersonY education,PersonX gives PersonY education,trn,have problem with,multi_word
PersonX has problem with runing up to PersonY,PersonX runs up to PersonY,trn,have problem with,multi_word
PersonX has problem with climbing on top of PersonY,PersonX climbs on top of PersonY,trn,have problem with,multi_word
PersonX has problem with challenging PersonX's friends,PersonX challenges PersonX's friends,trn,have problem with,multi_word
PersonX has problem with drawing PersonY closer,PersonX draws PersonY closer,trn,have problem with,multi_word
PersonX has problem with laying down PersonX's life,PersonX lays down PersonX's life,trn,have problem with,multi_word
PersonX has problem with asking the boy out,PersonX asks the boy out,trn,have problem with,multi_word
PersonX has problem with killing PersonY animal,PersonX kills PersonY animal,trn,have problem with,multi_word
PersonX has problem with kissing the gunners daughter,PersonX kisses the gunners daughter,trn,have problem with,multi_word
PersonX has problem with satisfying PersonX's hunger,PersonX satisfies PersonX's hunger,trn,have problem with,multi_word
PersonX has problem with cutting PersonY's arm,PersonX cuts PersonY's arm,trn,have problem with,multi_word
PersonX has problem with meeting PersonY's neighbors,PersonX meets PersonY's neighbors,trn,have problem with,multi_word
PersonX has problem with fixing PersonY's wagon,PersonX fixes PersonY's wagon,trn,have problem with,multi_word
PersonX has problem with spilling PersonY's drink,PersonX spills PersonY's drink,trn,have problem with,multi_word
PersonX has problem with paying PersonY's debts,PersonX pays PersonY's debts,trn,have problem with,multi_word
PersonX has problem with building a giant snowman,PersonX builds a giant snowman,trn,have problem with,multi_word
PersonX has problem with seeing a concert,PersonX sees a concert,trn,have problem with,multi_word
PersonX has problem with losing all of PersonY's money,PersonX loses all of PersonY's money,trn,have problem with,multi_word
PersonX has problem with asking PersonY's son,PersonX asks PersonY's son,trn,have problem with,multi_word
PersonX has problem with doing something special for PersonY,PersonX does something special for PersonY,trn,have problem with,multi_word
PersonX has problem with loving PersonY enough,PersonX loves PersonY enough,trn,have problem with,multi_word
PersonX has problem with going swimming with friends,PersonX goes swimming with friends,trn,have problem with,multi_word
PersonX has problem with seeing what was wrong with PersonY,PersonX sees what was wrong with PersonY,trn,have problem with,multi_word
PersonX has problem with taking PersonY to work,PersonX takes PersonY to work,trn,have problem with,multi_word
PersonX has problem with surprising PersonX's parents,PersonX surprises PersonX's parents,trn,have problem with,multi_word
PersonX has problem with bringing PersonY the news,PersonX brings PersonY the news,trn,have problem with,multi_word
PersonX has problem with putting it in PersonY pocket,PersonX puts it in PersonY pocket,trn,have problem with,multi_word
PersonX has problem with supporting PersonY's cause,PersonX supports PersonY's cause,trn,have problem with,multi_word
PersonX has problem with determining PersonY's customer base,PersonX determines PersonY's customer base,trn,have problem with,multi_word
PersonX has problem with asking PersonX's neighbor,PersonX asks PersonX's neighbor,trn,have problem with,multi_word
PersonX has problem with walking back to my car,PersonX walks back to my car,trn,have problem with,multi_word
PersonX has problem with opening PersonY eyes,PersonX opens PersonY eyes,trn,have problem with,multi_word
PersonX has problem with seeing PersonY's father,PersonX sees PersonY's father,trn,have problem with,multi_word
PersonX has problem with giving PersonY a hand,PersonX gives PersonY a hand,trn,have problem with,multi_word
PersonX has problem with kissing PersonY,PersonX kisses PersonY,trn,have problem with,multi_word
PersonX has problem with hearing PersonY sing,PersonX hears PersonY sing,trn,have problem with,multi_word
PersonX has problem with seeing PersonY's way,PersonX sees PersonY's way,trn,have problem with,multi_word
PersonX has problem with getting PersonY's phone back,PersonX gets PersonY's phone back,trn,have problem with,multi_word
PersonX has problem with taking another wife,PersonX takes another wife,trn,have problem with,multi_word
PersonX has problem with drinking PersonY's blood,PersonX drinks PersonY's blood,trn,have problem with,multi_word
PersonX has trouble with helping PersonX's mother,PersonX helps PersonX's mother,trn,have trouble with,multi_word
PersonX has trouble with breaking PersonY's nose,PersonX breaks PersonY's nose,trn,have trouble with,multi_word
PersonX has trouble with getting some bad news,PersonX gets some bad news,trn,have trouble with,multi_word
PersonX has trouble with turning things around,PersonX turns things around,trn,have trouble with,multi_word
PersonX has trouble with wanting to tell PersonY,PersonX wants to tell PersonY,trn,have trouble with,multi_word
PersonX has trouble with remodeling PersonY's bathroom,PersonX remodels PersonY's bathroom,trn,have trouble with,multi_word
PersonX has trouble with wanting to touch PersonY,PersonX wants to touch PersonY,trn,have trouble with,multi_word
PersonX has trouble with owing PersonY money,PersonX owes PersonY money,trn,have trouble with,multi_word
PersonX has trouble with using PersonY's computer,PersonX uses PersonY's computer,trn,have trouble with,multi_word
PersonX has trouble with eating together,PersonX eats together,trn,have trouble with,multi_word
PersonX has trouble with persuading PersonY to let,PersonX persuades PersonY to let,trn,have trouble with,multi_word
PersonX has trouble with raising PersonY's children,PersonX raises PersonY's children,trn,have trouble with,multi_word
PersonX has trouble with saying hello to PersonY,PersonX says hello to PersonY,trn,have trouble with,multi_word
PersonX has trouble with sending PersonX's children to schools,PersonX sends PersonX's children to schools,trn,have trouble with,multi_word
PersonX has trouble with reading PersonY's thoughts,PersonX reads PersonY's thoughts,trn,have trouble with,multi_word
PersonX has trouble with ringing PersonY's bell,PersonX rings PersonY's bell,trn,have trouble with,multi_word
PersonX has trouble with losing PersonX's jobs,PersonX loses PersonX's jobs,trn,have trouble with,multi_word
PersonX has trouble with opening PersonY's door,PersonX opens PersonY's door,trn,have trouble with,multi_word
PersonX has trouble with calling PersonY over,PersonX calls PersonY over,trn,have trouble with,multi_word
PersonX has trouble with telling PersonY to wait,PersonX tells PersonY to wait,trn,have trouble with,multi_word
PersonX has trouble with hitting someone,PersonX hits someone,trn,have trouble with,multi_word
PersonX has trouble with liking PersonY too,PersonX likes PersonY too,trn,have trouble with,multi_word
PersonX has trouble with coming back to my room,PersonX comes back to my room,trn,have trouble with,multi_word
PersonX has trouble with forgiving PersonY's friend,PersonX forgives PersonY's friend,trn,have trouble with,multi_word
PersonX has trouble with seeing PersonY's works,PersonX sees PersonY's works,trn,have trouble with,multi_word
PersonX has trouble with seeing PersonY's way,PersonX sees PersonY's way,trn,have trouble with,multi_word
PersonX has trouble with kissing PersonY goodbye,PersonX kisses PersonY goodbye,trn,have trouble with,multi_word
PersonX has trouble with taking PersonY's boat,PersonX takes PersonY's boat,trn,have trouble with,multi_word
PersonX has trouble with going to PersonY's,PersonX goes to PersonY's,trn,have trouble with,multi_word
PersonX has trouble with ruining PersonY's day,PersonX ruins PersonY's day,trn,have trouble with,multi_word
PersonX has trouble with receiving treatment,PersonX receives treatment,trn,have trouble with,multi_word
PersonX has trouble with marrying PersonY's cousin,PersonX marries PersonY's cousin,trn,have trouble with,multi_word
PersonX has trouble with leading PersonY by the hand,PersonX leads PersonY by the hand,trn,have trouble with,multi_word
PersonX has trouble with giving PersonY the names,PersonX gives PersonY the names,trn,have trouble with,multi_word
PersonX has trouble with acting in PersonY capacity,PersonX acts in PersonY capacity,trn,have trouble with,multi_word
PersonX has trouble with rushing toward PersonY,PersonX rushes toward PersonY,trn,have trouble with,multi_word
PersonX has trouble with tearing PersonY's eyes,PersonX tears PersonY's eyes,trn,have trouble with,multi_word
PersonX has trouble with throwing PersonY out,PersonX throws PersonY out,trn,have trouble with,multi_word
PersonX has trouble with spinning PersonY around,PersonX spins PersonY around,trn,have trouble with,multi_word
PersonX has trouble with getting to see PersonY,PersonX gets to see PersonY,trn,have trouble with,multi_word
PersonX has trouble with causing PersonY trouble,PersonX causes PersonY trouble,trn,have trouble with,multi_word
PersonX has trouble with buying PersonY new shoes,PersonX buys PersonY new shoes,trn,have trouble with,multi_word
PersonX has trouble with scheduling an appointment,PersonX schedules an appointment,trn,have trouble with,multi_word
PersonX has trouble with moving back in with PersonX's parents,PersonX moves back in with PersonX's parents,trn,have trouble with,multi_word
PersonX has trouble with getting new glasses,PersonX gets new glasses,trn,have trouble with,multi_word
PersonX has trouble with grabbing PersonY's phone,PersonX grabs PersonY's phone,trn,have trouble with,multi_word
PersonX has trouble with swimming around,PersonX swims around,trn,have trouble with,multi_word
PersonX has trouble with helping other people,PersonX helps other people,trn,have trouble with,multi_word
PersonX has trouble with changing PersonY's mind,PersonX changes PersonY's mind,trn,have trouble with,multi_word
PersonX has trouble with getting my money back,PersonX gets my money back,trn,have trouble with,multi_word
PersonX has trouble with looking up at PersonY,PersonX looks up at PersonY,trn,have trouble with,multi_word
PersonX has trouble with accomplishing PersonY's work,PersonX accomplishes PersonY's work,trn,have trouble with,multi_word
PersonX has trouble with finding PersonY a man,PersonX finds PersonY a man,trn,have trouble with,multi_word
PersonX has trouble with keeping PersonY word,PersonX keeps PersonY word,trn,have trouble with,multi_word
PersonX has trouble with asking PersonY about it,PersonX asks PersonY about it,trn,have trouble with,multi_word
PersonX has trouble with becoming PersonY friend,PersonX becomes PersonY friend,trn,have trouble with,multi_word
PersonX has trouble with going to school today,PersonX goes to school today,trn,have trouble with,multi_word
PersonX has trouble with opening a restaurant,PersonX opens a restaurant,trn,have trouble with,multi_word
PersonX has trouble with looking PersonY in the eye,PersonX looks PersonY in the eye,trn,have trouble with,multi_word
PersonX has trouble with proving PersonY's innocence,PersonX proves PersonY's innocence,trn,have trouble with,multi_word
PersonX has trouble with coming to get PersonY,PersonX comes to get PersonY,trn,have trouble with,multi_word
PersonX has trouble with turning PersonY down,PersonX turns PersonY down,trn,have trouble with,multi_word
PersonX has trouble with waiting a week,PersonX waits a week,trn,have trouble with,multi_word
PersonX has trouble with running some tests on PersonY,PersonX runs some tests on PersonY,trn,have trouble with,multi_word
PersonX has trouble with leaving the station,PersonX leaves the station,trn,have trouble with,multi_word
PersonX has trouble with giving you PersonY answer,PersonX gives you PersonY answer,trn,have trouble with,multi_word
PersonX has trouble with running towards PersonY,PersonX runs towards PersonY,trn,have trouble with,multi_word
PersonX has trouble with bleaching PersonY's hair,PersonX bleaches PersonY's hair,trn,have trouble with,multi_word
PersonX has trouble with playing professional baseball,PersonX plays professional baseball,trn,have trouble with,multi_word
PersonX has trouble with running to PersonY,PersonX runs to PersonY,trn,have trouble with,multi_word
PersonX has trouble with doing PersonY's hair,PersonX does PersonY's hair,trn,have trouble with,multi_word
PersonX has trouble with giving PersonY a massage,PersonX gives PersonY a massage,trn,have trouble with,multi_word
PersonX has trouble with getting PersonY's car back,PersonX gets PersonY's car back,trn,have trouble with,multi_word
PersonX has trouble with saying things to PersonY,PersonX says things to PersonY,trn,have trouble with,multi_word
PersonX has trouble with pulling pranks,PersonX pulls pranks,trn,have trouble with,multi_word
PersonX has trouble with getting lost in the woods,PersonX gets lost in the woods,trn,have trouble with,multi_word
PersonX in no way gives PersonY a ring,PersonX gives PersonY a ring,trn,in no way,multi_word
PersonX in no way forgives PersonY,PersonX forgives PersonY,trn,in no way,multi_word
PersonX in no way drives PersonY away,PersonX drives PersonY away,trn,in no way,multi_word
PersonX in no way locks PersonY's keys in PersonX's car,PersonX locks PersonY's keys in PersonX's car,trn,in no way,multi_word
PersonX in no way invites PersonY to a party,PersonX invites PersonY to a party,trn,in no way,multi_word
PersonX in no way wins three games,PersonX wins three games,trn,in no way,multi_word
PersonX in no way looks for PersonY,PersonX looks for PersonY,trn,in no way,multi_word
PersonX in no way gives PersonY value,PersonX gives PersonY value,trn,in no way,multi_word
PersonX in no way supports PersonY,PersonX supports PersonY,trn,in no way,multi_word
PersonX in no way gets PersonY a great gift,PersonX gets PersonY a great gift,trn,in no way,multi_word
PersonX in no way lifts PersonY's hand,PersonX lifts PersonY's hand,trn,in no way,multi_word
PersonX in no way misses PersonX's friends,PersonX misses PersonX's friends,trn,in no way,multi_word
PersonX in no way wants to have a child,PersonX wants to have a child,trn,in no way,multi_word
PersonX in no way does what PersonY loves,PersonX does what PersonY loves,trn,in no way,multi_word
PersonX in no way narrows PersonY's choices,PersonX narrows PersonY's choices,trn,in no way,multi_word
PersonX in no way denies PersonY access,PersonX denies PersonY access,trn,in no way,multi_word
PersonX in no way leads PersonY into the room,PersonX leads PersonY into the room,trn,in no way,multi_word
PersonX in no way gives PersonY the best,PersonX gives PersonY the best,trn,in no way,multi_word
PersonX in no way quits PersonX's old job,PersonX quits PersonX's old job,trn,in no way,multi_word
PersonX in no way attends a wine tasting,PersonX attends a wine tasting,trn,in no way,multi_word
PersonX in no way drinks PersonY's blood,PersonX drinks PersonY's blood,trn,in no way,multi_word
PersonX in no way brings PersonY food,PersonX brings PersonY food,trn,in no way,multi_word
PersonX in no way adores PersonY,PersonX adores PersonY,trn,in no way,multi_word
PersonX in no way reduces PersonX's stress,PersonX reduces PersonX's stress,trn,in no way,multi_word
PersonX in no way puts words in PersonY's mouth,PersonX puts words in PersonY's mouth,trn,in no way,multi_word
PersonX in no way improves PersonY's understanding,PersonX improves PersonY's understanding,trn,in no way,multi_word
PersonX in no way drops a bombshell,PersonX drops a bombshell,trn,in no way,multi_word
PersonX in no way goes see PersonY,PersonX goes see PersonY,trn,in no way,multi_word
PersonX in no way meets PersonY's parents,PersonX meets PersonY's parents,trn,in no way,multi_word
PersonX in no way asks PersonY's forgiveness,PersonX asks PersonY's forgiveness,trn,in no way,multi_word
PersonX in no way gets home from school,PersonX gets home from school,trn,in no way,multi_word
PersonX in no way pulls PersonY away,PersonX pulls PersonY away,trn,in no way,multi_word
PersonX in no way grabs PersonY's purse,PersonX grabs PersonY's purse,trn,in no way,multi_word
PersonX in no way jerks PersonY's head,PersonX jerks PersonY's head,trn,in no way,multi_word
PersonX in no way asks a girl,PersonX asks a girl,trn,in no way,multi_word
PersonX in no way lets PersonY know that,PersonX lets PersonY know that,trn,in no way,multi_word
PersonX in no way takes PersonY's temperature,PersonX takes PersonY's temperature,trn,in no way,multi_word
PersonX in no way throws PersonY a surprise party,PersonX throws PersonY a surprise party,trn,in no way,multi_word
PersonX in no way sees PersonX's old friend,PersonX sees PersonX's old friend,trn,in no way,multi_word
PersonX in no way has PersonY's phone,PersonX has PersonY's phone,trn,in no way,multi_word
PersonX in no way sees PersonY home,PersonX sees PersonY home,trn,in no way,multi_word
PersonX in no way gives PersonY a clue,PersonX gives PersonY a clue,trn,in no way,multi_word
PersonX in no way visits PersonY's grandmother,PersonX visits PersonY's grandmother,trn,in no way,multi_word
PersonX in no way takes action against PersonY,PersonX takes action against PersonY,trn,in no way,multi_word
PersonX in no way celebrates halloween,PersonX celebrates halloween,trn,in no way,multi_word
PersonX in no way plans PersonX's next trip,PersonX plans PersonX's next trip,trn,in no way,multi_word
PersonX in no way brings PersonY to the hospital,PersonX brings PersonY to the hospital,trn,in no way,multi_word
PersonX in no way gets PersonY's friends together,PersonX gets PersonY's friends together,trn,in no way,multi_word
PersonX in no way takes care of children,PersonX takes care of children,trn,in no way,multi_word
PersonX in no way urges PersonY to go,PersonX urges PersonY to go,trn,in no way,multi_word
PersonX in no way borrows the money,PersonX borrows the money,trn,in no way,multi_word
PersonX in no way gets rid of PersonY,PersonX gets rid of PersonY,trn,in no way,multi_word
PersonX is in no way on a first date,PersonX is on a first date,trn,in no way,multi_word
PersonX is in no way a basketball player,PersonX is a basketball player,trn,in no way,multi_word
PersonX is in no way scared of PersonY,PersonX is scared of PersonY,trn,in no way,multi_word
PersonX is in no way going to have a baby,PersonX is going to have a baby,trn,in no way,multi_word
PersonX is in no way cleaning out PersonY's garage,PersonX is cleaning out PersonY's garage,trn,in no way,multi_word
PersonX is in no way playing tennis,PersonX is playing tennis,trn,in no way,multi_word
PersonX is in no way camping with PersonX's friends,PersonX is camping with PersonX's friends,trn,in no way,multi_word
PersonX is in no way planning PersonX's wedding,PersonX is planning PersonX's wedding,trn,in no way,multi_word
PersonX is in no way playing monopoly,PersonX is playing monopoly,trn,in no way,multi_word
PersonX is in no way coming to visit,PersonX is coming to visit,trn,in no way,multi_word
PersonX is in no way playing football with PersonY's friends,PersonX is playing football with PersonY's friends,trn,in no way,multi_word
PersonX is in no way following PersonY,PersonX is following PersonY,trn,in no way,multi_word
PersonX is in no way bothering PersonY,PersonX is bothering PersonY,trn,in no way,multi_word
PersonX is in no way mad at PersonY,PersonX is mad at PersonY,trn,in no way,multi_word
PersonX is in no way driving to work,PersonX is driving to work,trn,in no way,multi_word
PersonX is in no way proud of PersonY,PersonX is proud of PersonY,trn,in no way,multi_word
PersonX is in no way very kind to PersonY,PersonX is very kind to PersonY,trn,in no way,multi_word
PersonX is in no way pregnant with twins,PersonX is pregnant with twins,trn,in no way,multi_word
PersonX is in no way able to go,PersonX is able to go,trn,in no way,multi_word
PersonX is in no way PersonY's prom date,PersonX is PersonY's prom date,trn,in no way,multi_word
PersonX is in no way angry at PersonY,PersonX is angry at PersonY,trn,in no way,multi_word
PersonX is in no way sent home,PersonX is sent home,trn,in no way,multi_word
PersonX is in no way dating a girl,PersonX is dating a girl,trn,in no way,multi_word
PersonX is in no way taken away,PersonX is taken away,trn,in no way,multi_word
PersonX is in no way getting married,PersonX is getting married,trn,in no way,multi_word
PersonX is in no way running for president,PersonX is running for president,trn,in no way,multi_word
PersonX is in no way cooking dinner,PersonX is cooking dinner,trn,in no way,multi_word
PersonX is in no way late for class,PersonX is late for class,trn,in no way,multi_word
PersonX is deprived of a great time at PersonY's party,PersonX has a great time at PersonY's party,trn,is deprived of,multi_word
PersonX is deprived of fun with PersonY's friends,PersonX has fun with PersonY's friends,trn,is deprived of,multi_word
PersonX is deprived of a new friend,PersonX has a new friend,trn,is deprived of,multi_word
PersonX is deprived of a great time with PersonY's friends,PersonX has a great time with PersonY's friends,trn,is deprived of,multi_word
PersonX is deprived of a halloween party,PersonX has a halloween party,trn,is deprived of,multi_word
PersonX is deprived of a small dog,PersonX has a small dog,trn,is deprived of,multi_word
PersonX is deprived of a panic attack,PersonX has a panic attack,trn,is deprived of,multi_word
