event,split,xAttr,xEffect,oEffect,xReact,oReact,xWant,oWant,xIntent,xNeed,original
PersonX escapes the vine with their life,tst,"[""crafy"", ""wily"", ""grateful"", ""exhausted""]","[""to be helpful to others"", ""to be kind"", ""continues to live"", ""sighs in relief""]","[""none""]","[""safe"", ""relieved"", ""scared"", ""worrisome"", ""alive"", ""a sense of relief""]","[""none"", ""happy personx is still alive""]","[""stop to calm their breathing"", ""get away from the danger"", ""to go for a ride"", ""to clean the room"", ""to free"", ""to happy in his life""]","[""none""]","[""to survive"", ""to be safe"", ""to avenge their comrades"", ""to live"", ""was fighting to survive""]","[""make an escape plan"", ""let go of the vine"", ""to find a job"", ""to work hard"", ""to engage vine in his life"", ""to had torture with vine""]",PersonX dies on the vine
PersonX is selfish,tst,"[""rude"", ""mean"", ""uncaring"", ""selfcentered""]","[""none""]","[""none""]",,,"[""sell their old apartment"", ""leave their old job"", ""Keep it up"", ""Be happy"", ""to tell others to stop asking them for things"", ""to try and change their selfish ways""]","[""none""]",,"[""to meet people"", ""find an apartment"", ""none""]",PersonX shares and share alike
PersonX asks PersonY to stay,tst,"[""Frantic"", ""Foolish"", ""eager"", ""excited""]","[""PersonY gives them an answer"", ""PersonY tells PersonX no"", ""in the home"", ""and ask help to cook""]","[""PersonX begs to know why"", ""PersonX promises to be different"", ""none""]",,,"[""to talk to Y"", ""to get to know Y better""]","[""to explain their feelings to x"", ""to stay"", ""to say they will stay"", ""to say they will go""]",,"[""none""]",PersonX sends PersonY home
PersonX has to take PersonY from the hospital,tst,"[""friendly"", ""selfless"", ""helping"", ""caring for friend""]","[""they are thanked"", ""receives thanks"", ""receives money""]","[""they are taken home"", ""they receive medical attention"", ""they recover from injuries""]",,,"[""to bring PersonY home"", ""to tend to PersonY's needs"", ""to follow up with PersonY"", ""to take care of PersonY""]","[""to thank PersonX"", ""to rest"", ""to thank PersonY"", ""to do something nice for PersonY""]",,"[""to call PersonY"", ""to make plans"", ""to know PersonY"", ""to approach PersonY""]",PersonX has to take PersonY to the hospital
PersonX stayed enrolled.,tst,"[""determined"", ""studious"", ""dutiful"", ""responsible""]","[""study well"", ""more fun"", ""tuition is deducted from their bank"", ""becomes overloaded with schoolwork""]","[""none""]",,,"[""to go to their classes"", ""to study and work hard to maintain good grades"", ""to be good"", ""to be alone""]","[""none""]",,"[""to enroll in school"", ""to weight the pro's and cons of staying enrolled"", ""none""]",PersonX leaves the class
PersonX stays disciplined,tst,"[""focused"", ""determined"", ""confident""]","[""swelled head"", ""hubris"", ""GETS ACCEPTED"", ""is liked""]","[""none""]",,,"[""get things done"", ""be productive"", ""PersonX feels happy"", ""Stay strong""]","[""none""]",,"[""be disciplined"", ""avoid change"", ""none""]",PersonX takes liberties
PersonX keeps PersonX's hands clean,tst,"[""tidy"", ""hygenic"", ""healthy"", ""sanitzed""]","[""doesn't get anyone sick"", ""doesn't spread germs"", ""they stay healthy""]","[""none""]",,,"[""to wash their hands"", ""to use a napkin"", ""keep washing their hands"", ""be cleanly""]","[""none""]",,"[""none"", ""pay attention to their hands"", ""wash their hands""]",PersonX gets PersonX's hands dirty
PersonX hates PersonX's work.,tst,"[""vengeful"", ""hateful"", ""resentful"", ""irritated""]","[""Person x leaves the job"", ""Person x search for a new job"", ""none""]","[""none""]",,,"[""find a new job"", ""learn a new skill"", ""to resign"", ""to find a new job""]","[""none"", ""to hire a new worker"", ""to fire person X""]",,"[""have work"", ""develop a dislike of the work"", ""to have a job"", ""to go  to work""]",PersonX loves PersonX's work
PersonX claims to smell something,tst,"[""observant"", ""intrigued"", ""wondering"", ""lying""]","[""is caught in a fire"", ""is ignored"", ""looks for the smell"", ""ignores the smell""]","[""none""]",,,"[""to find the smell"", ""to eradicate the smell"", ""clean a house"", ""swipe sanitiser much""]","[""none""]",,"[""none"", ""plan for the cleaning"", ""smell something up""]",PersonX smells something
PersonX practices music alone,tst,"[""independent"", ""talented"", ""determined"", ""diligent""]","[""gains musical knowledge"", ""improves musical skill"", ""gets better skills"", ""doesn't bother anyone""]","[""none""]",,,"[""to practice more"", ""to participate the contest"", ""get better"", ""perform the music""]","[""none""]",,"[""none"", ""practice music"", ""find a place to be alone""]",PersonX forms a band
PersonX prefers to sit on the sidelines,tst,"[""timid"", ""shy"", ""uninterested"", ""unmotivated""]","[""Sent in the game by the coach"", ""Told to play with energy and focus"", ""stays rested"", ""stays unmotivated""]","[""none""]",,,"[""to go home"", ""to be noticed"", ""to be comfortable"", ""to have pleasant journey""]","[""none""]",,"[""none"", ""to get in the train"", ""to sit down""]",PersonX is playing ball
PersonX remembered PersonY's wallet.,tst,"[""memorable"", ""steadfast"", ""diligent"", ""careful""]","[""none"", ""gets thanked"", ""gets complimented""]","[""none"", ""receives wallet"", ""gets taught a lesson""]",,,"[""to get things"", ""to help out"", ""to go back and get the wallet""]","[""none""]",,"[""none""]",PersonX forgets PersonY's wallet
PersonX takes a step forward,tst,"[""bold"", ""brave"", ""hesitant"", ""determined"", ""eager"", ""mobile"", ""careful""]","[""PersonX see some positivity"", ""PersonX is applauded for trying"", ""changes position a little"", ""changes body gesture slightly"", ""They move in the right direction"", ""They get to their destination"", ""none""]","[""none""]",,,"[""plan to meet person"", ""to move up"", ""to get going"", ""to be more trustworthy"", ""to go abroad"", ""to keep walking"", ""to start running""]","[""none""]",,"[""plan to meet person"", ""none"", ""to stand up"", ""to get their balance""]",PersonX takes a step back
PersonX sees some animals at their local zoo.,tst,"[""curious"", ""afraid"", ""impressed"", ""happy"", ""thrilled""]","[""enjoy it"", ""see new one"", ""heart races"", ""smiles""]","[""none""]",,,"[""to take photographs"", ""to remember his outing happily"", ""to ask what type of animals they are looking at"", ""to ask what the name of the zoo is""]","[""none""]",,"[""to travel to the zoo"", ""to pay admission"", ""none""]",PersonX sees all of the animals
PersonX is blind to PersonY's crush,tst,"[""oblivious"", ""ignorant"", ""unaware""]","[""none"", ""continues not to notice PersonY"", ""is told by others about the crush""]","[""none"", ""finds out someone told PersonX about her"", ""is told PersonX is interested in her too""]",,,"[""see why Y acts strangely"", ""to ask Y about their behavior"", ""very sad ,alone"", ""unconformable""]","[""to ask x on a date"", ""to have x pay attention to them"", ""none""]",,"[""none""]",PersonX sees PersonY's crush
PersonX pats PersonY on the butt,tst,"[""disrespectful"", ""playful"", ""amorous"", ""caring"", ""trying to provide comfort""]","[""they get punched"", ""the cops come"", ""gets slapped"", ""gets yelled at""]","[""they press charges"", ""they are arrested"", ""jumps in surprise"", ""yells out""]",,,"[""leave him alone"", ""go to his house"", ""to flirt with persony"", ""to seduce persony""]","[""none"", ""to mace personx"", ""to harm personx""]",,"[""be close to the person"", ""the person must have done something to him"", ""none""]",PersonX pats PersonY on the head
PersonX hates football.,tst,"[""bored"", ""tired"", ""non-competitive"", ""happy with other pursuits""]","[""gets tense when asked to go to a game"", ""is disliked by a few peers"", ""to refuse football channels"", ""play other games""]","[""none""]",,,"[""to change the channel"", ""to go to a movie instead of watching football on TV"", ""watch another sport"", ""change the channel""]","[""none""]",,"[""none""]",PersonX loves football
PersonX loses another way,tst,"[""absent-minded"", ""inattentive"", ""unskilled"", ""sullen""]","[""shouts at themselves"", ""becomes cautious"", ""gets lost"", ""cries from frustration""]","[""none""]",,,"[""to practice and become better"", ""to make sure they are able to win next time"", ""to leave town"", ""to give up""]","[""none""]",,"[""none""]",PersonX finds another way
PersonX says hateful things,tst,"[""mean"", ""racist"", ""nasty"", ""hateful""]","[""to avoid new people"", ""to stay alone"", ""motive"", ""believe our self""]","[""hate person x"", ""avoid person x"", ""none""]",,,"[""to be friends"", ""to be alone"", ""to see how their remarks were taken"", ""to continue feeling spiteful""]","[""none"", ""to hear an apology"", ""to say hateful things in return""]",,"[""none""]",PersonX says grace
PersonX has a staycation.,tst,"[""ready to relax"", ""needing some time off"", ""relaxed"", ""unfazed""]","[""Invited over to friends house"", ""Sits around the bonfire with friends"", ""gets more energy relaxing"", ""gets healthier staying home and cooking/workingout""]","[""none""]",,,"[""to take off"", ""enjoy life for a bit"", ""to  feel good"", ""to be ok""]","[""none""]",,"[""none""]",PersonX is on vacation in mexico
PersonX takes PersonY's phone.,tst,"[""stealing"", ""curious about the phone"", ""mean"", ""thieving""]","[""search y secret"", ""take photos of y"", ""gets punched"", ""gets yelled at""]","[""none"", ""call police"", ""give chase""]",,,"[""return the phone back to the person"", ""go away with the phone"", ""to call someone"", ""to inform him""]","[""leave the phone with the person"", ""take his phone back"", ""none""]",,"[""be close to the person"", ""like the phone"", ""none""]",PersonX puts PersonY's phone
PersonX catches PersonY,tst,"[""assertive"", ""brave"", ""diligent""]","[""makes Y SAFE"", ""helps y out"", ""They hold personY tight"", ""They tell personY the reason they were caught""]","[""none"", ""They ask personX to let go"", ""They laugh out loud""]",,,"[""to let PersonY go"", ""to hurt PersonY"", ""to see Y"", ""to have a chat with Y""]","[""to run faster"", ""to give up"", ""to talk to x"", ""to explain what they have been doing""]",,"[""to chase after PersonY"", ""to focus on PersonY"", ""none""]",PersonX throws PersonY overboard
PersonX gives PersonY fear,tst,"[""scary"", ""dramatic"", ""aggressive"", ""belligerent""]","[""gets screamed in their face"", ""gets criticized"", ""gets distanced from"", ""gets in an argument""]","[""none"", ""gets in a fight"", ""shakes""]",,,"[""to beat up persony"", ""to steal from persony""]","[""to avoid PersonX"", ""to sucker punch personx"", ""to mace personx""]",,"[""none""]",PersonX gives PersonY courage
PersonX agrees with PersonY,tst,"[""accomodating"", ""open-minded"", ""agreeable"", ""caring""]","[""they talk more"", ""they go home"", ""stomach unclenches"", ""muscles relax""]","[""they found an ally"", ""they think of other conversations"", ""none""]",,,"[""to implement a plan"", ""to thank someone"", ""to collaborate"", ""to here more""]","[""none""]",,"[""to listen to someone"", ""to work on a solution"", ""none""]",PersonX tells PersonY no
PersonX ignores PersonY.,tst,"[""scornful"", ""oblivious"", ""mean"", ""worried"", ""rude"", ""ccowardly"", ""insensitive"", ""uncaring"", ""distant"", ""haughty"", ""heartless"", ""cruel"", ""Energetic"", ""Lively"", ""seeking revenge"", ""unfriendly""]","[""none"", ""blushes"", ""winces"", ""person x hates person y"", ""person x fights with person y"", ""person x never talk with person y"", ""want to be alone"", ""to order foods"", ""feel lonely"", ""smiles"", ""gets hit"", ""loses friend""]","[""cries"", ""body contracts"", ""is surprised"", ""is offended"", ""annoyed"", ""frustrated"", ""none"", ""person y hates person x"", ""person y needs to deny person x""]",,,"[""to show their displeasure"", ""make new friends"", ""to be alone"", ""to be safe"", ""avoid personY"", ""find someone else to hang out with"", ""to be calm"", ""to leave the party alone"", ""to go home"", ""walk away"", ""pass another rote"", ""to apologize"", ""to continue avoiding PersonX"", ""to avoid person Y"", ""to walk away from person Y"", ""to continue ignoring PersonY"", ""to ask PersonY to repeat their self"", ""Ignore more"", ""Stay quiet""]","[""none"", ""receive an explanation"", ""ignore personX"", ""PersonX to stay at the party"", ""PersonX to talk to them"", ""to confront PersonY"", ""to talk to others"", ""to meet with person X"", ""to talk with person X"", ""to speak louder"", ""to get PersonX's attention""]",,"[""none"", ""be aware of personY"", ""decide not to pay attention to personY"", ""to know PersonY"", ""to look away from PersonY"", ""to be in the vicinity of PersonY"", ""to avoid talking to PersonY""]",PersonX hugs PersonY
PersonX stays stuck in the same situation,tst,"[""immovable"", ""frustrated"", ""unambitious"", ""incompetent""]","[""they never change"", ""they regret their choice"", ""Scolded by parents"", ""Told to go back to school""]","[""none""]",,,"[""discus to others"", ""confusion"", ""to resolve"", ""to be clear""]","[""none""]",,"[""none"", ""plan to work hard"", ""stuck in a place""]",PersonX turns over a new leaf
PersonX drives home.,tst,"[""occupied"", ""skilled"", ""mature"", ""disciplined""]","[""views life positively"", ""becomes nice"", ""gets home"", ""is safe""]","[""none""]","[""at home"", ""relaxed"", ""happy"", ""alert"", ""content""]","[""none""]","[""to lock the car"", ""to enter their home"", ""relax"", ""take a shower"", ""to take rest"", ""to sleep well""]","[""none""]","[""to get home"", ""to end the day"", ""to distract themselves for something"", ""to go to bed"", ""to cook dinner""]","[""to exit the building they are in"", ""to get in the car"", ""none""]",PersonX drives to the office
PersonX meets someone familiar,tst,"[""interested"", ""vigilant"", ""pleased"", ""enlightened""]","[""happy"", ""talk to fun"", ""talks over old times"", ""treats for coffee""]","[""none""]",,,"[""to go home"", ""to make lunch dates"", ""talk to the person"", ""get to know the person""]","[""none""]",,"[""none"", ""be near someone"", ""see them""]",PersonX meets someone new
PersonX destroys PersonX's appearance,tst,"[""depressed"", ""self destructive"", ""evil"", ""angry""]","[""gets disgusted looks from others"", ""gets looked down on"", ""Teased by friends"", ""Bullied by classmates""]","[""none""]",,,"[""to look ugly"", ""to be bad""]","[""none""]",,"[""none""]",PersonX improves PersonX's appearance
PersonX gives PersonY's parents permission,tst,"[""kind"", ""caring"", ""polite"", ""kind hearted""]","[""they will be thanked"", ""they will be appreciated"", ""Thanked by personY"", ""Becomes close with personY's parents""]","[""they will be grateful"", ""they will relieved"", ""none""]","[""content"", ""satisfied"", ""needed"", ""generous"", ""happy"", ""good""]","[""none"", ""grateful"", ""joyous"", ""good"", ""surprised"", ""shocked""]","[""to let him free"", ""allow person y freedom"", ""to help people"", ""to have fun"", ""it travel"", ""enjoy the party""]","[""none""]","[""none"", ""person y to be happy"", ""to feel useful""]","[""be a parent of person y"", ""consult his partner"", ""too see person y"", ""to talk to person y"", ""none""]",PersonX begs PersonY's parents
PersonX is broke.,tst,"[""destitute"", ""impoverished"", ""impulse"", ""spendthrift""]","[""thinks of switching jobs"", ""stresses over lack of money"", ""continues not caring"", ""rests""]","[""none""]",,,"[""broke his heart"", ""qchange a mind"", ""to make more money"", ""figure out a budget""]","[""none""]",,"[""CHANGE A MIND"", ""PLAN A TRIP"", ""none""]",PersonX makes much money
PersonX crosses the lake,tst,"[""adventurous"", ""moving"", ""active""]","[""gets a better view"", ""gets to the other side"", ""is able to make it to destination"", ""arms feel strain from rowing boat""]","[""none""]","[""accomplished"", ""relieved"", ""proud"", ""calm"", ""exhausted"", ""tired"", ""content""]","[""none""]","[""be relax"", ""be careful"", ""goes to rest the other side"", ""feels good at the other side"", ""to ride a boat in lake"", ""and see a view point""]","[""none""]","[""to get to the other side of the lake"", ""go for a swim or ride a boat"", ""see what's on the other side of the lake"", ""to go somewhere different"", ""to visit friends"", ""go fishing"", ""to exercise"", ""to get to the other side""]","[""none""]",PersonX crosses the road
PersonX messes everything up,tst,"[""careless"", ""sloppy"", ""incompentent"", ""useless""]","[""they get overwhelmed"", ""they fix it"", ""get yelled at"", ""is looked down on""]","[""none"", ""yells"", ""cringes at sight""]","[""sad"", ""frustrated"", ""annoyed"", ""nervous"", ""upset"", ""nervous"", ""upset"", ""nervous""]","[""none"", ""tired of PersonX messing up"", ""understanding, at times"", ""tired of PersonX messing up"", ""understanding, at times""]","[""be confidence in life"", ""to very positive"", ""to clean everything"", ""to keep the place neat"", ""hide their mistake"", ""to give up""]","[""none"", ""fix everything"", ""give up""]","[""none""]","[""none"", ""to be angry"", ""to be mad"", ""to attempt the task"", ""to fail at the task""]",PersonX does an amazing job
PersonX operates in PersonX environment,tst,"[""determined"", ""diligent"", ""hardworking"", ""dedicated""]","[""they change clothes"", ""they go home"", ""by themself"", ""isolated""]","[""none""]",,,"[""to seal their lab"", ""to be a secret agent""]","[""none""]",,"[""none""]",PersonX operates in PersonY environment
PersonX decides to sell it,tst,"[""brave"", ""adventurous"", ""unattached"", ""smart""]","[""has money"", ""has more space"", ""becomes nostalgic"", ""becomes undecided""]","[""none"", ""sweats over deal"", ""stressing over cost""]","[""satisfied"", ""relieved"", ""richer"", ""decluttered"", ""content""]","[""happy"", ""content"", ""satisfied, ownership to the item"", ""excited""]","[""save the money"", ""spend the money on something they want"", ""buys other one"", ""ate the money"", ""to advertise his product to his customers"", ""to make note of his sale""]","[""is happy with purchase"", ""wants money back"", ""none"", ""to buy the product"", ""to compliment for the quantity""]","[""money"", ""to be industrious"", ""to get rid of it"", ""simplicity""]","[""have a reason to want to sell"", ""find a buyer"", ""none"", ""to buy new thing"", ""to invest in business""]",PersonX decides to purchase it
PersonX ignores the recipe,tst,"[""free"", ""happy"", ""independent"", ""creative"", ""careless"", ""adventurous"", ""belligerent""]","[""gets the recipe wrong"", ""results from the recipe are different"", ""loses a cooking contest"", ""is left with too much food"", ""disappoints their dinner guests"", ""fails their cooking class"", ""dinner turns out horrible"", ""stinks up the kitchen from the smell of a bad dish""]","[""none""]",,,"[""to put out the fire they caused"", ""to try it again with the recipe"", ""to restart the cooking"", ""to eat the food he cooked"", ""make their own recipe"", ""find a new recipe"", ""to cook new one"", ""to taste good""]","[""none""]",,"[""to want to do things on their own"", ""to be arrogant"", ""to buy ingredients"", ""to preheat the oven"", ""have a recipe"", ""decide not to follow the recipe"", ""none""]",PersonX follows the recipe
PersonX diversifies PersonX's position,tst,"[""open minded"", ""adventurous"", ""wise"", ""intelligent""]","[""they make steady returns"", ""increases their confidence"", ""finds themselves useful""]","[""none""]","[""ethical"", ""satisfied"", ""nothing"", ""hurt"", ""angry"", ""happy"", ""wealthy"", ""good""]","[""none""]","[""check their investments"", ""file paperwork"", ""to diversify"", ""to stay with his position"", ""recruit more worker"", ""assign roles""]","[""none""]","[""to be educated"", ""to be responsible"", ""to be fair"", ""none"", ""to be diversified"", ""to make more money in his investments""]","[""have investments"", ""contact broker"", ""none""]",PersonX consolidates PersonX's position
PersonX lost it,tst,"[""absentminded"", ""distracted"", ""undisciplined"", ""angry""]","[""gets arrested by police"", ""gets put into an insane asylum"", ""stumbles across it"", ""mourns""]","[""none""]","[""Ashamed"", ""like they could do better"", ""upset"", ""angry"", ""Overwhelmed"", ""Scared""]","[""Sad"", ""Like they hope PersonX calms down"", ""worried"", ""hurt"", ""Worried"", ""Intimidated""]","[""to be careful"", ""to takecare of his things"", ""Apologize"", ""Be by themself"", ""to buy another thing"", ""to keep the thing safe""]","[""none"", ""Apologize"", ""Be by themself""]","[""none""]","[""to be careless"", ""to be in urgent"", ""Get mad at someone"", ""Get in an argument"", ""to take a thing"", ""to keep the thing""]",PersonX beats it
PersonX catches a banana,tst,"[""hungry"", ""quick"", ""opportunistic""]","[""are lucky"", ""cant find a place to put the banana"", ""gets nourishment"", ""is told to eat the banana""]","[""are surpirsed by the action"", ""are offered a banana"", ""none""]",,,"[""to eat banana"", ""to make a smoothie"", ""to hold onto the banana"", ""to return it, if desired""]","[""none"", ""to throw their banana"", ""to get it back""]",,"[""none"", ""to see a banana being thrown"", ""to reach out for the banana""]",PersonX throws a frisbee
PersonX keeps PersonX's clothes clean.,tst,"[""exacting"", ""particular"", ""clean"", ""nice""]","[""has better hygiene"", ""is regarded well by their peers"", ""gets complimented"", ""notices his attire smells fresh""]","[""none""]",,,"[""to make the place better"", ""to wash car"", ""to be perfect"", ""to be good""]","[""none""]",,"[""to be healthy"", ""to clean everything"", ""none""]",PersonX gets a stain
PersonX throws PersonY out of the bed,tst,"[""mean"", ""rude"", ""aggressive"", ""violent""]","[""gets yelled at"", ""gets into a fight"", ""none""]","[""gets hurt"", ""yells at PersonX"", ""shouts at personX"", ""cries""]",,,"[""to play again"", ""to have fun"", ""to spread out on the bed"", ""to explain to PersonY""]","[""none"", ""to get back in bed"", ""to express their anger""]",,"[""to play"", ""to lift person y"", ""to get annoyed"", ""to put their hands on PersonY""]",PersonX lays PersonY on the bed
PersonX takes everything from Person Y.,tst,"[""greedy"", ""hurtful"", ""vengeful""]","[""they're arrested"", ""they go to jail"", ""none""]","[""they are called to testify"", ""their things are returned"", ""loses stuff"", ""loses everything""]",,,"[""to have a yard sale"", ""to visit the pawn shop"", ""to kill any witnesses"", ""to find a safehouse to store the goods""]","[""to get their stuff back"", ""to sue PersonX"", ""to call for backup"", ""to join a gang to get revenge""]",,"[""to make a bet with PersonY"", ""to divorce personY"", ""to find PersonY"", ""to decide to do the evil deed""]",PersonX gives PersonY a bit
PersonX catches the food,tst,"[""skillful"", ""hungry"", ""Coordinated"", ""Attentative""]","[""gets something to eat"", ""becomes full"", ""Is nourished by the food"", ""Is able to take the night off""]","[""none""]",,,"[""to cook fish"", ""to learn a skill"", ""to put the food down"", ""to return the food to the thrower""]","[""none"", ""to get the food back"", ""to thank PersonX""]",,"[""none"", ""to see the food being thrown"", ""to reach for the food""]",PersonX throws the food
PersonX makes PersonY cry.,tst,"[""mean"", ""honest"", ""ruthless"", ""hurtful""]","[""so rude person y"", ""make him calm back"", ""to hurt person y"", ""to use unnecessary words""]","[""none""]",,,"[""enjoy that feelings"", ""enjoy at hurt bsiness"", ""to apologize"", ""to give up""]","[""meet some friend"", ""take the hurt alone"", ""to call their sister"", ""to cuddle with their cat""]",,"[""plan for some disease"", ""plan to hurt someone"", ""to say mean things"", ""to hit PersonY""]",PersonX makes PersonY smile
PersonX is behind PersonY.,tst,"[""sneaky"", ""lagging"", ""secondary"", ""hesitant"", ""dependent""]","[""rests"", ""decides to lounge"", ""none""]","[""none""]","[""like they are waiting"", ""like they are on their way"", ""bored"", ""impatient"", ""HAPPY"", ""SATISFIED""]","[""none"", ""relax"", ""disinterested"", ""HAPPY"", ""EXCITED""]","[""to return home"", ""to eat burger"", ""to run hard"", ""motivates him"", ""whispers back"", ""hides back""]","[""none""]","[""to be in line"", ""to go somewhere"", ""none"", ""TO SUPPORT""]","[""to wake up"", ""to take bath"", ""none""]",PersonX comes into PersonY's eyes
PersonX lets PersonY stay in jail,tst,"[""unforgiving"", ""strict"", ""harsh""]","[""argued with"", ""frowns"", ""tries to figure it out"", ""remains unfocused""]","[""argued with"", ""frowns"", ""none""]","[""nervous"", ""fearful"", ""Contempt with their choice"", ""Astonished"", ""content"", ""satisfied"", ""proud""]","[""angry"", ""annoyed"", ""Betrayed beyond belief"", ""Angry"", ""upset"", ""stuck""]","[""to keep person y in jail"", ""to take revenge upon person y"", ""give PersonY a call"", ""visit PersonY in jail"", ""to tell PersonY they needed to learn a lesson"", ""to go and bail PersonY out""]","[""none"", ""to ask why PersonX did not bail them out"", ""to tell PersonX that they are horrible""]","[""to make sure justice is served"", ""to keep people safe"", ""to prove a point"", ""to make an example"", ""to uphold the law""]","[""none"", ""Refuse to pay PersonY's bond"", ""Refuse to break PersonY out of jail"", ""to decide not to bail PersonY out"", ""to do something else while PersonY is arrested""]",PersonX bails PersonY out
PersonX feels so carefree.,tst,"[""happy-go-lucky"", ""cheerful"", ""breezy"", ""calm"", ""positive""]","[""feels good"", ""is happy"", ""gains financial freedom"", ""becomes overall less stressed"", ""is healthier""]","[""none""]",,,"[""to be jolly"", ""to be happy""]","[""none""]",,"[""none""]",PersonX feels so nervous
PersonX slacks off.,tst,"[""lazy"", ""lethargic"", ""uncaring""]","[""Scolded by boss"", ""Demoted in position"", ""they miss work"", ""they lose their job""]","[""none""]",,,"[""to go home"", ""to work harder"", ""be safe"", ""nervous""]","[""none""]",,"[""none""]",PersonX grinds for a week
PersonX stays home and collects unemployment,tst,"[""lazy"", ""unmotivated"", ""shiftless""]","[""they watch t.v. all day"", ""they find a new job"", ""gets an increase in his bank account"", ""gets a reminder to look for a job""]","[""none""]","[""rested"", ""bored"", ""sick"", ""sad"", ""ashamed"", ""like they can live"", ""a sense of currency""]","[""none"", ""annoyed"", ""irritated"", ""taxed"", ""like they cant do anything about it""]","[""decides on what th benefit will be used for"", ""start working"", ""to take a break from working"", ""to find another job"", ""to clean out the closets"", ""to take unwanted clothes to the local thrift shop""]","[""none""]","[""to take a break from working"", ""to take their time looking for a job"", ""none"", ""to make money""]","[""prepare the necessary document"", ""log into the government portal and process it"", ""lose job"", ""apply for unemployment"", ""to drive to the unemployment office"", ""to fill out the application for unemployment"", ""to drive home""]",PersonX applies for jobs
PersonX picks it up.,tst,"[""tidy"", ""clean"", ""observant"", ""careful""]","[""none"", ""gets thanked"", ""gets talked to""]","[""none""]",,,"[""to drop it"", ""to drop it in safe"", ""to put the item back where it goes"", ""to clean the area""]","[""none""]",,"[""to get a car"", ""to drive a car"", ""to see an object within reach"", ""to reach for the item"", ""to grab the item""]",PersonX leaves it be
PersonX feels powerful,tst,"[""a leader"", ""in charge"", ""authoritative"", ""controlling""]","[""gets compliments"", ""gets stared at"", ""gains respect"", ""gains obedience""]","[""none""]",,,"[""to lift a bunch of weights"", ""to run 5 miles"", ""to celebrate"", ""to scream"", ""to flex muscles"", ""show their strength"", ""to be cover them"", ""protect them""]","[""none""]",,"[""none"", ""to win"", ""to achieve something big"", ""workout at gym"", ""life heavy object""]",PersonX feels helpless
PersonX sees all of the fish,tst,"[""attentive"", ""curious"", ""observant""]","[""learns what different fish look like"", ""eyes widen"", ""X wants some fish"", ""Someone talks to X about the fish"", ""Someone tells X where he can get his own fish""]","[""none""]",,,"[""to take pictures"", ""to go scuba diving"", ""to leave the aquarium"", ""to go home""]","[""none""]",,"[""to go to the aquarium"", ""to go to the ocean"", ""to drive to the aquarium"", ""to go to the fish exhibit""]",PersonX sees all of the animals
PersonX is too full to add anymore,tst,"[""engorged"", ""overfilled"", ""gluttonous"", ""avaricious""]","[""cramps"", ""gas"", ""they vomit"", ""they go to sleep""]","[""none""]",,,"[""to rest"", ""to have a drink"", ""to settle their dinner"", ""to relax""]","[""none""]",,"[""to order food"", ""to eat a lot"", ""to fill their plate with food"", ""to eat all the food""]",PersonX tops it off
PersonX leaves PersonY's tongue alone.,tst,"[""satisfied"", ""considerate"", ""caring"", ""loving""]","[""none"", ""gets asked what is wrong"", ""is conversed with""]","[""sighs in relief"", ""smiles"", ""none""]",,,"[""walk away"", ""not talk"", ""to not get their hands wet"", ""to keep to themselves"", ""to be relax"", ""to be good""]","[""none"", ""to thank PersonX for not touching them"", ""to maintain those boundaries""]",,"[""none""]",PersonX slides PersonY's tongue
PersonX has done everything right,tst,"[""smart"", ""great"", ""hardworking"", ""honest""]","[""Praised by teacher"", ""Given academic achievement award"", ""gets rewarded"", ""gets a promotion""]","[""none""]",,,"[""continue doing things"", ""succeed"", ""to relax"", ""to celebrate""]","[""none""]",,"[""do many things"", ""do them well"", ""none""]",PersonX has done something wrong
PersonX pulls it,tst,"[""capable"", ""adept"", ""dominate"", ""forceful""]","[""to save the water"", ""to order the food"", ""takes a nap"", ""decides to lounge""]","[""none""]",,,"[""to let go of it"", ""take a minute to rest"", ""to see what it does"", ""to obtain it""]","[""none""]",,"[""none""]",PersonX pushes it
PersonX throws dirt on PersonY's hand,tst,"[""mean"", ""dirty"", ""nasty"", ""spiteful""]","[""they are hit"", ""they are slapped"", ""gets dirty"", ""clean the dirt""]","[""none""]",,,"[""to run away and hide"", ""to apologize to PersonY"", ""to throw dirt on Person Y's face"", ""to apologize to Person Y""]","[""to yell at PersonX"", ""to throw dirt back at PersonX"", ""to wash their hand"", ""to wash their hands"", ""to throw dirt on Person X's hand""]",,"[""to see PersonY"", ""to grab dirt"", ""to pick up dirt"", ""to gather dirt""]",PersonX wipes PersonY's hands
PersonX improves PersonY's grades,tst,"[""caring"", ""compassionate"", ""helpful"", ""supportive""]","[""Person X improves their own grades in the process"", ""Person X develops better study skills"", ""they are thanked"", ""they are told good night""]","[""Person Y is grateful"", ""Person Y has an easier time in class"", ""Person Y understands their assignments better"", ""they pass the test"", ""they graduate high school""]",,,"[""continue to help"", ""be thanked"", ""to celebrate"", ""to call parents""]","[""thank personX"", ""continue the good grades"", ""none""]",,"[""study with personY"", ""get personY organized"", ""to pay attention"", ""to study more""]",PersonX improves PersonY's appearance
